   642,000ms ID:00010172 Pr:00000000             0 +         2,910 8E7E18331EE538583C8DA236F8BF33C9          ReleaseRequest(): Success "mods\core.stormmod\base.stormdata" "heroes_regions.xml"
   642,000ms ID:00010173 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/BehaviorData.xml"
   642,000ms ID:00010173 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/BehaviorData.xml"
   642,000ms ID:00010174 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/EffectData.xml"
   642,000ms ID:00010173 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/BehaviorData.xml"
   642,000ms ID:00010174 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/EffectData.xml"
   642,000ms ID:00010175 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/HeroData.xml"
   642,000ms ID:00010174 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/EffectData.xml"
   642,000ms ID:00010175 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/HeroData.xml"
   642,000ms ID:00010176 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/UnitData.xml"
   642,000ms ID:00010175 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/HeroData.xml"
   642,000ms ID:00010176 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/UnitData.xml"
   642,000ms ID:00010177 Pr:00000000             0 +         1,712 931105B1840A72CC71D82FC561B86A41          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL.galaxy"
   642,000ms ID:00010176 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "GameData/UnitData.xml"
   642,000ms ID:00010177 Pr:00000000             0 +         1,712 931105B1840A72CC71D82FC561B86A41          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL.galaxy"
   642,000ms ID:00010178 Pr:00000000             0 +           343 A20EEF05F2AD242639354B2357F4B6F6          RequestFile() "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL_h.galaxy"
   642,000ms ID:00010177 Pr:00000000             0 +         1,712 931105B1840A72CC71D82FC561B86A41          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL.galaxy"
   642,000ms                                                                                                 Unpause(): 1 => 0
   642,000ms ID:00010178 Pr:00000000             0 +           343 A20EEF05F2AD242639354B2357F4B6F6          ProcessUnprocessedRequests(): Request already completed "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL_h.galaxy"
   642,000ms ID:00010178 Pr:00000000             0 +           343 A20EEF05F2AD242639354B2357F4B6F6          ReleaseRequest(): Success "mods\gameplaymods\percentscaling.stormmod\base.stormdata" "LibPSCL_h.galaxy"
   686,421ms ID:00010179 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
   686,421ms ID:00010179 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
   686,421ms ID:00010179 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
   741,906ms ID:0001017A Pr:01040000             0 +     1,561,728 CD4F81B9601C7E72BFBF64A744524701          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_Auriel_Full.ogg"
   741,906ms ID:0001017A Pr:01040000             0 +     1,561,728 CD4F81B9601C7E72BFBF64A744524701          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_Auriel_Full.ogg"
   741,906ms ID:0001017A Pr:01040000             0 +     1,561,728 CD4F81B9601C7E72BFBF64A744524701          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_Auriel_Full.ogg"
   743,984ms ID:0001017B Pr:01040000             0 +     3,498,952 C95F3EE1AA76C0ADB70B1EB9220A7149          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Diablo_Full.ogg"
   743,984ms ID:0001017B Pr:01040000             0 +     3,498,952 C95F3EE1AA76C0ADB70B1EB9220A7149          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Diablo_Full.ogg"
   743,984ms ID:0001017B Pr:01040000             0 +     3,498,952 C95F3EE1AA76C0ADB70B1EB9220A7149          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Diablo_Full.ogg"
   877,031ms ID:0001017C Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
