?"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2021","X002YXKBF1","QJ-W3S3-KSBA","6PM","0.13","1","MEX2","SELLABLE","MX"
"12/2021","X002YXCAF5","B6-SLDW-TA5K","ACÉRCATE MÁS","0.03","0","MEX2","SELLABLE","MX"
"12/2021","X0030EYFUZ","ES-DVND-LHQJ","BLURRED IMAGES (Includes Soundtrack 7 Days in Mexico)","0.52","1","GDL1","SELLABLE","MX"
"12/2021","X002YXZB29","L3-85PB-5HLG","XV ANIVERSARIO EN VIVO (2 CDS + DVD)","0.06","0","MTY1","SELLABLE","MX"
"12/2021","X002YXCDUH","5F-WYEV-3BO4","NACO ES CHIDO (DVD)","0.06","0","MTY1","SELLABLE","MX"
"12/2021","X002YXZB29","L3-85PB-5HLG","XV ANIVERSARIO EN VIVO (2 CDS + DVD)","0.03","0","*XFR","SELLABLE",
"12/2021","X002YXCDUH","5F-WYEV-3BO4","NACO ES CHIDO (DVD)","0.03","0","*XFR","SELLABLE",
"12/2021","X002YUNGEH","DM-J3Q3-ZNYO","VOCES INTERIORES","0.06","0","MEX2","SELLABLE","MX"
"12/2021","X002XPGOYH","7509841318167","ENTRE LA NIEBLA","0.52","0","MEX2","SELLABLE","MX"
"12/2021","X002XLE5G5","7509841212533","SUFRO, SUFRO, SUFRO","0.71","1","GDL1","SELLABLE","MX"
"12/2021","X002YXKBF1","QJ-W3S3-KSBA","6PM","0.03","0","GDL1","SELLABLE","MX"
"12/2021","X002XLE5G5","7509841212533","SUFRO, SUFRO, SUFRO","0.03","0","*XFR","SELLABLE",
"12/2021","X002YWCILH","VM-6WTX-3VE7","EL FLUIR","0.03","0","MEX2","SELLABLE","MX"
"12/2021","X0030WPA3D","EY-W4PI-H1Q8","Relatos de mi barrio","3.97","4","MEX6","SELLABLE","MX"
"12/2021","X0030QO3GT","7T-9LI1-KMEL","EL CANCIONERO DE CHAVA FLORES","4.35","5","MEX6","SELLABLE","MX"
"12/2021","X0030EYFUZ","ES-DVND-LHQJ","BLURRED IMAGES (Includes Soundtrack 7 Days in Mexico)","21.32","22","MEX6","SELLABLE","MX"
"12/2021","X0030DK221","NX-9AKQ-U2PV","Diccionario del caos","0.06","0","MEX6","SELLABLE","MX"
"12/2021","X002Z15T7H","9G-4FC5-1EQI","FRAGOR","1.55","0","MEX6","SELLABLE","MX"
"12/2021","X002YXKBF1","QJ-W3S3-KSBA","6PM","1.0","1","MEX6","SELLABLE","MX"
"12/2021","X002YUXXJ5","Z4-Q2IB-QQJD","EN TU ESTUCHE DE RECUERDOS","1.74","2","MEX6","SELLABLE","MX"
"12/2021","X002YUUUXH","EV-BJ9I-ETI0","EN VIVO","1.74","2","MEX6","SELLABLE","MX"
"12/2021","X002YTDKOJ","ZJ-VSWW-8DLJ","LO ETERNO","0.87","1","MEX6","SELLABLE","MX"
"12/2021","X002XPGOYH","7509841318167","ENTRE LA NIEBLA","1.71","0","MEX6","SELLABLE","MX"
"12/2021","X002XN0WXD","7509841217354","El Fuego De La Noche","1.35","1","MEX6","SELLABLE","MX"
"12/2021","X0030WZNDZ","NW-4SST-DR2E","EN HOLANDA","0.03","0","MEX2","SELLABLE","MX"
"12/2021","X0030QO7P1","IJ-6SLM-2JHM","RUEDA DE LOS TIEMPOS","0.97","1","MEX2","SELLABLE","MX"
"12/2021","X0030QO7P1","IJ-6SLM-2JHM","RUEDA DE LOS TIEMPOS","0.97","1","GDL1","SELLABLE","MX"
"12/2021","X002YUNGFV","KI-1RLX-IL7T","CUBA NUEVA TROVA","0.06","0","MEX2","SELLABLE","MX"
"12/2021","X0030X60BX","LO-BTA1-ZKFC","SONES JAROCHOS","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030X5Y8N","A4-NSAP-IHEG","SESIONES CON EMILIA","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030X4VZ5","KF-CRQD-C4A6","SE ME REVENTÓ EL BARZÓN","1.0","1","MEX6","SELLABLE","MX"
"12/2021","X0030X4E0H","YP-74Z9-JQCN","UN MAULLIDO EN LA AZOTEA","5.0","5","MEX6","SELLABLE","MX"
"12/2021","X0030X4CV3","VI-JHKA-YZS5","PURO NUEVO LEÓN","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030X3GLZ","2H-17PS-HEQ9","VAMPIRO NEGRO","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030WZOJN","HY-E7ZV-VC5W","NO ME HALLO","6.55","6","MEX6","SELLABLE","MX"
"12/2021","X0030WZNDZ","NW-4SST-DR2E","EN HOLANDA","5.48","5","MEX6","SELLABLE","MX"
"12/2021","X0030WTMFF","XL-H4MR-PTH0","NACO ES CHIDO","6.71","6","MEX6","SELLABLE","MX"
"12/2021","X0030WTATX","I1-YW64-M7ZL","NO ESTOY LOCO","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030WS8O1","0S-IGB8-W11U","Privado Publico[Importado]","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030WS7DX","R9-93XR-MRGX","SOLENTINAME (Lugar de huéspedes)","1.0","1","MEX6","SELLABLE","MX"
"12/2021","X0030WRWWF","W7-FEAK-FZ10","NO TUVO TIEMPO","11.0","11","MEX6","SELLABLE","MX"
"12/2021","X0030WQXQL","MJ-LUIF-LEVD","ENTRE DÉCIMAS Y SONES","3.0","3","MEX6","SELLABLE","MX"
"12/2021","X0030WPXSP","WQ-GJXW-PGNE","TANGO","10.0","10","MEX6","SELLABLE","MX"
"12/2021","X0030WPUT7","NJ-C8JY-FP4A","EN VIVO EN ARGENTINA","10.0","10","MEX6","SELLABLE","MX"
