amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
702-5368177-9721024	702-5368177-9721024	2022-01-23T22:06:52+00:00	2022-01-25T11:20:34+00:00	Shipped	Amazon	Amazon.com.mx			Standard	VOCES INTERIORES	DM-J3Q3-ZNYO	B09B6T6L14	Shipped	1	MXN	137.93	22.07	11.21	1.79					CHIMALHUACAN	MEXICO	56330	MX		false		
701-2400594-6841853	701-2400594-6841853	2022-01-23T20:23:52+00:00	2022-01-24T23:23:58+00:00	Shipped	Amazon	Amazon.com.mx			Standard	REAL DE CATORCE	F9-53WW-I90M	B09B6RKW2Q	Shipped	1	MXN	137.93	22.07	33.62					33.62	TEPATITLAN DE MORELOS	JALISCO	47600	MX	PAWS-V2-42155235013-91	false		
701-3035507-1494659	701-3035507-1494659	2022-01-23T06:43:49+00:00	2022-01-24T04:34:18+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	UNA COLECCIÓN INOLVIDABLE (3 CDS)	U0-KO59-QQFN	B09BC5HDRX	Shipped	1	MXN	189.66	30.34							SAN NICOLAS DE LOS GARZA	NUEVO LEON	66473	MX		false		
701-2334241-4825801	701-2334241-4825801	2022-01-23T06:42:22+00:00	2022-01-24T04:34:23+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	EN CONCIERTO	XS-EPYX-9L8M	B09B6S5J8G	Shipped	1	MXN	137.93	22.07							SAN NICOLAS DE LOS GARZA	NUEVO LEON	66473	MX		false		
702-5454465-0957854	702-5454465-0957854	2022-01-21T22:03:09+00:00	2022-01-22T04:47:41+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	ANTOLOGIA	QG-OH2N-C4LD	B09B6W8GPZ	Shipped	1	MXN	137.93	22.07							ECATEPEC DE MORELOS	MÉXICO	55210	MX		false		
702-5454465-0957854	702-5454465-0957854	2022-01-21T22:03:09+00:00	2022-01-22T04:47:41+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	LA MALDICION DE MALINCHE	IT-T1RD-GXYY	B09B6Q2FBT	Shipped	1	MXN	137.93	22.07							ECATEPEC DE MORELOS	MÉXICO	55210	MX		false		
702-5527281-3253833	702-5527281-3253833	2022-01-21T14:25:24+00:00	2022-01-22T09:18:21+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	INTERNO ACUSTICO	DW-KQSF-1WR6	B09B9G2DDX	Shipped	1	MXN	137.93	22.07							NAUCALPAN DE JUÁREZ	MÉXICO	53200	MX		false		
701-8211269-2465830	701-8211269-2465830	2022-01-19T22:56:56+00:00	2022-01-23T16:39:33+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	MI MUSICA EN VIVO CD Y DVD (DELUXE EDITION)	7509841550208	B077MZR79D	Unshipped	1	MXN	172.41								XALAPA-ENRIQUEZ	VERACRUZ DE IGNACIO DE LA LLAVE	91180	MX		false		
702-0591454-9282665	702-0591454-9282665	2022-01-19T22:47:24+00:00	2022-01-20T21:54:21+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	Recopilacion	7509841315203	B0087I3OLE	Shipped	1	MXN	155.17	24.83							MERIDA	YUCATAN	97219	MX		false		
701-2755056-7013847	701-2755056-7013847	2022-01-19T05:42:49+00:00	2022-01-20T04:30:36+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	YO ESTUVE AHÍ (EN VIVO) (CD+DVD)	HM-WLFE-OY8P	B09BC7C3HV	Shipped	1	MXN	172.41	27.59							CIUDAD APODACA	NUEVO LEON	66633	MX		false		
701-0954456-2043405	701-0954456-2043405	2022-01-18T22:16:46+00:00	2022-01-20T23:41:27+00:00	Shipped	Amazon	Amazon.com.mx			Standard	QUEBRADO	7509841213974	B097J2M4BY	Shipped	1	MXN	137.93	22.07							YECAPIXTLA	MORELOS	62828	MX		false		
701-3638931-8040216	701-3638931-8040216	2022-01-18T15:18:58+00:00	2022-01-19T11:03:40+00:00	Shipped	Amazon	Amazon.com.mx			Expedited	25 ANIVERSARIO EN VIVO (CD+DVD)	IR-MZCM-6FFL	B09BC4ZG7G	Shipped	1	MXN	189.66	30.34							SANTIAGO DE QUERETARO	QUERETARO	76120	MX		false		
