Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
12/01/2024	12/28/2024		MXF602400364	MXF602400364	1	0.91	0.91	CAD	S	1779987486	Santaella	Mi Última Cerveza	Fonarte Latino, S.A. de C.V.		H		CA	P		1.29	CAD
12/01/2024	12/28/2024		MXF602300542	MXF602300542	1	0.91	0.91	CAD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/01/2024	12/28/2024		MXF601400809	MXF601400809	1	0.91	0.91	CAD	S	909471789	Carlos Macías	Mil Vidas	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/01/2024	12/28/2024	7509841283755		7509841283755	1	5.65	5.65	CHF	S	1745177380	Leo Genovese, Gabriel Puentes	No Somos Dos: Vamo (En Vivo)	Fonarte Latino, S.A. de C.V.		I		CH			10.00	CHF
12/01/2024	12/28/2024		MXF600800049	MXF600800049	1	299.00	299.00	CLP	S	292661633	Pedro Aznar	Quebrado	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
12/01/2024	12/28/2024		MXF602100565	MXF602100565	1	421.00	421.00	CLP	S	1564801234	Kabah	Tic Tac Toc	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
12/01/2024	12/28/2024		MXF602100606	MXF602100606	1	421.00	421.00	CLP	S	1575993685	JNS	Esta Historia Me Suena	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
12/01/2024	12/28/2024		MXF601100687	MXF601100687	1	0.71	0.71	EUR	S	454642267	Fadi El Saadi	Tabla Solo Fadi	Fonarte Latino SA de CV		H		DE			0.99	EUR
12/01/2024	12/28/2024		MXF600800055	MXF600800055	1	0.71	0.71	EUR	S	292661703	Pedro Aznar	¿No Es una Pena?	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
12/01/2024	12/28/2024		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/01/2024	12/28/2024		MXF600601766	MXF600601766	1	0.90	0.90	EUR	S	153346257	Panteón Rococó	Los Intelectuales	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/01/2024	12/28/2024		MXF600800054	MXF600800054	1	0.71	0.71	EUR	S	292661699	Pedro Aznar	Décimas	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
12/01/2024	12/28/2024	7509841216470		7509841216470	1	4.90	4.90	EUR	S	937878196	Casa Verde Colectivo	Aquí y Ahora	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
12/01/2024	12/28/2024		MXF602100050	MXF602100050	1	0.90	0.90	EUR	S	1550358084	Diana Rash	Maksoum 4/4	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
12/01/2024	12/28/2024		MXF602300542	MXF602300542	1	0.90	0.90	EUR	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		FI			1.29	EUR
12/01/2024	12/28/2024		MXF602300188	MXF602300188	1	0.90	0.90	EUR	S	1674248343	Jordi Bachbush	Por Nuestros Pecados	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
12/01/2024	12/28/2024		MXF600800318	MXF600800318	1	0.57	0.57	GBP	S	314435499	Terceto de Guitarras de la Ciudad de Mexico	Flor Silvestre	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF600800326	MXF600800326	1	0.57	0.57	GBP	S	314435525	Terceto de Guitarras de la Ciudad de Mexico	Contra el Olvido	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF600800327	MXF600800327	1	0.57	0.57	GBP	S	314435527	Terceto de Guitarras de la Ciudad de Mexico	Ya Es Bastante	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF601900100	MXF601900100	1	0.72	0.72	GBP	S	1460030007	Yolotecuani	Son Guerrerense	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
12/01/2024	12/28/2024		MXF600800322	MXF600800322	1	0.57	0.57	GBP	S	314435517	Terceto de Guitarras de la Ciudad de Mexico	La Bamba	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF600600009	MXF600600009	1	0.57	0.57	GBP	S	178765272	Amparo Ochoa	Como Tu	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF600800319	MXF600800319	1	0.57	0.57	GBP	S	314435501	Terceto de Guitarras de la Ciudad de Mexico	Guadalajara	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/01/2024	12/28/2024		MXF601401043	MXF601401043	1	148.00	148.00	JPY	S	952847548	Louise Phelan	Perhaps, Perhaps, Perhaps (Quizás, Quizás, Quizás)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/01/2024	12/28/2024		MXF600600258	MXF600600258	1	9.15	9.15	MXN	S	180113461	Los Folkloristas	Raíz Viva (Prehispánica)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024	7509841315654		7509841315654	1	73.20	73.20	MXN	S	640793199	Esteban Herrera Trio	Estrella	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
12/01/2024	12/28/2024		MXF602300554	MXF602300554	1	9.15	9.15	MXN	S	1715055395	Lucero	La Cigarra	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601301161	MXF601301161	1	9.15	9.15	MXN	S	739945790	Los Korucos	Échale Un 5 al Piano	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602000330	MXF602000330	1	9.15	9.15	MXN	S	1518322065	Miguel Inzunza	Donde Paraba El Viento	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024	7509841282321		7509841282321	1	73.20	73.20	MXN	S	1699275383	Miguel Inzunza	20 Años de Viaje, Vol. 2 (En Vivo)	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
12/01/2024	12/28/2024		MXF602300265	MXF602300265	1	9.15	9.15	MXN	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602300203	MXF602300203	1	9.15	9.15	MXN	S	1675576371	Lero Lero	Tema Lero Lero	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602300139	MXF602300139	1	9.15	9.15	MXN	S	1670445561	Luna Park	Las Mil y una Noches	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602300138	MXF602300138	1	9.15	9.15	MXN	S	1670445560	Mario Frangoulis, Alexander Acha	Te Ví	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602200167	MXF602200167	1	9.15	9.15	MXN	S	1625747577	Antonio De Carlo	En Mil Pedazos	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024	7509841317436		7509841317436	1	91.50	91.50	MXN	S	1145563599	Los Folkloristas	50 Años	Fonarte Latino, S.A. de C.V.		I		MX			150.00	MXN
12/01/2024	12/28/2024		MXF601400799	MXF601400799	1	9.15	9.15	MXN	S	909471764	Carlos Macías	Cuando Me Besas	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602300597	MXF602300597	1	9.15	9.15	MXN	S	1717658549	Eduardo Gamboa	¡Compón Cortito! Así Agredes Menos	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601600316	MXF601600316	1	9.15	9.15	MXN	S	1129420124	Burbujas	Odisea Burbujas	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601600317	MXF601600317	1	9.15	9.15	MXN	S	1129420125	Burbujas	Mimoso Ratón	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601600318	MXF601600318	1	9.15	9.15	MXN	S	1129420126	Burbujas	Patas Verdes	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601600319	MXF601600319	1	9.15	9.15	MXN	S	1129420127	Burbujas	Pistachón Zig-Zag	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF600600022	MXF600600022	2	9.15	18.30	MXN	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF600600066	MXF600600066	1	9.15	9.15	MXN	S	144252872	Gabino Palomares	A la Patria	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF600600426	MXF600600426	1	9.15	9.15	MXN	S	145982986	Fernando Delgadillo	Los Primeros Seis Minutos	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF600600428	MXF600600428	1	9.15	9.15	MXN	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF600600430	MXF600600430	1	9.15	9.15	MXN	S	145983179	Fernando Delgadillo	El Abordaje	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601900538	MXF601900538	1	7.32	7.32	MXN	S	1490610618	Sergio Felix, Gerardo Peña, Alejandro Santiago	Borrón	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/01/2024	12/28/2024		MXF601600473	MXF601600473	2	9.15	18.30	MXN	S	1154556096	Regina Orozco	Mi Último Fracaso	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024	7509841317498		7509841317498	1	85.40	85.40	MXN	S	1154555942	Regina Orozco	Canciones p' Agarrar... El Alma	Fonarte Latino, S.A. de C.V.		I		MX			140.00	MXN
12/01/2024	12/28/2024		MXF602200083	MXF602200083	1	9.15	9.15	MXN	S	1615080440	Jose Joel	Y Qué de Mí	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601900540	MXF601900540	1	7.32	7.32	MXN	S	1490610621	Sergio Felix, Gerardo Peña, Alejandro Santiago	Es Tuya la Canción	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/01/2024	12/28/2024		MXF601600557	MXF601600557	1	9.15	9.15	MXN	S	1173641178	Carlos Macías	Mi Corazón Jamás	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601700145	MXF601700145	1	9.15	9.15	MXN	S	1251506648	Carlos Macías	Cuando Me Besas [En Vivo]	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601700082	MXF601700082	1	9.15	9.15	MXN	S	1275156144	Carlos Macías	Tú Olvido (feat. Víctor García) [En Vivo]	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601700311	MXF601700311	1	9.15	9.15	MXN	S	1275156155	Carlos Macías	Si Yo Te Contara (En Vivo)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601700333	MXF601700333	1	9.15	9.15	MXN	S	1281656083	Botellita de Jerez	Abuelita de Batman	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024	7509841276634		7509841276634	1	30.50	30.50	MXN	S	1481253315	Salvador Aviña	Sesiones en el Estudio: Salvador Aviña - EP	Fonarte Latino, S.A. de C.V.		I		MX			50.00	MXN
12/01/2024	12/28/2024		MXF601900380	MXF601900380	1	9.15	9.15	MXN	S	1482678964	Omara Portuondo	Veinte Años	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601900537	MXF601900537	1	7.32	7.32	MXN	S	1490610614	Sergio Felix, Gerardo Peña, Alejandro Santiago	Voces y Guitarras	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/01/2024	12/28/2024		MXF600600431	MXF600600431	1	9.15	9.15	MXN	S	145983196	Fernando Delgadillo	Hoy Hace un Buen Día	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601900539	MXF601900539	1	7.32	7.32	MXN	S	1490610619	Sergio Felix, Gerardo Peña, Alejandro Santiago	Déjà Vu	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/01/2024	12/28/2024		MXF601600320	MXF601600320	1	9.15	9.15	MXN	S	1129420128	Burbujas	Mafafa Musguito	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601500669	MXF601500669	1	9.15	9.15	MXN	S	1035435557	Carlos Macías	Te Quiero Así (feat. Kika Edgar)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF602100140	MXF602100140	1	9.15	9.15	MXN	S	1558736841	Cristian Castro, Carlos Macías	Lo Que Fuera	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/01/2024	12/28/2024		MXF601101009	MXF601101009	1	9.15	9.15	MXN	S	476849167	Regina Orozco	Montón De Tierra	Fonarte Latino SA de CV		H		MX			15.00	MXN
