"iTunes Connect - Pagos e informes financieros	(Diciembre, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.57,2.57,0,0,0,2.57,5.6537,14.53,MXN,
Australia (AUD),0,,14.39,14.39,0,0,-1.44,12.95,12.88185,166.82,MXN,
Brasil (BRL),0,,30.49,30.49,0,0,0,30.49,3.43883,104.85,MXN,
Canadá (CAD),3,,47.11,47.11,0,0,0,47.11,14.40841,678.78,MXN,
Suiza (CHF),1,,12.89,12.89,0,0,0,12.89,22.77967,293.63,MXN,
Chile (CLP),3,,24376,24376,0,0,0,24376,0.02054,500.8,MXN,
China continental (CNY),0,,3.13,3.13,0,0,0,3.13,2.82428,8.84,MXN,
Colombia (COP),0,,65913.94,65913.94,0,0,0,65913.94,0.00478,315.39,MXN,
República Checa (CZK),0,,18.38,18.38,0,0,0,18.38,0.84929,15.61,MXN,
Dinamarca (DKK),0,,8.19,8.19,0,0,0,8.19,2.86691,23.48,MXN,
Eurozona (EUR),9,,106.24,106.24,0,0,0,106.24,21.39044,2272.52,MXN,
Reino Unido (GBP),7,,15.38,15.38,0,0,0,15.38,25.33875,389.71,MXN,
Hong Kong (HKD),0,,3.5,3.5,0,0,0,3.5,2.66571,9.33,MXN,
Hungría (HUF),0,,87,87,0,0,0,87,0.05161,4.49,MXN,
Indonesia (IDR),0,,3162,3162,0,0,0,3162,0.00128,4.06,MXN,
Israel (ILS),0,,8.08,8.08,0,0,0,8.08,5.74505,46.42,MXN,
India (INR),0,,45.55,45.55,0,0,0,45.55,0.23952,10.91,MXN,
Japón (JPY),1,,1692,1692,0,0,-169,1523,0.13334,203.08,MXN,
República de Corea (KRW),0,,2325,2325,0,0,0,2325,0.01429,33.22,MXN,
Kazajistán (KZT),0,,58.99,58.99,0,0,0,58.99,0.03984,2.35,MXN,
México (MXN),143,,22854.4,22854.4,0,0,0,22854.4,1,22854.4,MXN,
Noruega (NOK),0,,9.33,9.33,0,0,0,9.33,1.82422,17.02,MXN,
Nueva Zelanda (NZD),0,,1.58,1.58,0,0,-0.15,1.43,11.62937,16.63,MXN,
Perú (PEN),0,,41.59,41.59,0,0,0,41.59,5.51142,229.22,MXN,
Filipinas (PHP),0,,12.94,12.94,0,0,0,12.94,0.34699,4.49,MXN,
Polonia (PLN),0,,4.98,4.98,0,0,0,4.98,5.0261,25.03,MXN,
Rumanía (RON),0,,2.93,2.93,0,0,0,2.93,4.30717,12.62,MXN,
Rusia (RUB),1,,144.5,144.5,0,0,0,144.5,0.20277,29.3,MXN,
Arabia Saudí (SAR),0,,0.93,0.93,0,0,0,0.93,5.53763,5.15,MXN,
Suecia (SEK),0,,10.29,10.29,0,0,0,10.29,1.86006,19.14,MXN,
Singapur (SGD),0,,0.19,0.19,0,0,0,0.19,15.21053,2.89,MXN,
Turquía (TRY),1,,11.67,11.67,0,0,0,11.67,0.58355,6.81,MXN,
Taiwán (TWD),0,,35,35,0,0,0,35,0.62943,22.03,MXN,
América Latina y el Caribe (USD),1,,52.54,52.54,0,0,0,52.54,20.76304,1090.89,MXN,
Resto del mundo (USD),0,,0.84,0.84,0,0,0,0.84,20.7619,17.44,MXN,
América (USD),83,,1344.02,1344.02,0,0,-134.4,1209.62,20.763,25115.34,MXN,
Vietnam (VND),0,,3452,3452,0,0,0,3452,0.00081,2.78,MXN,
Sudáfrica (ZAR),0,,11.82,11.82,0,0,0,11.82,1.10829,13.1,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"54,583.10 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
