Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/30/2025	12/27/2025		MXF602500294	MXF602500294	1	1.77	1.77	BRL	S	1849991354	Carlos Macías	Entre Mi Amor y Tu Olvido (Corazón de Trapo)	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
11/30/2025	12/27/2025		MXF600600167	MXF600600167	1	0.91	0.91	CAD	S	145980056	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/30/2025	12/27/2025		MXF600600267	MXF600600267	1	0.70	0.70	CAD	S	148131025	Alfredo Zitarrosa	Stephanie	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025		MXF600602440	MXF600602440	1	0.70	0.70	CAD	S	153881100	Amaury Pérez	Acuérdate de Abril	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025		MXF600602497	MXF600602497	1	0.70	0.70	CAD	S	154054160	Amaury Pérez	No Lo Van a Impedir	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025		MXF600602499	MXF600602499	1	0.70	0.70	CAD	S	154054212	Amaury Pérez	Hacerte Venir	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025		MXF600602503	MXF600602503	1	0.70	0.70	CAD	S	154054595	Amaury Pérez	Dame el Otoño	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025	7509841210065		7509841210065	1	7.00	7.00	CAD	S	178764871	Amparo Ochoa	Cancionero Popular, Vol. 1	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
11/30/2025	12/27/2025		MXF600600986	MXF600600986	1	0.70	0.70	CAD	S	188299348	René Villanueva	Paloma Blanca (Huayno Puneño)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/30/2025	12/27/2025		MXF601500065	MXF601500065	1	1.12	1.12	CHF	S	964544784	Paulina Goto	Llévame Despacio	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
