"iTunes Connect - Pagos e informes financieros	(Diciembre, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.1,3.1,0,0,0,3.1,4.79032,14.85,MXN,
Australia (AUD),0,,11.76,11.76,0,0,-1.18,10.58,11.79868,124.83,MXN,
Brasil (BRL),1,,35.36,35.36,0,0,0,35.36,3.2681,115.56,MXN,
Canadá (CAD),8,,55.25,55.25,0,0,0,55.25,12.66299,699.63,MXN,
Suiza (CHF),1,,7.06,7.06,0,0,0,7.06,21.94476,154.93,MXN,
Chile (CLP),0,,21426,21426,0,0,0,21426,0.01988,425.99,MXN,
China continental (CNY),0,,2.96,2.96,0,0,0,2.96,2.52365,7.47,MXN,
Colombia (COP),0,,61009.54,61009.54,0,0,0,61009.54,0.00477,291.09,MXN,
República Checa (CZK),0,,19.96,19.96,0,0,0,19.96,0.83717,16.71,MXN,
Dinamarca (DKK),0,,10.05,10.05,0,0,0,10.05,2.73433,27.48,MXN,
Egipto (EGP),0,,6.4,6.4,0,0,0,6.4,0.38438,2.46,MXN,
Eurozona (EUR),7,,102.34,102.34,0,0,0,102.34,20.43277,2091.09,MXN,
Reino Unido (GBP),0,,10.48,10.48,0,0,0,10.48,23.58969,247.22,MXN,
Hong Kong (HKD),0,,2.23,2.23,0,0,0,2.23,2.25561,5.03,MXN,
Hungría (HUF),0,,76,76,0,0,0,76,0.05329,4.05,MXN,
Indonesia (IDR),0,,2513,2513,0,0,0,2513,0.00105,2.64,MXN,
Israel (ILS),0,,6.59,6.59,0,0,0,6.59,5.57815,36.76,MXN,
India (INR),0,,40.88,40.88,0,0,0,40.88,0.19349,7.91,MXN,
Japón (JPY),7,,2680,2680,0,0,-268,2412,0.11125,268.34,MXN,
República de Corea (KRW),0,,986,986,0,0,0,986,0.01195,11.78,MXN,
Kazajistán (KZT),1,,145.68,145.68,0,0,0,145.68,0.03501,5.1,MXN,
México (MXN),122,,24746.17,24746.17,0,0,0,24746.17,1,24746.17,MXN,
Malasia (MYR),0,,0.47,0.47,0,0,0,0.47,4.48936,2.11,MXN,
Noruega (NOK),0,,12.12,12.12,0,0,0,12.12,1.74505,21.15,MXN,
Nueva Zelanda (NZD),0,,1.16,1.16,0,0,-0.11,1.05,10.13333,10.64,MXN,
Perú (PEN),0,,43.57,43.57,0,0,0,43.57,5.23181,227.95,MXN,
Polonia (PLN),0,,2.78,2.78,0,0,0,2.78,4.8705,13.54,MXN,
Catar (QAR),0,,0.47,0.47,0,0,0,0.47,4.87234,2.29,MXN,
Rumanía (RON),0,,2.33,2.33,0,0,0,2.33,4,9.32,MXN,
Rusia (RUB),0,,90.48,90.48,0,0,0,90.48,0.22359,20.23,MXN,
Arabia Saudí (SAR),0,,0.95,0.95,0,0,0,0.95,4.69474,4.46,MXN,
Suecia (SEK),0,,16.4,16.4,0,0,0,16.4,1.90732,31.28,MXN,
Singapur (SGD),0,,0.34,0.34,0,0,0,0.34,13.64706,4.64,MXN,
Tailandia (THB),0,,3.89,3.89,0,0,0,3.89,0.54242,2.11,MXN,
Türkiye (TRY),1,,20.76,20.76,0,0,0,20.76,0.40655,8.44,MXN,
Taiwán (TWD),0,,45,45,0,0,0,45,0.55511,24.98,MXN,
Resto del mundo (USD),0,,1.29,1.29,0,0,0,1.29,17.58915,22.69,MXN,
América (USD),82,,1296.17,1296.17,0,0,-129.62,1166.55,17.5885,20517.86,MXN,
América Latina y el Caribe (USD),1,,50.77,50.77,0,0,0,50.77,17.58854,892.97,MXN,
Sudáfrica (ZAR),1,,13.45,13.45,0,0,0,13.45,1.07361,14.44,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"51,138.19 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
