Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/25/2022	10/29/2022		MXF602100136	MXF602100136	1	1.29	1.29	AUD	S	1557969756	Silueta Pálida	El Paso del Tiempo	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/25/2022	10/29/2022		MXF600600019	MXF600600019	1	1.29	1.29	AUD	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/25/2022	10/29/2022		MXF601000652	MXF601000652	1	0.99	0.99	AUD	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		AU			1.69	AUD
09/25/2022	10/29/2022		MXF600602453	MXF600602453	1	0.99	0.99	AUD	S	154051610	Violeta Parra	Casamiento de Negros	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
09/25/2022	10/29/2022		MXF600601009	MXF600601009	1	0.99	0.99	AUD	S	152417427	Orquesta Aragón	Eso No Tiene Remedio	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
09/25/2022	10/29/2022		MXF600600014	MXF600600014	1	1.29	1.29	AUD	S	143894455	Pablo Milanés	Campesina	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/25/2022	10/29/2022		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
09/25/2022	10/29/2022		MXF600600015	MXF600600015	1	1.29	1.29	AUD	S	143894538	Pablo Milanés	A Salvador Allende en Su Combate por la Vida	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/25/2022	10/29/2022		MXF602200432	MXF602200432	1	1.77	1.77	BRL	S	1650154967	Carlos Macías	Mi Bonita	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
09/25/2022	10/29/2022	7509841214384		7509841214384	1	7.00	7.00	CAD	S	341239152	Ernesto Anaya	Huapangueando	Fonarte Latino SA de CV		I		CA			9.99	CAD
09/25/2022	10/29/2022		MXF602200074	MXF602200074	1	0.91	0.91	CAD	S	1618880734	Carlos Cuevas	Que Te Vaya Bien	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
