Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/04/2024	03/02/2024		MXF600601452	MXF600601452	1	1.29	1.29	AUD	S	152511989	Los Folkloristas, Coro Promúsica, Carlos y Emiliano	Misa Criolla - Gloria	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
02/04/2024	03/02/2024		MXF602300544	MXF602300544	1	1.29	1.29	AUD	S	1712350538	Fadi El Saadi	Dalali Mix (دلالي دلالي مكس)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
02/04/2024	03/02/2024		MXF601200792	MXF601200792	1	0.70	0.70	CAD	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
02/04/2024	03/02/2024		MXF602300118	MXF602300118	1	0.91	0.91	CAD	S	1667655325	Gisela Romero	La Malagueña	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/04/2024	03/02/2024		MXF600601456	MXF600601456	1	0.91	0.91	CAD	S	152512007	Los Folkloristas	Cacharpaya del Indio (Cacharpaya, Bolivia)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/04/2024	03/02/2024		MXF600602587	MXF600602587	1	0.70	0.70	CAD	S	168290096	Chalice	Pocomania Day	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
02/04/2024	03/02/2024		MXF600900694	MXF600900694	1	0.70	0.70	CAD	S	333917517	Pakal feat. Max	Esperanza	Fonarte Latino SA de CV		H		CA			0.99	CAD
02/04/2024	03/02/2024		MXF602300124	MXF602300124	1	0.91	0.91	CAD	S	1667655331	Gisela Romero	Acá Entre Nos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/04/2024	03/02/2024		MXF601800229	MXF601800229	1	0.91	0.91	CAD	S	1351397850	Esteban Herrera Trio	Agua	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/04/2024	03/02/2024	7509841281027		7509841281027	1	7.00	7.00	CAD	S	1647420619	Esteban Herrera	Colibrí de Papel (Paper Hummingbird)	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
