Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
12/29/2024	02/01/2025		MXF600600020	MXF600600020	1	1.29	1.29	AUD	S	143894745	Pablo Milanés	Pobre del Cantor	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
12/29/2024	02/01/2025		MXF600600022	MXF600600022	1	1.29	1.29	AUD	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
12/29/2024	02/01/2025		MXF601800269	MXF601800269	1	1.29	1.29	AUD	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/29/2024	02/01/2025		MXF602000674	MXF602000674	1	1.29	1.29	AUD	S	1542072808	Fadi El Saadi	Mawoud	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/29/2024	02/01/2025		MXF602200167	MXF602200167	1	0.91	0.91	CAD	S	1625747577	Antonio De Carlo	En Mil Pedazos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025		MXF600602796	MXF600602796	1	0.70	0.70	CAD	S	186139665	Amparo Ochoa	La Maldición de la Malinche	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/29/2024	02/01/2025		MX3941700012	MX3941700012	1	0.91	0.91	CAD	S	1228317939	Dueto Lucah	Solo Tú	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025		MX3941300124	MX3941300124	1	0.91	0.91	CAD	S	1021336449	Jorge Dominguez	Ella Es	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025		MXF601000124	MXF601000124	1	0.91	0.91	CAD	S	364390277	Fadi El Saadi	Hesbe Wdab	Fonarte Latino SA de CV		H		CA			1.29	CAD
12/29/2024	02/01/2025		MXF602300542	MXF602300542	1	0.91	0.91	CAD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025		MXF600900722	MXF600900722	1	0.91	0.91	CAD	S	335171824	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025	7509841281805		7509841281805	1	7.00	7.00	CAD	S	1680262774	Big Band Jazz de México	Resiliencia Por Una Nota	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
12/29/2024	02/01/2025		MXF600900157	MXF600900157	1	0.91	0.91	CAD	S	319834694	Inspector	Y Qué	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/29/2024	02/01/2025		MXF600800330	MXF600800330	1	0.70	0.70	CAD	S	314435617	Terceto de Guitarras de la Ciudad de Mexico	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/29/2024	02/01/2025		MXF600600002	MXF600600002	1	0.70	0.70	CAD	S	178764968	Amparo Ochoa	Tierra Humeda	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/29/2024	02/01/2025		MXF600602587	MXF600602587	1	0.70	0.70	CAD	S	168290096	Chalice	Pocomania Day	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/29/2024	02/01/2025		MXF601100828	MXF601100828	1	1.12	1.12	CHF	S	466634822	Los Folkloristas	Tierra Mestiza (México)	Fonarte Latino SA de CV		H		CH			1.90	CHF
12/29/2024	02/01/2025		MXF600600347	MXF600600347	1	1.12	1.12	CHF	S	184243565	Los Folkloristas	Arroz Con Concolón (Festejo, Perú)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/29/2024	02/01/2025		MXF600600343	MXF600600343	1	1.12	1.12	CHF	S	184243051	Los Folkloristas	La Paloma (Trote, Chile)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/29/2024	02/01/2025		MXF602200034	MXF602200034	1	0.90	0.90	EUR	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
12/29/2024	02/01/2025		MXF601600400	MXF601600400	1	0.90	0.90	EUR	S	1145564032	Los Folkloristas	Canto de La Mañana (Pasaje-Joropo) [Venezuela]	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/29/2024	02/01/2025	7509841210188		7509841210188	1	4.90	4.90	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
12/29/2024	02/01/2025		MXF600600052	MXF600600052	1	0.71	0.71	EUR	S	145022072	Los Morales, Amparo Ochoa	La Mano y el Pie	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
12/29/2024	02/01/2025		MXF602300299	MXF602300299	1	0.90	0.90	EUR	S	1683409289	Fadi El Saadi	Alf Leila (الف ليله)	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
12/29/2024	02/01/2025		MXF601600410	MXF601600410	1	0.90	0.90	EUR	S	1145564042	Los Folkloristas	Latinoamérica	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/29/2024	02/01/2025		MXF601600414	MXF601600414	1	0.90	0.90	EUR	S	1145564046	Los Folkloristas	El Cóndor Pasa (Yaraví-Huayno) [Perú]	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/29/2024	02/01/2025		MXF601600415	MXF601600415	1	0.90	0.90	EUR	S	1145564047	Los Folkloristas	Garcita Morena / Tengo Una Pena (Currulao - Rumba Timbiqueña) [Colombia]	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/29/2024	02/01/2025		MXF601600422	MXF601600422	1	0.90	0.90	EUR	S	1145564242	Los Folkloristas	Raíz Viva (En Vivo)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/29/2024	02/01/2025		MXF600601011	MXF600601011	1	0.57	0.57	GBP	S	152417431	Orquesta Aragón	Mi Bajo con Tumbao	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/29/2024	02/01/2025		MXF601400885	MXF601400885	1	0.72	0.72	GBP	S	922599370	Los Folkloristas	La Martiniana (Son Istmeño) [México]	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
