Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
12/28/2025	01/31/2026		MXF602300300	MXF602300300	1	1.29	1.29	AUD	S	1683409290	Fadi El Saadi	Fakarouni (فكروني)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/28/2025	01/31/2026		MXF600602587	MXF600602587	2	0.70	1.40	CAD	S	168290096	Chalice	Pocomania Day	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/28/2025	01/31/2026		MXF601400375	MXF601400375	1	0.70	0.70	CAD	S	847770068	Joe d'Etienne Big Band	Latin Dream	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/28/2025	01/31/2026		MXF602100672	MXF602100672	1	0.91	0.91	CAD	S	1588805390	Las Ánimas del Cuarto Obscuro	Hasta Luego	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/28/2025	01/31/2026		MXF602200167	MXF602200167	1	0.91	0.91	CAD	S	1625747577	Antonio De Carlo	En Mil Pedazos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/28/2025	01/31/2026		MXF601600158	MXF601600158	1	1.12	1.12	CHF	S	1105096898	Fadi El Saadi	Samb Fadi	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/28/2025	01/31/2026		MXF601300538	MXF601300538	1	0.86	0.86	CHF	S	646895760	Alejandra Robles	Serpientes Y Escaleras (feat. Regina Orozco)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
12/28/2025	01/31/2026		MXF601400391	MXF601400391	1	1486.55	1486.55	COP	S	859366063	Olga Maria	Si Yo Te Contara (feat. Carlos Macías)	Fonarte Latino, S.A. de C.V.		H		CO			2900.00	COP
12/28/2025	01/31/2026		MXF602300392	MXF602300392	1	1794.12	1794.12	COP	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
12/28/2025	01/31/2026		MXF601300863	MXF601300863	1	1486.55	1486.55	COP	S	694734845	Calacas Jazz Band	Cantina Band	Fonarte Latino, S.A. de C.V.		H		CO			2900.00	COP
12/28/2025	01/31/2026		MXF602000095	MXF602000095	1	1794.12	1794.12	COP	S	1501409523	Carlos Macías	Mi Eterno Amor Secreto	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
12/28/2025	01/31/2026		MXF600600016	MXF600600016	1	0.90	0.90	EUR	S	143894584	Pablo Milanés	Si el Poeta Eres Tú	Fonarte Latino, S.A. de C.V.		H		AT			1.29	EUR
12/28/2025	01/31/2026		MXF600900722	MXF600900722	1	0.90	0.90	EUR	S	335171824	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026		MXF600600018	MXF600600018	1	0.90	0.90	EUR	S	143894648	Silvio Rodríguez	Santiago de Chile	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026		MXF600600016	MXF600600016	1	0.90	0.90	EUR	S	143894584	Pablo Milanés	Si el Poeta Eres Tú	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026		MXF602400040	MXF602400040	1	0.90	0.90	EUR	S	1743042443	Carlos Macías	Aunque Sea en Otra Vida	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
12/28/2025	01/31/2026		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		AT			1.29	EUR
12/28/2025	01/31/2026		MXF600600429	MXF600600429	1	0.90	0.90	EUR	S	145983128	Fernando Delgadillo	En Tu Cumpleaños	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026		MXF602300326	MXF602300326	1	0.90	0.90	EUR	S	1687707230	Iraida Noriega, Blanch, Cupich, Nandayapa Trío	Hijo De La Luna	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/28/2025	01/31/2026		MXF602500139	MXF602500139	1	0.90	0.90	EUR	S	1820993497	Los Korucos	Los Ojeiters (Haters) [feat. 8 Kalacas]	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/28/2025	01/31/2026		MXF600600431	MXF600600431	1	0.90	0.90	EUR	S	145983196	Fernando Delgadillo	Hoy Hace un Buen Día	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026	7509841212588		7509841212588	1	4.90	4.90	EUR	S	153330174	Various Artists	Rapza 4 - The Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
12/28/2025	01/31/2026		MXF600600494	MXF600600494	1	0.90	0.90	EUR	S	167016381	Mexicanto	Agua de Mar	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/28/2025	01/31/2026	7509841211659		7509841211659	1	6.50	6.50	EUR	S	167020810	El Pro Musica del Rosario	Le Canta a los Niños del Mundo	Fonarte Latino, S.A. de C.V.		I		ES			11.99	EUR
12/28/2025	01/31/2026	7509841270069		7509841270069	1	4.90	4.90	EUR	S	317762094	Various Artists	Rapza 3 - the Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
12/28/2025	01/31/2026	7509841270052		7509841270052	1	4.90	4.90	EUR	S	317749680	Various Artists	Rapza 2 - the Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
12/28/2025	01/31/2026		MXF601800269	MXF601800269	1	0.90	0.90	EUR	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/28/2025	01/31/2026		MXF601500619	MXF601500619	1	0.90	0.90	EUR	S	1028042803	David Cavazos, Carlos Macías	Lo Que No Fue No Será	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
12/28/2025	01/31/2026		MXF602600016	MXF602600016	1	0.72	0.72	GBP	S	1872113710	Skapital Sound	Friends, Beer & Fun (Theme from Ska Wars Mexico)	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
12/28/2025	01/31/2026		MXF602000675	MXF602000675	1	148.00	148.00	JPY	S	1542072810	Fadi El Saadi	Zay El Asal	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/28/2025	01/31/2026		MXF602300300	MXF602300300	1	148.00	148.00	JPY	S	1683409290	Fadi El Saadi	Fakarouni (فكروني)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/28/2025	01/31/2026		MXF601401007	MXF601401007	1	148.00	148.00	JPY	S	934536124	Son de Madera	La Iguana	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/28/2025	01/31/2026		MXF602400190	MXF602400190	1	148.00	148.00	JPY	S	1745169028	Fadi El Saadi	Yekatherina Mejance (كاترينا)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/28/2025	01/31/2026	7509841284936		7509841284936	1	73.20	73.20	MXN	S	1831343466	Francisco Barrios "El Mastuerzo"	Un Son para Bailar	Fonarte Latino, S.A. de C.V.		I		MX		CMA	120.00	MXN
12/28/2025	01/31/2026	7509841212601		7509841212601	1	73.20	73.20	MXN	S	153346236	Various Artists	Ofrenda a Rockdrigo González, Vol. 1	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
12/28/2025	01/31/2026		MXF600601772	MXF600601772	1	9.15	9.15	MXN	S	153346619	Rockdrigo González	No Tengo Tiempo	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/28/2025	01/31/2026		MXF600602498	MXF600602498	1	7.32	7.32	MXN	S	154054168	Amaury Pérez	El Vino Triste	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/28/2025	01/31/2026		MXF600600512	MXF600600512	1	7.32	7.32	MXN	S	167019071	El Negro Ojeda	Llueve	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/28/2025	01/31/2026		MXF600600520	MXF600600520	1	7.32	7.32	MXN	S	167019504	El Negro Ojeda	Nicolás Guillén	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
