Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AE	555716419	Family Monthly Discounted Promo 1	1	0.02	0.02	AED	MXF601200792	Set El Hosn	Fadi El Saadi	0	1	MXF601200792	0	Fonarte Latino, S.A. de C.V.	
AE	1109552219	Individual Monthly Discounted Promo 1	5	0.018	0.09	AED	MXF601600200	AKA el AKA	Los MÃºsicos de JosÃ©	0	1	MXF601600200	0	Fonarte Latino, S.A. de C.V.	
AE	145129173	Individual Monthly Discounted Promo 16	1	0.011667	0.011667	AED	MXF600600098	Mujer	Amparo Ochoa	0	1	MXF600600098	0	Fonarte Latino, S.A. de C.V.	
AE	145129263	Individual Monthly Discounted Promo 16	1	0.011667	0.011667	AED	MXF600600101	La Chicanita de Aztlan	Amparo Ochoa	0	1	MXF600600101	0	Fonarte Latino, S.A. de C.V.	
AE	1745169027	Individual Monthly Discounted Promo 16	4	0.011667	0.046668	AED	MXF602400189	Al Raqqisa (Ø§Ù„Ø±Ø§Ù‚ØµÙ‡)	Fadi El Saadi	0	1	MXF602400189	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Individual Monthly Discounted Promo 2	1	0.03	0.03	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AE	1847717771	Family Monthly Gratis Trial	1	0	0	AED	MXF602500270	2/4 Maalay Ù…Ø¹Ù„Ø§ÙŠÙ‡	Diana Rash	0	1	MXF602500270	1	Fonarte Latino, S.A. de C.V.	
AE	1847717771	Family Monthly Gratis Trial	1	0	0	AED	MXF602500270	2/4 Maalay Ù…Ø¹Ù„Ø§ÙŠÙ‡	Diana Rash	0	1	MXF602500270	0	Fonarte Latino, S.A. de C.V.	
AE	388058661	Individual Introductory OFFER	1	0.04	0.04	AED	MXF600700348	El pirata Barbanegra	Pepe Frank, Grupo Papalote	0	1	MXF600700348	0	Fonarte Latino SA de CV	
AE	1777469273	Individual Introductory OFFER	3	0.04	0.12	AED	MXF602400330	Dakhlek wl Hawa (Ø¯Ø®Ù„Ùƒ ÙˆØ§Ù„Ù‡ÙˆØ§ Ø´Ù…Ø§Ù„ÙŠ)	Fadi El Saadi	0	1	MXF602400330	0	Fonarte Latino, S.A. de C.V.	
AE	1777469278	Individual Introductory OFFER	1	0.04	0.04	AED	MXF602400335	Al Hada (Ø¹Ø§Ù„Ù‡Ø¯Ø§)	Fadi El Saadi	0	1	MXF602400335	0	Fonarte Latino, S.A. de C.V.	
AE	256548197	Apple One Family Monthly PAID	2	0.021	0.042	AED	MXF600603014	Ella y Yo-Habaname	Carlos Varela	0	1	MXF600603014	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Apple One Family Monthly PAID	2	0.021	0.042	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AE	1500801306	Apple One Family Monthly PAID	2	0.021	0.042	AED	MXF602000101	A QuiÃ©n Le Importa?	Camila Sodi	0	1	MXF602000101	0	Fonarte Latino, S.A. de C.V.	
AE	1839991371	Apple One Family Monthly PAID	3	0.021	0.063	AED	MXF602500193	Ya Donya Dawara ÙŠØ§ Ø¯Ù†ÙŠØ§ Ø¯ÙˆØ§Ø±Ù‡	Fadi El Saadi	0	1	MXF602500193	0	Fonarte Latino, S.A. de C.V.	
AE	1847717771	Apple One Family Monthly PAID	1	0.021	0.021	AED	MXF602500270	2/4 Maalay Ù…Ø¹Ù„Ø§ÙŠÙ‡	Diana Rash	0	1	MXF602500270	0	Fonarte Latino, S.A. de C.V.	
AE	317772499	Apple One Individual Monthly PAID	2	0.030714	0.061428	AED	MXF600900301	Gasolina	Disidente	0	1	MXF600900301	0	Fonarte Latino, S.A. de C.V.	
AE	319834685	Apple One Individual Monthly PAID	1	0.030714	0.030714	AED	MXF600900156	Es Por Ti	Inspector	0	1	MXF600900156	0	Fonarte Latino, S.A. de C.V.	
AE	319834694	Apple One Individual Monthly PAID	6	0.030714	0.184284	AED	MXF600900157	Y QuÃ©	Inspector	0	1	MXF600900157	0	Fonarte Latino, S.A. de C.V.	
AE	319834714	Apple One Individual Monthly PAID	1	0.030714	0.030714	AED	MXF600900163	BÃ©same Mucho	Inspector	0	1	MXF600900163	0	Fonarte Latino, S.A. de C.V.	
