"iTunes Connect - Pagos e informes financieros	(Enero, 2026)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,4.61,4.61,0,0,0,4.61,4.67245,21.54,MXN,
Australia (AUD),1,,19.14,19.14,0,0,-1.92,17.22,12.11498,208.62,MXN,
Brasil (BRL),0,,46.01,46.01,0,0,0,46.01,3.28255,151.03,MXN,
Canadá (CAD),5,,61.22,61.22,0,0,0,61.22,12.53986,767.69,MXN,
Suiza (CHF),2,,9.12,9.12,0,0,0,9.12,22.11513,201.69,MXN,
Chile (CLP),0,,26913,26913,0,0,0,26913,0.0198,532.89,MXN,
China continental (CNY),0,,6.02,6.02,0,0,0,6.02,2.48671,14.97,MXN,
Colombia (COP),4,,87648.53,87648.53,0,0,0,87648.53,0.00464,407.09,MXN,
República Checa (CZK),0,,40.66,40.66,0,0,0,40.66,0.83153,33.81,MXN,
Dinamarca (DKK),0,,12.47,12.47,0,0,0,12.47,2.70249,33.7,MXN,
Egipto (EGP),0,,5.53,5.53,0,0,0,5.53,0.37251,2.06,MXN,
Eurozona (EUR),17,,149.79,149.79,0,0,0,149.79,20.19467,3024.96,MXN,
Reino Unido (GBP),1,,14.84,14.84,0,0,0,14.84,23.12601,343.19,MXN,
Hong Kong (HKD),0,,3.2,3.2,0,0,0,3.2,2.19688,7.03,MXN,
Hungría (HUF),0,,103,103,0,0,0,103,0.0533,5.49,MXN,
Indonesia (IDR),0,,5197,5197,0,0,0,5197,0.00102,5.32,MXN,
Israel (ILS),0,,10.72,10.72,0,0,0,10.72,5.47481,58.69,MXN,
India (INR),0,,91.62,91.62,0,0,0,91.62,0.18915,17.33,MXN,
Japón (JPY),4,,2792,2792,0,0,-279,2513,0.11048,277.64,MXN,
República de Corea (KRW),0,,2478,2478,0,0,0,2478,0.01184,29.35,MXN,
Kazajistán (KZT),0,,82.76,82.76,0,0,0,82.76,0.03528,2.92,MXN,
México (MXN),151,,29064.96,29064.96,0,0,0,29064.96,1,29064.96,MXN,
Malasia (MYR),0,,0.49,0.49,0,0,0,0.49,4.55102,2.23,MXN,
Noruega (NOK),0,,21.31,21.31,0,0,0,21.31,1.79165,38.18,MXN,
Nueva Zelanda (NZD),0,,1.57,1.57,0,0,-0.16,1.41,10.22695,14.42,MXN,
Perú (PEN),1,,55.41,55.41,0,0,0,55.41,5.10125,282.66,MXN,
Polonia (PLN),0,,4.4,4.4,0,0,0,4.4,4.75909,20.94,MXN,
Catar (QAR),0,,0.96,0.96,0,0,0,0.96,4.64583,4.46,MXN,
Rumanía (RON),0,,3.16,3.16,0,0,0,3.16,3.96519,12.53,MXN,
Rusia (RUB),0,,84.91,84.91,0,0,0,84.91,0.22436,19.05,MXN,
Arabia Saudí (SAR),0,,1.8,1.8,0,0,0,1.8,4.57222,8.23,MXN,
Suecia (SEK),1,,25.27,25.27,0,0,0,25.27,1.89236,47.82,MXN,
Singapur (SGD),0,,0.26,0.26,0,0,0,0.26,13.53846,3.52,MXN,
Türkiye (TRY),1,,25.83,25.83,0,0,0,25.83,0.39141,10.11,MXN,
Taiwán (TWD),1,,70,70,0,0,0,70,0.54429,38.1,MXN,
Resto del mundo (USD),0,,1.38,1.38,0,0,0,1.38,17.15942,23.68,MXN,
América (USD),96,,1617.75,1617.75,0,0,-161.78,1455.97,17.1622,24987.65,MXN,
América Latina y el Caribe (USD),0,,66.5,66.5,0,0,0,66.5,17.16226,1141.29,MXN,
Sudáfrica (ZAR),0,,9.31,9.31,0,0,0,9.31,1.06552,9.92,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"61,876.76 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
