Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		MXF600602453	MXF600602453	1	0.99	0.99	AUD	S	154051610	Violeta Parra	Casamiento de Negros	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
02/01/2026	02/28/2026		MXF600600428	MXF600600428	1	0.91	0.91	CAD	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/01/2026	02/28/2026		MXF601700304	MXF601700304	1	0.91	0.91	CAD	S	1275156146	Carlos Macías	Y Sin Embargo (feat. Lisset) [En Vivo]	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/01/2026	02/28/2026		MXF602000101	MXF602000101	1	0.91	0.91	CAD	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/01/2026	02/28/2026		MXF601900100	MXF601900100	1	0.90	0.90	EUR	S	1460030007	Yolotecuani	Son Guerrerense	Fonarte Latino, S.A. de C.V.		H		NL			1.29	EUR
02/01/2026	02/28/2026		MXF600600020	MXF600600020	1	0.90	0.90	EUR	S	143894745	Pablo Milanés	Pobre del Cantor	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
02/01/2026	02/28/2026		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
02/01/2026	02/28/2026		MXF601500078	MXF601500078	1	0.90	0.90	EUR	S	965974078	Caña Dulce y Caña Brava	El Aguanieve con Zapateado	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
02/01/2026	02/28/2026		MXF602000101	MXF602000101	1	0.90	0.90	EUR	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
02/01/2026	02/28/2026		MXF600602793	MXF600602793	1	0.71	0.71	EUR	S	186139522	Amparo Ochoa	La Calaca	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
02/01/2026	02/28/2026		MXF600800159	MXF600800159	1	0.90	0.90	EUR	S	292730769	Los Folkloristas	Cacharpaya del Indio (Cacharpaya)	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
02/01/2026	02/28/2026		MXF601000652	MXF601000652	1	0.71	0.71	EUR	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		NL			0.99	EUR
02/01/2026	02/28/2026		MXF601800269	MXF601800269	1	0.90	0.90	EUR	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
02/01/2026	02/28/2026		MXF601900185	MXF601900185	1	0.72	0.72	GBP	S	1462666030	Elenco Original de Zaratustra, Alejandro Jodorowsky	Pasaje Festivo	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
02/01/2026	02/28/2026		MXF602600016	MXF602600016	1	0.72	0.72	GBP	S	1872113710	Skapital Sound	Friends, Beer & Fun (Theme from Ska Wars Mexico)	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
02/01/2026	02/28/2026		MXF601401043	MXF601401043	1	148.00	148.00	JPY	S	952847548	Louise Phelan	Perhaps, Perhaps, Perhaps (Quizás, Quizás, Quizás)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
02/01/2026	02/28/2026		MXF600600299	MXF600600299	1	7.32	7.32	MXN	S	167014224	Amparo Ochoa	Jacinto Cenobio	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF602500179	MXF602500179	1	9.15	9.15	MXN	S	1836496260	Iraida Noriega, Blanch, Cupich, Nandayapa Trío	Lunática (feat. Israel Cupich, Roberto Blanco, Tavo Nandayapa & Leika Mochán)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600900736	MXF600900736	1	9.15	9.15	MXN	S	335171918	Mexicanto	Hacerte Venir	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF602400102	MXF602400102	1	9.15	9.15	MXN	S	1743042438	Carlos Macías	Un Pacto de Silencio	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600602057	MXF600602057	1	7.32	7.32	MXN	S	160579731	Legion Marvel	Nuestro Orgullo  (Baja California)	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600900276	MXF600900276	1	7.32	7.32	MXN	S	317762139	69 Lokos	Nunca Es Tarde	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600900269	MXF600900269	1	7.32	7.32	MXN	S	317762106	River Side	Tres mexicanos	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600800330	MXF600800330	1	7.32	7.32	MXN	S	314435617	Terceto de Guitarras de la Ciudad de Mexico	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600800280	MXF600800280	1	9.15	9.15	MXN	S	303594899	Ensamble Tierra Mestiza	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600800277	MXF600800277	2	9.15	18.30	MXN	S	303594888	Ensamble Tierra Mestiza	Fandango	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600603399	MXF600603399	1	7.32	7.32	MXN	S	208082214	José Manuel Aguilera, Jaime López	Malafacha	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600212	MXF600600212	1	9.15	9.15	MXN	S	167018223	Chava Flores	¿A Que Le Tiras Cuando Sueñas?	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600900163	MXF600900163	1	9.15	9.15	MXN	S	319834714	Inspector	Bésame Mucho	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600600428	MXF600600428	6	9.15	54.90	MXN	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600600131	MXF600600131	1	7.32	7.32	MXN	S	145384594	Kitzia y Gabriela	Los Niños	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600078	MXF600600078	1	7.32	7.32	MXN	S	145022757	Amparo Ochoa	El Papalote Azul	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600062	MXF600600062	1	9.15	9.15	MXN	S	144252247	Gabino Palomares	La Maldicion de Malinche	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600900156	MXF600900156	5	9.15	45.75	MXN	S	319834685	Inspector	Es Por Ti	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600600321	MXF600600321	1	7.32	7.32	MXN	S	151379102	Real de Catorce	Flores en la Ventana	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600204	MXF600600204	2	9.15	18.30	MXN	S	167017911	Chava Flores	Sábado D.F.	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026	7503002788318		7503002788318	1	73.20	73.20	MXN	S	152436084	Alberto Escobar	Ciudadano del Mundo	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
02/01/2026	02/28/2026		MXF602500304	MXF602500304	13	9.15	118.95	MXN	S	1851120173	Lucero	Mi Verdad Oculta	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF602600016	MXF602600016	1	9.15	9.15	MXN	S	1872113710	Skapital Sound	Friends, Beer & Fun (Theme from Ska Wars Mexico)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF602600017	MXF602600017	2	9.15	18.30	MXN	S	1872453677	Carlos Macías	Perro Viejo	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600600326	MXF600600326	1	7.32	7.32	MXN	S	151379135	Real de Catorce	El Lobo	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600601007	MXF600601007	1	7.32	7.32	MXN	S	152417417	Orquesta Aragón	Su Majestad el Danzón	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF602500257	MXF602500257	1	9.15	9.15	MXN	S	1844699762	Carlos Macías	Nos Quisimos (En Vivo) [feat. Carlos Cuevas]	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600601439	MXF600601439	1	7.32	7.32	MXN	S	152511002	Alberto Escobar	Coincidir	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600601695	MXF600601695	1	7.32	7.32	MXN	S	153616935	Kartel Aztlan, Crimen Urbano	La Conecta Crimen Aztlán	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600900722	MXF600900722	1	9.15	9.15	MXN	S	335171824	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026		MXF600602499	MXF600602499	1	7.32	7.32	MXN	S	154054212	Amaury Pérez	Hacerte Venir	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600601963	MXF600601963	1	7.32	7.32	MXN	S	156824950	Yucatán A Go Go	Abuela Zombie	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600320	MXF600600320	1	7.32	7.32	MXN	S	151379096	Real de Catorce	Me miraba a los Ojos	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600600319	MXF600600319	1	7.32	7.32	MXN	S	151379085	Real de Catorce	Azul	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
02/01/2026	02/28/2026		MXF600602769	MXF600602769	1	9.15	9.15	MXN	S	146758662	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/01/2026	02/28/2026	7509841282697		7509841282697	1	73.20	73.20	MXN	S	1715039366	Pepe Frank	El Canto del Colibrí	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
