"iTunes Connect - Pagos e informes financieros	(Febrero, 2026)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","4.32","4.32","0","0","0","4.32","4.83796","20.90","MXN",
"Australia (AUD)","1","16.76","16.76","0","0","-1.68","15.08","12.55106","189.27","MXN",
"Brasil (BRL)","0","31.44","31.44","0","0","0","31.44","3.37913","106.24","MXN",
"Canadá (CAD)","3","52.28","52.28","0","0","0","52.28","12.95046","677.05","MXN",
"Suiza (CHF)","0","7.45","7.45","0","0","0","7.45","22.54631","167.97","MXN",
"Chile (CLP)","0","24684.00","24684.00","0","0","0","24684.00","0.01930","476.49","MXN",
"China continental (CNY)","0","4.65","4.65","0","0","0","4.65","2.57849","11.99","MXN",
"Colombia (COP)","0","72013.98","72013.98","0","0","0","72013.98","0.00481","346.44","MXN",
"República Checa (CZK)","0","18.76","18.76","0","0","0","18.76","0.83316","15.63","MXN",
"Dinamarca (DKK)","0","12.95","12.95","0","0","0","12.95","2.74749","35.58","MXN",
"Eurozona (EUR)","9","108.86","108.86","0","0","0","108.86","20.53114","2235.02","MXN",
"Reino Unido (GBP)","2","13.68","13.68","0","0","0","13.68","23.76827","325.15","MXN",
"Hong Kong (HKD)","0","3.43","3.43","0","0","0","3.43","2.26822","7.78","MXN",
"Hungría (HUF)","0","88.00","88.00","0","0","0","88.00","0.05250","4.62","MXN",
"Indonesia (IDR)","0","3584.00","3584.00","0","0","0","3584.00","0.00104","3.73","MXN",
"Israel (ILS)","0","6.35","6.35","0","0","0","6.35","5.68031","36.07","MXN",
"India (INR)","0","108.30","108.30","0","0","0","108.30","0.19197","20.79","MXN",
"Japón (JPY)","1","2046.00","2046.00","0","0","-205.00","1841.00","0.11192","206.04","MXN",
"República de Corea (KRW)","0","1029.00","1029.00","0","0","0","1029.00","0.01191","12.26","MXN",
"México (MXN)","121","24399.94","24399.94","0","0","0","24399.94","1.00000","24399.94","MXN",
"Malasia (MYR)","0","1.75","1.75","0","0","0","1.75","4.46857","7.82","MXN",
"Noruega (NOK)","0","11.42","11.42","0","0","0","11.42","1.86077","21.25","MXN",
"Nueva Zelanda (NZD)","0","1.41","1.41","0","0","-0.14","1.27","10.41732","13.23","MXN",
"Perú (PEN)","0","43.21","43.21","0","0","0","43.21","5.14349","222.25","MXN",
"Filipinas (PHP)","0","6.39","6.39","0","0","0","6.39","0.30516","1.95","MXN",
"Polonia (PLN)","1","4.55","4.55","0","0","0","4.55","4.80220","21.85","MXN",
"Catar (QAR)","0","0.46","0.46","0","0","0","0.46","5.02174","2.31","MXN",
"Rumanía (RON)","0","2.50","2.50","0","0","0","2.50","3.98000","9.95","MXN",
"Rusia (RUB)","0","76.63","76.63","0","0","0","76.63","0.20632","15.81","MXN",
"Arabia Saudí (SAR)","0","1.18","1.18","0","0","0","1.18","4.72881","5.58","MXN",
"Suecia (SEK)","1","22.99","22.99","0","0","0","22.99","1.90561","43.81","MXN",
"Singapur (SGD)","1","1.16","1.16","0","0","0","1.16","13.87931","16.10","MXN",
"Tailandia (THB)","0","3.30","3.30","0","0","0","3.30","0.53939","1.78","MXN",
"Türkiye (TRY)","1","25.80","25.80","0","0","0","25.80","0.40116","10.35","MXN",
"Taiwán (TWD)","0","30.00","30.00","0","0","0","30.00","0.55667","16.70","MXN",
"América Latina y el Caribe (USD)","1","57.76","57.76","0","0","0","57.76","17.76610","1026.17","MXN",
"Resto del mundo (USD)","0","0.92","0.92","0","0","0","0.92","17.76087","16.34","MXN",
"América (USD)","124","1412.93","1412.93","0","0","-141.29","1271.64","17.76610","22592.08","MXN",
"Sudáfrica (ZAR)","0","11.34","11.34","0","0","0","11.34","1.04938","11.90","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"53,356.19 MXN",,
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
