Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/02/2025	03/01/2025	7509841440431		7509841440431	1	9.99	9.99	AUD	S	292749894	Los Folkloristas	Ecuador	Fonarte Latino, S.A. de C.V.		I		AU			16.99	AUD
02/02/2025	03/01/2025		MXF601700333	MXF601700333	1	1.29	1.29	AUD	S	1281656083	Botellita de Jerez	Abuelita de Batman	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
02/02/2025	03/01/2025		MXF602300265	MXF602300265	1	1.77	1.77	BRL	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
02/02/2025	03/01/2025		MXF600602597	MXF600602597	1	0.70	0.70	CAD	S	168290661	Chalice	I'm Trying	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
02/02/2025	03/01/2025		MXF601900086	MXF601900086	1	0.91	0.91	CAD	S	1460029019	Yolotecuani	Gatito	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF600602601	MXF600602601	1	0.70	0.70	CAD	S	168290841	Chalice	Dance Hall Monic	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
02/02/2025	03/01/2025		MXF600600714	MXF600600714	1	0.70	0.70	CAD	S	152369511	Ilonka	Cantos de Pilón	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
02/02/2025	03/01/2025		MXF601900088	MXF601900088	1	0.91	0.91	CAD	S	1460029021	Yolotecuani	Mariquita (Gusto)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF601900090	MXF601900090	1	0.91	0.91	CAD	S	1460029023	Yolotecuani	Asómate a Tu Ventana (Cruz Grande)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF601900104	MXF601900104	1	0.91	0.91	CAD	S	1460030011	Yolotecuani	La Consejera	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF601900102	MXF601900102	1	0.91	0.91	CAD	S	1460030009	Yolotecuani	Morenita	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF601900097	MXF601900097	1	0.91	0.91	CAD	S	1460029914	Yolotecuani	La Malagueña Curreña	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025		MXF601900094	MXF601900094	1	0.91	0.91	CAD	S	1460029027	Yolotecuani	Angelito (Parabienes) [Costa Chica]	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
02/02/2025	03/01/2025	7509841440486		7509841440486	1	6.75	6.75	CHF	S	319834662	Inspector	Inspector	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
02/02/2025	03/01/2025		MXF600700104	MXF600700104	1	421.00	421.00	CLP	S	257289366	Fernando Delgadillo	Julieta	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
02/02/2025	03/01/2025		MXF600800018	MXF600800018	1	0.71	0.71	EUR	S	289352032	Ernesto Cavour	Leño Verde (Carnaval)	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
02/02/2025	03/01/2025	7509841212885		7509841212885	1	4.90	4.90	EUR	S	160579816	Various Artists	Rapza 6 : The Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
02/02/2025	03/01/2025	7509841270076		7509841270076	1	4.90	4.90	EUR	S	317765232	Various Artists	Rapza 7 - the Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
02/02/2025	03/01/2025	7509841212625		7509841212625	1	4.90	4.90	EUR	S	160452177	Various Artists	Rapza 5 - The Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
02/02/2025	03/01/2025		MXF602300542	MXF602300542	1	0.90	0.90	EUR	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
02/02/2025	03/01/2025		MXF601800259	MXF601800259	1	0.90	0.90	EUR	S	1357299998	Big Band Jazz de México	All Right Ok, You Win	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
02/02/2025	03/01/2025		MXF600603014	MXF600603014	1	0.71	0.71	EUR	S	256548197	Carlos Varela	Ella y Yo-Habaname	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
02/02/2025	03/01/2025	7509841440455		7509841440455	1	4.90	4.90	EUR	S	292785913	Los Folkloristas	Venezuela	Fonarte Latino, S.A. de C.V.		I		IT			8.99	EUR
02/02/2025	03/01/2025		MXF601800107	MXF601800107	1	0.90	0.90	EUR	S	1348863628	Daniel Herrera	Miedo de Amar	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
02/02/2025	03/01/2025	7509841275033		7509841275033	1	4.90	4.90	EUR	S	1348863341	Daniel Herrera	Algo Contigo	Fonarte Latino, S.A. de C.V.		I		ES		CMA	8.99	EUR
02/02/2025	03/01/2025		MXF601600467	MXF601600467	1	0.90	0.90	EUR	S	1154556088	Regina Orozco	Paloma Negra	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
02/02/2025	03/01/2025		MXF601800261	MXF601800261	1	0.90	0.90	EUR	S	1357300000	Big Band Jazz de México	All of Me	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
02/02/2025	03/01/2025		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
02/02/2025	03/01/2025		MXF601800107	MXF601800107	-1	0.90	-0.90	EUR	R	1348863628	Daniel Herrera	Miedo de Amar	Fonarte Latino, S.A. de C.V.		H		ES		CMA-C	-1.29	EUR
02/02/2025	03/01/2025		MXF602300542	MXF602300542	1	0.90	0.90	EUR	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
02/02/2025	03/01/2025		MXF602300544	MXF602300544	1	0.90	0.90	EUR	S	1712350538	Fadi El Saadi	Dalali Mix (دلالي دلالي مكس)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
02/02/2025	03/01/2025	7509841210157		7509841210157	1	4.90	4.90	EUR	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		NL			8.99	EUR
02/02/2025	03/01/2025		MXF602400213	MXF602400213	1	0.72	0.72	GBP	S	1747794859	Marco León, Alessandra Goñi Bucio	Este Amor	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
02/02/2025	03/01/2025		MXF600600088	MXF600600088	1	0.57	0.57	GBP	S	145023241	Gerardo Tamez	Aires de Son	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
02/02/2025	03/01/2025		MXF602400366	MXF602400366	1	0.72	0.72	GBP	S	1781715661	Daniela Romo	Amor Amargo	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
02/02/2025	03/01/2025		MXF602300552	MXF602300552	1	148.00	148.00	JPY	S	1715055393	Lucero	El Último Trago	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
02/02/2025	03/01/2025		MXF602100647	MXF602100647	1	148.00	148.00	JPY	S	1587754530	Fadi El Saadi	Al Amal الامل (Entrance)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
02/02/2025	03/01/2025		MXF601200792	MXF601200792	2	118.00	236.00	JPY	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
02/02/2025	03/01/2025		MXF601600467	MXF601600467	-1	9.15	-9.15	MXN	R	1154556088	Regina Orozco	Paloma Negra	Fonarte Latino, S.A. de C.V.		H		MX		CMA-C	-15.00	MXN
02/02/2025	03/01/2025		MXF601301185	MXF601301185	1	9.15	9.15	MXN	S	765846871	Carlos Macías	Ese Momento	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
02/02/2025	03/01/2025	7509841317436		7509841317436	1	91.50	91.50	MXN	S	1145563599	Los Folkloristas	50 Años	Fonarte Latino, S.A. de C.V.		I		MX			150.00	MXN
