"iTunes Connect - Pagos e informes financieros	(Marzo, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,0,0,0,3.15,0,3.15,4.68571,14.76,MXN,
Australia (AUD),6,,7.85,7.85,0,14.95,-2.1,20.7,11.04976,228.73,MXN,
Brasil (BRL),1,,1.99,1.99,0,28.19,-2.82,27.36,3.27741,89.67,MXN,
Canadá (CAD),4,,3.88,3.88,0,57.02,-14.26,46.64,12.51201,583.56,MXN,
Suiza (CHF),1,,1.39,1.39,0,10.08,0,11.47,18.94333,217.28,MXN,
Chile (CLP),2,,3569,3569,0,23028,-2303,24294,0.01777,431.81,MXN,
China continental (CNY),0,,0,0,0,5.25,0,5.25,2.37333,12.46,MXN,
Colombia (COP),0,,341.16,341.16,0,55822.17,-5582.22,50581.11,0.00439,222.19,MXN,
República Checa (CZK),0,,0,0,0,20.95,0,20.95,0.72649,15.22,MXN,
Dinamarca (DKK),0,,0.21,0.21,0,8,0,8.21,2.45798,20.18,MXN,
Eurozona (EUR),19,,26.82,26.82,0,114.8,0,141.62,18.34211,2597.61,MXN,
Reino Unido (GBP),0,,0.11,0.11,0,13.71,0,13.82,21.42619,296.11,MXN,
Hong Kong (HKD),0,,0,0,0,3.45,0,3.45,2.1971,7.58,MXN,
Hungría (HUF),0,,0,0,0,144,0,144,0.04715,6.79,MXN,
Indonesia (IDR),0,,0,0,0,2094,0,2094,0.00105,2.2,MXN,
Israel (ILS),0,,0,0,0,7.97,0,7.97,4.53325,36.13,MXN,
India (INR),0,,0,0,0,33.35,0,33.35,0.2036,6.79,MXN,
Japón (JPY),9,,1876,1876,0,1753,-363,3266,0.11142,363.9,MXN,
Corea del Sur (KRW),0,,0,0,0,1948,0,1948,0.01252,24.39,MXN,
Kazajistán (KZT),0,,0,0,0,89.9,0,89.9,0.03871,3.48,MXN,
México (MXN),143,,2373.43,2373.43,0,18939.6,-1893.96,19419.07,1,19419.07,MXN,
Malasia (MYR),0,,0,0,0,1.65,0,1.65,3.55758,5.87,MXN,
Noruega (NOK),0,,0.35,0.35,0,14.22,0,14.57,1.55937,22.72,MXN,
Nueva Zelanda (NZD),0,,0.02,0.02,0,2.69,-0.2,2.51,10.14741,25.47,MXN,
Perú (PEN),0,,0.18,0.18,0,48.82,-4.88,44.12,4.60313,203.09,MXN,
Filipinas (PHP),0,,0,0,0,8.1,0,8.1,0.29383,2.38,MXN,
Polonia (PLN),0,,0,0,0,4.86,0,4.86,4.22634,20.54,MXN,
Catar (QAR),0,,0,0,0,0.87,0,0.87,4.64368,4.04,MXN,
Rumanía (RON),0,,0,0,0,3.16,0,3.16,3.71519,11.74,MXN,
Rusia (RUB),0,,0,0,0,82.13,0,82.13,0.18312,15.04,MXN,
Arabia Saudí (SAR),0,,0,0,0,3.15,0,3.15,4.5873,14.45,MXN,
Suecia (SEK),7,,58.44,58.44,0,14.97,0,73.41,1.56913,115.19,MXN,
Singapur (SGD),0,,0,0,0,1.52,0,1.52,12.63816,19.21,MXN,
Turquía (TRY),0,,0,0,0,15.34,0,15.34,0.52803,8.1,MXN,
Taiwán (TWD),0,,0,0,0,18,0,18,0.53,9.54,MXN,
Resto del mundo (USD),0,,0,0,0,0.57,0,0.57,17.21053,9.81,MXN,
América Latina y el Caribe (USD),1,,6.46,6.46,0,54.14,-5.41,55.19,17.21055,949.85,MXN,
América (USD),101,,155.6,155.6,0,1290.69,-144.63,1301.66,17.2106,22402.35,MXN,
Sudáfrica (ZAR),0,,0,0,0,14.98,0,14.98,0.89653,13.43,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"48,452.73 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
