Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
03/02/2025	03/29/2025	7509841440431		7509841440431	1	9.99	9.99	AUD	S	292749894	Los Folkloristas	Ecuador	Fonarte Latino, S.A. de C.V.		I		AU			16.99	AUD
03/02/2025	03/29/2025		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
03/02/2025	03/29/2025	7509841284431		7509841284431	1	7.00	7.00	CAD	S	1789975096	Santaella	Se Cancela la Depre	Fonarte Latino, S.A. de C.V.		I		CA		CMA	9.99	CAD
03/02/2025	03/29/2025		MXF602400364	MXF602400364	-1	0.91	-0.91	CAD	R	1779987486	Santaella	Mi Última Cerveza	Fonarte Latino, S.A. de C.V.		H		CA	P	CMA-C	-1.29	CAD
03/02/2025	03/29/2025		MXF602300501	MXF602300501	-1	0.91	-0.91	CAD	R	1707425935	Santaella	No Vuelvas a Llamarme	Fonarte Latino, S.A. de C.V.		H		CA		CMA-C	-1.29	CAD
03/02/2025	03/29/2025		MXF600900854	MXF600900854	1	0.91	0.91	CAD	S	338325603	Los Folkloristas	El cascabel	Fonarte Latino SA de CV		H		CA			1.29	CAD
03/02/2025	03/29/2025		MXF600601508	MXF600601508	1	0.70	0.70	CAD	S	188836978	Ilonka	Tonadas de Ordeño (Folklore Venezolano)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/02/2025	03/29/2025		MXF600601511	MXF600601511	1	0.70	0.70	CAD	S	188837150	Ilonka	Tarde de Lluvia (Pasillo)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/02/2025	03/29/2025		MXF600601520	MXF600601520	1	0.70	0.70	CAD	S	188837551	Ilonka	El Pijul (Son Jarocho)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/02/2025	03/29/2025		MXF600900848	MXF600900848	1	0.91	0.91	CAD	S	338325473	Los Folkloristas	El Pájaro Carpintero	Fonarte Latino SA de CV		H		CA			1.29	CAD
