"iTunes Connect - Pagos e informes financieros	(Marzo, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Saldos,Unidades vendidas,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),,0,2.37,2.37,0,0,0,2.37,5.44726,12.91,MXN,
Australia (AUD),,2,27.26,27.26,0,0,-2.72,24.54,12.74124,312.67,MXN,
Bulgaria (BGN),,0,0.24,0.24,0,0,0,0.24,11.375,2.73,MXN,
Brasil (BRL),,0,31.13,31.13,0,0,0,31.13,3.4054,106.01,MXN,
Canadá (CAD),,4,69.74,69.74,0,0,0,69.74,14.37984,1002.85,MXN,
Suiza (CHF),,3,12.31,12.31,0,0,0,12.31,24.48416,301.4,MXN,
Chile (CLP),,0,23385,23385,0,0,0,23385,0.02068,483.67,MXN,
China continental (CNY),,0,3.69,3.69,0,0,0,3.69,2.73442,10.09,MXN,
Colombia (COP),,1,77057.45,77057.45,0,0,0,77057.45,0.00462,356.05,MXN,
República Checa (CZK),,0,19.9,19.9,0,0,0,19.9,0.90201,17.95,MXN,
Dinamarca (DKK),,1,15.69,15.69,0,0,0,15.69,3.04398,47.76,MXN,
Eurozona (EUR),,9,122.26,122.26,0,0,0,122.26,22.72509,2778.37,MXN,
Reino Unido (GBP),,6,21.84,21.84,0,0,0,21.84,26.53617,579.55,MXN,
Hong Kong (HKD),,0,1.5,1.5,0,0,0,1.5,2.58,3.87,MXN,
Hungría (HUF),,0,178,178,0,0,0,178,0.05618,10,MXN,
Indonesia (IDR),,0,7085,7085,0,0,0,7085,0.00119,8.41,MXN,
Israel (ILS),,0,6.95,6.95,0,0,0,6.95,5.46043,37.95,MXN,
India (INR),,0,45.52,45.52,0,0,0,45.52,0.23462,10.68,MXN,
Japón (JPY),,2,2125,2125,0,0,-213,1912,0.14007,267.81,MXN,
República de Corea (KRW),,0,1823,1823,0,0,0,1823,0.01404,25.6,MXN,
Kazajistán (KZT),,0,58.21,58.21,0,0,0,58.21,0.039,2.27,MXN,
México (MXN),,184,24732.14,24732.14,0,0,0,24732.14,1,24732.14,MXN,
Malasia (MYR),,0,0.54,0.54,0,0,0,0.54,4.62963,2.5,MXN,
Noruega (NOK),,0,8.66,8.66,0,0,0,8.66,1.87875,16.27,MXN,
Nueva Zelanda (NZD),,0,1.4,1.4,0,0,-0.13,1.27,11.82677,15.02,MXN,
Perú (PEN),,0,43.99,43.99,0,0,0,43.99,5.33826,234.83,MXN,
Filipinas (PHP),,0,12.6,12.6,0,0,0,12.6,0.34286,4.32,MXN,
Polonia (PLN),,0,6.21,6.21,0,0,0,6.21,5.30596,32.95,MXN,
Rumanía (RON),,0,4.01,4.01,0,0,0,4.01,4.59102,18.41,MXN,
Rusia (RUB),,0,69.51,69.51,0,0,0,69.51,0.24514,17.04,MXN,
Arabia Saudí (SAR),,0,1.31,1.31,0,0,0,1.31,5.32824,6.98,MXN,
Suecia (SEK),,7,71.26,71.26,0,0,0,71.26,2.03424,144.96,MXN,
Singapur (SGD),,0,0.61,0.61,0,0,0,0.61,15.21311,9.28,MXN,
Tailandia (THB),,0,5.05,5.05,0,0,0,5.05,0.58416,2.95,MXN,
Turquía (TRY),,0,10.94,10.94,0,0,0,10.94,0.52468,5.74,MXN,
Taiwán (TWD),,0,33,33,0,0,0,33,0.6197,20.45,MXN,
Resto del mundo (USD),,0,1.83,1.83,0,0,0,1.83,20,36.6,MXN,
América (USD),,128,1590.88,1590.88,0,0,-159.08,1431.8,20.0027,28639.87,MXN,
América Latina y el Caribe (USD),,2,67.26,67.26,0,0,0,67.26,20.00268,1345.38,MXN,
Vietnam (VND),,0,4367,4367,0,0,0,4367,0.00078,3.41,MXN,
Sudáfrica (ZAR),,0,11.8,11.8,0,0,0,11.8,1.05593,12.46,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"61,680.16 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
