Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
03/29/2026	05/02/2026		MXF601000652	MXF601000652	1	0.99	0.99	AUD	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		AU			1.69	AUD
03/29/2026	05/02/2026		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
03/29/2026	05/02/2026		MXF601400268	MXF601400268	1	1.29	1.29	AUD	S	859453869	Chavela Vargas	Vereda Tropical	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
03/29/2026	05/02/2026		MXF602300299	MXF602300299	1	1.29	1.29	AUD	S	1683409289	Fadi El Saadi	Alf Leila (الف ليله)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/29/2026	05/02/2026	7509841210157		7509841210157	1	12.14	12.14	BRL	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		BR			19.90	BRL
03/29/2026	05/02/2026		MXF601200801	MXF601200801	1	0.70	0.70	CAD	S	555716428	Fadi El Saadi	Set El Hosn Finale	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/29/2026	05/02/2026		MXF601100686	MXF601100686	3	0.70	2.10	CAD	S	454642266	Fadi El Saadi	Zaffa	Fonarte Latino SA de CV		H		CA			0.99	CAD
03/29/2026	05/02/2026		MXF601200792	MXF601200792	1	0.70	0.70	CAD	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/29/2026	05/02/2026		MXF601000123	MXF601000123	1	0.91	0.91	CAD	S	364390264	Fadi El Saadi	El Saber	Fonarte Latino SA de CV		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF601000121	MXF601000121	1	0.91	0.91	CAD	S	364390213	Fadi El Saadi	El Funjan	Fonarte Latino SA de CV		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF600600093	MXF600600093	1	0.70	0.70	CAD	S	145023299	Gerardo Tamez	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/29/2026	05/02/2026		MX3941300138	MX3941300138	1	0.91	0.91	CAD	S	1021336463	Jorge Dominguez	Cumbia Azul	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF601800269	MXF601800269	1	0.91	0.91	CAD	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF602000164	MXF602000164	1	0.91	0.91	CAD	S	1502764072	Fadi El Saadi	El Molayeteen (Dabke) (Live)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF602200034	MXF602200034	1	0.91	0.91	CAD	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF602300541	MXF602300541	1	0.91	0.91	CAD	S	1712350535	Fadi El Saadi	Jobe Iraqui Mix (جوبي عراقي مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF602300542	MXF602300542	1	0.91	0.91	CAD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026	7509841285490		7509841285490	1	7.00	7.00	CAD	S	1868772796	Esteban Herrera	Winter Fire (feat. André Wickenheiser, Mark DeJong, Jon May & Jeff Gammon)	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
03/29/2026	05/02/2026		MXF602600002	MXF602600002	1	0.91	0.91	CAD	S	1868772798	Esteban Herrera	Black Forest (feat. André Wickenheiser, Mark DeJong, Jon May & Jeff Gammon)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/29/2026	05/02/2026		MXF602600003	MXF602600003	1	0.91	0.91	CAD	S	1868772799	Esteban Herrera	Interstellar (feat. André Wickenheiser, Mark DeJong, Jon May & Jeff Gammon)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
