Start Date	03/27/2026
End Date	04/30/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	ISRC	Vendor Identifier	Content Title	Artist	Media Type	Spatial Availability Indicator	Label/Studio/Network	Grid	Product	Total  Royalty Bearing Plays	Net Royalty Total	Currency	Offline Indicator
AE	152417388	MXF600601002	MXF600601002	Son al Son	Orquesta Aragón	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	4	0.073332	AED	0
AE	1745169027	MXF602400189	MXF602400189	Al Raqqisa (الراقصه)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	2	0.036666	AED	0
AE	437384168	MXF601100317	MXF601100317	Arcángel Seductor	Nostra Morte	1	0	Fonarte Latino SA de CV		Individual Monthly Discounted Promo 19	1	0.020000	AED	0
AE	160579829	MXF600602067	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Gratis Trial	7	0.000000	AED	0
AE	292528364	MXF600800004	MXF600800004	Munaspaqa Suyaykuway (Huayno)	Jaime Guardia	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Gratis Trial	1	0.000000	AED	0
AE	964544784	MXF601500065	MXF601500065	Llévame Despacio	Paulina Goto	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Gratis Trial	1	0.000000	AED	0
AE	1712350533	MXF602300539	MXF602300539	Daloona (دلعونا)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Growth Offer (3 Month)	1	0.030000	AED	0
AE	538521369	MXF601200642	MXF601200642	Amarte Así	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.010000	AED	0
AE	1455878940	MXF601900108	MXF601900108	Eclipse	Dan Garcia	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.010000	AED	0
AE	1502764064	MXF602000156	MXF602000156	Ama Barawah	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	4	0.040000	AED	0
AE	1606804455	MXF602200034	MXF602200034	Laylat Hob ليلة حُب (Noche de Amor)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	8	0.080000	AED	0
AE	1683409287	MXF602300298	MXF602300298	Rohe Ya Nesma (روحي يا نسمه)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.010000	AED	0
AE	1683409290	MXF602300300	MXF602300300	Fakarouni (فكروني)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	8	0.080000	AED	0
AE	145983047	MXF600600428	MXF600600428	Hoy Ten Miedo de Mi	Fernando Delgadillo	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	2	0.043636	AED	0
AE	549434482	MXF601200713	MXF601200713	Sobre la Marea	Chéjere	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	1	0.021818	AED	0
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	4	0.087272	AED	0
AE	1500801306	MXF602000101	MXF602000101	A Quién Le Importa?	Camila Sodi	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	2	0.043636	AED	0
AE	1836495747	MXF602500172	MXF602500172	Serenata Huasteca (feat. Israel Cupich, Roberto Blanco, Tavo Nandayapa & Leika Mochán)	Iraida Noriega, Blanch, Cupich, Nandayapa Trío	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	1	0.021818	AED	0
AE	1847717771	MXF602500270	MXF602500270	2/4 Maalay معلايه	Diana Rash	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	1	0.021818	AED	0
AE	152417388	MXF600601002	MXF600601002	Son al Son	Orquesta Aragón	1	0	Fonarte Latino, S.A. de C.V.		Apple One Individual Monthly PAID	2	0.065000	AED	0
AE	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Apple One Individual Monthly PAID	2	0.065000	AED	0
AE	319834714	MXF600900163	MXF600900163	Bésame Mucho	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Apple One Individual Monthly PAID	1	0.032500	AED	0
AE	1745169027	MXF602400189	MXF602400189	Al Raqqisa (الراقصه)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Apple One Individual Monthly PAID	3	0.097500	AED	0
AE	145023309	MXF600600094	MXF600600094	Elogio a la Danza	Gerardo Tamez	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	145023317	MXF600600095	MXF600600095	Pago Largo	Gerardo Tamez	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	145983047	MXF600600428	MXF600600428	Hoy Ten Miedo de Mi	Fernando Delgadillo	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	145983245	MXF600600433	MXF600600433	Julieta	Fernando Delgadillo	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	152511040	MXF600601442	MXF600601442	Yo Sé Que Sí	Alberto Escobar	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	2	0.043112	AED	0
AE	303594737	MXF600800272	MXF600800272	Los Imposibles	Ensamble Tierra Mestiza	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	2	0.043112	AED	0
AE	303594762	MXF600800274	MXF600800274	Jícamo a Cuatro	Ensamble Tierra Mestiza	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	303594899	MXF600800280	MXF600800280	Tierra Mestiza	Ensamble Tierra Mestiza	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	314435499	MXF600800318	MXF600800318	Flor Silvestre	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	7	0.150892	AED	0
AE	314435501	MXF600800319	MXF600800319	Guadalajara	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	314435506	MXF600800320	MXF600800320	La Josefinita	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	3	0.064668	AED	0
AE	314435524	MXF600800325	MXF600800325	El Tepetzintleco	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	314435525	MXF600800326	MXF600800326	Contra el Olvido	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	3	0.064668	AED	0
AE	314435611	MXF600800328	MXF600800328	Flores de Ayer (popurri de Danzones)	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	314435617	MXF600800330	MXF600800330	Tierra Mestiza	Terceto de Guitarras de la Ciudad de Mexico	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	8	0.172448	AED	0
AE	562346569	MXF601200942	MXF601200942	Folía y Son	Ensamble Tierra Mestiza	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	562346571	MXF601200944	MXF601200944	Concierto San Ángel (Para Guitarra y Ensamble) - I Allegro Rítmico	Ensamble Tierra Mestiza	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	2	0.043112	AED	0
AE	1502764064	MXF602000156	MXF602000156	Ama Barawah	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	1712350534	MXF602300540	MXF602300540	Ya Saif Mix (يا سيف)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	1	0.021556	AED	0
AE	1847717771	MXF602500270	MXF602500270	2/4 Maalay معلايه	Diana Rash	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly PAID	6	0.129336	AED	0
AE	143894745	MXF600600020	MXF600600020	Pobre del Cantor	Pablo Milanés	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	0
AE	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	2	0.039032	AED	0
