"iTunes Connect - Pagos e informes financieros	(Abril, 2026)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","5.37","5.37","0","0","0","5.37","4.69274","25.20","MXN",
"Australia (AUD)","4","21.31","21.31","0","0","-2.14","19.17","12.30308","235.85","MXN",
"Brasil (BRL)","1","57.96","57.96","0","0","0","57.96","3.42616","198.58","MXN",
"Canadá (CAD)","17","81.65","81.65","0","0","0","81.65","12.52407","1022.59","MXN",
"Suiza (CHF)","4","13.34","13.34","0","0","0","13.34","21.92204","292.44","MXN",
"Chile (CLP)","2","30928.00","30928.00","0","0","0","30928.00","0.01916","592.65","MXN",
"China continental (CNY)","0","3.56","3.56","0","0","0","3.56","2.53652","9.03","MXN",
"Colombia (COP)","1","82330.41","82330.41","0","0","0","82330.41","0.00462","380.45","MXN",
"República Checa (CZK)","4","100.16","100.16","0","0","0","100.16","0.82099","82.23","MXN",
"Dinamarca (DKK)","0","14.40","14.40","0","0","0","14.40","2.68264","38.63","MXN",
"Egipto (EGP)","0","6.68","6.68","0","0","0","6.68","0.33533","2.24","MXN",
"Eurozona (EUR)","11","123.58","123.58","0","0","0","123.58","20.04782","2477.51","MXN",
"Reino Unido (GBP)","9","22.15","22.15","0","0","0","22.15","23.17111","513.24","MXN",
"Hong Kong (HKD)","0","3.10","3.10","0","0","0","3.10","2.20000","6.82","MXN",
"Hungría (HUF)","0","74.00","74.00","0","0","0","74.00","0.05595","4.14","MXN",
"Indonesia (IDR)","0","4224.00","4224.00","0","0","0","4224.00","0.00098","4.14","MXN",
"Israel (ILS)","0","8.31","8.31","0","0","0","8.31","5.91215","49.13","MXN",
"India (INR)","0","80.43","80.43","0","0","0","80.43","0.17792","14.31","MXN",
"Japón (JPY)","6","3234.00","3234.00","0","0","-324.00","2910.00","0.10845","315.59","MXN",
"República de Corea (KRW)","0","1409.00","1409.00","0","0","0","1409.00","0.01138","16.03","MXN",
"Kazajistán (KZT)","0","144.71","144.71","0","0","0","144.71","0.03690","5.34","MXN",
"México (MXN)","158","29367.91","29367.91","0","0","0","29367.91","1.00000","29367.91","MXN",
"Malasia (MYR)","0","1.08","1.08","0","0","0","1.08","4.30556","4.65","MXN",
"Noruega (NOK)","0","27.82","27.82","0","0","0","27.82","1.86341","51.84","MXN",
"Nueva Zelanda (NZD)","0","1.64","1.64","0","0","-0.17","1.47","10.12245","14.88","MXN",
"Perú (PEN)","0","51.21","51.21","0","0","0","51.21","5.05604","258.92","MXN",
"Polonia (PLN)","0","3.78","3.78","0","0","0","3.78","4.69841","17.76","MXN",
"Catar (QAR)","0","1.49","1.49","0","0","0","1.49","4.74497","7.07","MXN",
"Rumanía (RON)","0","2.82","2.82","0","0","0","2.82","3.79078","10.69","MXN",
"Rusia (RUB)","0","64.57","64.57","0","0","0","64.57","0.24299","15.69","MXN",
"Arabia Saudí (SAR)","0","7.75","7.75","0","0","0","7.75","4.59355","35.60","MXN",
"Suecia (SEK)","0","12.64","12.64","0","0","0","12.64","1.84415","23.31","MXN",
"Turquía (TRY)","0","24.63","24.63","0","0","0","24.63","0.37799","9.31","MXN",
"Taiwán (TWD)","0","75.00","75.00","0","0","0","75.00","0.54467","40.85","MXN",
"América (USD)","115","1541.31","1541.31","0","0","-154.13","1387.18","17.23820","23912.49","MXN",
"América Latina y el Caribe (USD)","2","69.80","69.80","0","0","0","69.80","17.23825","1203.23","MXN",
"Resto del mundo (USD)","0","1.16","1.16","0","0","0","1.16","17.24138","20.00","MXN",
"Sudáfrica (ZAR)","0","8.31","8.31","0","0","0","8.31","1.04573","8.69","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"61,289.03 MXN",,
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
