Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
03/30/2025	05/03/2025		MXF601000652	MXF601000652	1	0.99	0.99	AUD	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		AU			1.69	AUD
03/30/2025	05/03/2025		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
03/30/2025	05/03/2025	7509841317702		7509841317702	1	10.99	10.99	AUD	S	1229779990	Human Drama	Broken Songs for Broken People	Fonarte Latino, S.A. de C.V.		I		AU			18.99	AUD
03/30/2025	05/03/2025		MXF601800538	MXF601800538	1	1.29	1.29	AUD	S	1424511016	Human Drama	Dance Me to the End of Love	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/30/2025	05/03/2025		MXF601900089	MXF601900089	1	1.29	1.29	AUD	S	1460029022	Yolotecuani	Tortolita (Son Caletano)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/30/2025	05/03/2025		MXF602000101	MXF602000101	1	1.77	1.77	BRL	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
03/30/2025	05/03/2025		MXF600600428	MXF600600428	1	0.91	0.91	CAD	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/30/2025	05/03/2025		MXF602100414	MXF602100414	1	0.91	0.91	CAD	S	1563076415	Ricardo Larrea	Namibia Dunes	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/30/2025	05/03/2025		MXF602000172	MXF602000172	1	0.91	0.91	CAD	S	1573093287	Los Músicos de José	Dirty Sunday	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/30/2025	05/03/2025		MXF600600847	MXF600600847	1	0.70	0.70	CAD	S	152411500	Real de Catorce	Lila	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/30/2025	05/03/2025		MXF601200640	MXF601200640	1	1.12	1.12	CHF	S	538520986	Carlos Macías	Divina Tú	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
03/30/2025	05/03/2025		MXF601600463	MXF601600463	1	0.90	0.90	EUR	S	1154556084	Regina Orozco	Cielo Rojo	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/30/2025	05/03/2025		MXF600900157	MXF600900157	1	0.90	0.90	EUR	S	319834694	Inspector	Y Qué	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/30/2025	05/03/2025		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/30/2025	05/03/2025		MXF600600263	MXF600600263	1	0.71	0.71	EUR	S	148130762	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
03/30/2025	05/03/2025		MXF600900163	MXF600900163	1	0.90	0.90	EUR	S	319834714	Inspector	Bésame Mucho	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/30/2025	05/03/2025		MXF600601615	MXF600601615	1	0.90	0.90	EUR	S	153140481	Ensamble Galileo	Calabaca, No Se Buen Amor (cancionero de palacio)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/30/2025	05/03/2025		MXF600601687	MXF600601687	1	0.71	0.71	EUR	S	153616904	Rapaz	Yo Quiero	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
03/30/2025	05/03/2025	7509841440561		7509841440561	1	4.90	4.90	EUR	S	338347460	Los Folkloristas	Michoacán	Fonarte Latino SA de CV		I		IT			8.99	EUR
03/30/2025	05/03/2025		MXF601301081	MXF601301081	1	0.90	0.90	EUR	S	727847169	Ramón Gutiérrez Hernández (Son De Madera)	La Morena	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
03/30/2025	05/03/2025		MXF601400885	MXF601400885	2	0.90	1.80	EUR	S	922599370	Los Folkloristas	La Martiniana (Son Istmeño) [México]	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
03/30/2025	05/03/2025		MXF601500065	MXF601500065	1	0.90	0.90	EUR	S	964544784	Paulina Goto	Llévame Despacio	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/30/2025	05/03/2025		MXF602500053	MXF602500053	1	0.90	0.90	EUR	S	1802237555	Cindy Takahashi	Turning Japanese	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/30/2025	05/03/2025		MXF601401007	MXF601401007	1	0.72	0.72	GBP	S	934536124	Son de Madera	La Iguana	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
03/30/2025	05/03/2025		MXF601200794	MXF601200794	2	0.57	1.14	GBP	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
03/30/2025	05/03/2025		MXF602300542	MXF602300542	1	0.72	0.72	GBP	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
