Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
05/04/2025	05/31/2025		MXF600601725	MXF600601725	1	0.99	0.99	AUD	S	153307260	Santa Sabina	Sueño Con Serpientes	Fonarte Latino, S.A. de C.V.		H		NZ			1.79	NZD
05/04/2025	05/31/2025		MXF600601765	MXF600601765	1	1.29	1.29	AUD	S	153346256	Santa Sabina	Distante Instante	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
05/04/2025	05/31/2025		MXF602300265	MXF602300265	1	1.77	1.77	BRL	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
05/04/2025	05/31/2025	7509841318075		7509841318075	1	13.97	13.97	BRL	S	1482678894	Regina Orozco, Omara Portuondo	Pedazos del Corazón (Homenaje a Álvaro Carrillo y Agustín Lara)	Fonarte Latino, S.A. de C.V.		I		BR			22.90	BRL
05/04/2025	05/31/2025		MXF602300392	MXF602300392	1	1.77	1.77	BRL	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
05/04/2025	05/31/2025		MXF601800269	MXF601800269	1	0.91	0.91	CAD	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
05/04/2025	05/31/2025		MXF601200794	MXF601200794	1	0.70	0.70	CAD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
05/04/2025	05/31/2025		MXF600900260	MXF600900260	1	0.70	0.70	CAD	S	317749727	El Enfermo (Sociedad Café)	Resurrección	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
05/04/2025	05/31/2025		MXF600600019	MXF600600019	1	421.00	421.00	CLP	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
05/04/2025	05/31/2025		MXF600600022	MXF600600022	1	421.00	421.00	CLP	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
