"iTunes Connect - Pagos e informes financieros	(Mayo, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.24,2.24,0,0,0,2.24,5.15625,11.55,MXN,
Australia (AUD),2,,18.26,18.26,0,0,-1.82,16.44,12.29745,202.17,MXN,
Brasil (BRL),3,,50.2,50.2,0,0,0,50.2,3.45279,173.33,MXN,
Canadá (CAD),3,,59.11,59.11,0,0,0,59.11,13.83049,817.52,MXN,
Suiza (CHF),0,,8.08,8.08,0,0,0,8.08,23.19678,187.43,MXN,
Chile (CLP),2,,27361,27361,0,0,0,27361,0.02,547.28,MXN,
China continental (CNY),0,,3.59,3.59,0,0,0,3.59,2.63788,9.47,MXN,
Colombia (COP),1,,69722.85,69722.85,0,0,0,69722.85,0.00465,324.38,MXN,
República Checa (CZK),0,,35.83,35.83,0,0,0,35.83,0.87748,31.44,MXN,
Dinamarca (DKK),1,,19.26,19.26,0,0,0,19.26,2.92679,56.37,MXN,
Egipto (EGP),1,,3.04,3.04,0,0,0,3.04,0.35855,1.09,MXN,
Eurozona (EUR),14,,135.42,135.42,0,0,0,135.42,21.83237,2956.54,MXN,
Reino Unido (GBP),2,,17.93,17.93,0,0,0,17.93,25.55494,458.2,MXN,
Hong Kong (HKD),0,,1.84,1.84,0,0,0,1.84,2.41304,4.44,MXN,
Hungría (HUF),0,,121,121,0,0,0,121,0.05413,6.55,MXN,
Indonesia (IDR),0,,6958,6958,0,0,0,6958,0.00116,8.08,MXN,
Israel (ILS),0,,8.56,8.56,0,0,0,8.56,5.45794,46.72,MXN,
India (INR),0,,44.92,44.92,0,0,0,44.92,0.21861,9.82,MXN,
Japón (JPY),4,,3209,3209,0,0,-321,2888,0.13039,376.57,MXN,
República de Corea (KRW),0,,1640,1640,0,0,0,1640,0.01374,22.54,MXN,
México (MXN),92,,22707.71,22707.71,0,0,0,22707.71,1,22707.71,MXN,
Noruega (NOK),0,,14.84,14.84,0,0,0,14.84,1.88679,28,MXN,
Nueva Zelanda (NZD),0,,1.6,1.6,0,0,-0.15,1.45,11.36552,16.48,MXN,
Perú (PEN),0,,45.13,45.13,0,0,0,45.13,5.28473,238.5,MXN,
Filipinas (PHP),0,,7.49,7.49,0,0,0,7.49,0.32043,2.4,MXN,
Polonia (PLN),0,,4.09,4.09,0,0,0,4.09,5.12469,20.96,MXN,
Rumanía (RON),0,,4.93,4.93,0,0,0,4.93,4.34077,21.4,MXN,
Rusia (RUB),1,,89.44,89.44,0,0,0,89.44,0.24161,21.61,MXN,
Arabia Saudí (SAR),0,,1.46,1.46,0,0,0,1.46,5.04795,7.37,MXN,
Suecia (SEK),1,,21.55,21.55,0,0,0,21.55,1.96798,42.41,MXN,
Singapur (SGD),0,,0.27,0.27,0,0,0,0.27,14.74074,3.98,MXN,
Turquía (TRY),2,,27.09,27.09,0,0,0,27.09,0.4773,12.93,MXN,
Taiwán (TWD),0,,39,39,0,0,0,39,0.64385,25.11,MXN,
Resto del mundo (USD),0,,0.99,0.99,0,0,0,0.99,18.93939,18.75,MXN,
América Latina y el Caribe (USD),3,,54.33,54.33,0,0,0,54.33,18.94368,1029.21,MXN,
América (USD),106,,1369.75,1369.75,0,0,-136.98,1232.77,18.9437,23353.23,MXN,
Sudáfrica (ZAR),0,,12.53,12.53,0,0,0,12.53,1.05028,13.16,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"53,814.70 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
