Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
06/02/2024	06/29/2024		MXF600602497	MXF600602497	1	0.99	0.99	AUD	S	154054160	Amaury Pérez	No Lo Van a Impedir	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602506	MXF600602506	1	0.99	0.99	AUD	S	154054678	Amaury Pérez	A Que Te Olvide	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602505	MXF600602505	1	0.99	0.99	AUD	S	154054650	Amaury Pérez	Adonde el Agua	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602507	MXF600602507	1	0.99	0.99	AUD	S	154054706	Amaury Pérez	Aguas	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602504	MXF600602504	1	0.99	0.99	AUD	S	154054630	Amaury Pérez	Cuando No Estés Con El	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602503	MXF600602503	1	0.99	0.99	AUD	S	154054595	Amaury Pérez	Dame el Otoño	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602502	MXF600602502	1	0.99	0.99	AUD	S	154054568	Amaury Pérez	Yo Tengo un Amigo	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602501	MXF600602501	1	0.99	0.99	AUD	S	154054487	Amaury Pérez	Soneto	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602500	MXF600602500	1	0.99	0.99	AUD	S	154054372	Amaury Pérez	Olvídame Muchacha	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602499	MXF600602499	1	0.99	0.99	AUD	S	154054212	Amaury Pérez	Hacerte Venir	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF600602498	MXF600602498	1	0.99	0.99	AUD	S	154054168	Amaury Pérez	El Vino Triste	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/02/2024	06/29/2024		MXF601200640	MXF601200640	1	1.77	1.77	BRL	S	538520986	Carlos Macías	Divina Tú	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
06/02/2024	06/29/2024		MXF600603007	MXF600603007	1	1.16	1.16	BRL	S	256548077	Pablo Milanés	Mercedes-Yolanda	Fonarte Latino, S.A. de C.V.		H		BR			1.90	BRL
06/02/2024	06/29/2024		MXF601200300	MXF601200300	1	0.70	0.70	CAD	S	512926945	Martin Murano	Buenos Aires Querido	Fonarte Latino SA de CV		H		CA			0.99	CAD
