"iTunes Connect - Pagos e informes financieros	(Junio, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.28,2.28,0,0,0,2.28,4.87719,11.12,MXN,
Australia (AUD),11,,24.44,24.44,0,0,-2.44,22,11.99182,263.82,MXN,
Brasil (BRL),2,,26.55,26.55,0,0,0,26.55,3.23202,85.81,MXN,
Canadá (CAD),6,,54.86,54.86,0,0,0,54.86,13.06416,716.7,MXN,
Suiza (CHF),2,,14.51,14.51,0,0,0,14.51,20.1592,292.51,MXN,
Chile (CLP),0,,24134,24134,0,0,0,24134,0.01905,459.87,MXN,
China continental (CNY),0,,5.34,5.34,0,0,0,5.34,2.46067,13.14,MXN,
Colombia (COP),0,,62890.35,62890.35,0,0,0,62890.35,0.00444,279.11,MXN,
República Checa (CZK),0,,16.68,16.68,0,0,0,16.68,0.77158,12.87,MXN,
Dinamarca (DKK),0,,14.74,14.74,0,0,0,14.74,2.6133,38.52,MXN,
Egipto (EGP),0,,10.5,10.5,0,0,0,10.5,0.37143,3.9,MXN,
Eurozona (EUR),16,,129.32,129.32,0,0,0,129.32,19.49977,2521.71,MXN,
Reino Unido (GBP),2,,14.08,14.08,0,0,0,14.08,23.13707,325.77,MXN,
Hong Kong (HKD),0,,1.99,1.99,0,0,0,1.99,2.29648,4.57,MXN,
Hungría (HUF),0,,114,114,0,0,0,114,0.04956,5.65,MXN,
Indonesia (IDR),0,,2599,2599,0,0,0,2599,0.00112,2.92,MXN,
Israel (ILS),0,,7.18,7.18,0,0,0,7.18,4.91504,35.29,MXN,
India (INR),1,,34.15,34.15,0,0,0,34.15,0.21113,7.21,MXN,
Japón (JPY),0,,2003,2003,0,0,-200,1803,0.11387,205.31,MXN,
Corea del Sur (KRW),0,,2123,2123,0,0,0,2123,0.01295,27.49,MXN,
Kazajistán (KZT),0,,95.36,95.36,0,0,0,95.36,0.03681,3.51,MXN,
México (MXN),114,,21411.45,21411.45,0,0,0,21411.45,1,21411.45,MXN,
Noruega (NOK),0,,11.46,11.46,0,0,0,11.46,1.6466,18.87,MXN,
Nueva Zelanda (NZD),0,,2.1,2.1,0,0,-0.22,1.88,10.79255,20.29,MXN,
Perú (PEN),0,,46.27,46.27,0,0,0,46.27,4.79706,221.96,MXN,
Filipinas (PHP),0,,9.78,9.78,0,0,0,9.78,0.29857,2.92,MXN,
Polonia (PLN),0,,3.99,3.99,0,0,0,3.99,4.54386,18.13,MXN,
Catar (QAR),0,,0.46,0.46,0,0,0,0.46,5.08696,2.34,MXN,
Rumanía (RON),0,,2.78,2.78,0,0,0,2.78,3.92806,10.92,MXN,
Rusia (RUB),0,,83.82,83.82,0,0,0,83.82,0.20246,16.97,MXN,
Arabia Saudí (SAR),0,,2.4,2.4,0,0,0,2.4,4.775,11.46,MXN,
Suecia (SEK),0,,10.81,10.81,0,0,0,10.81,1.67808,18.14,MXN,
Singapur (SGD),0,,0.4,0.4,0,0,0,0.4,13.325,5.33,MXN,
Turquía (TRY),0,,10.28,10.28,0,0,0,10.28,0.54086,5.56,MXN,
Taiwán (TWD),0,,24,24,0,0,0,24,0.54417,13.06,MXN,
América Latina y el Caribe (USD),-1,,43.54,43.54,0,0,0,43.54,17.91479,780.01,MXN,
América (USD),98,,1357.31,1357.31,0,0,-135.73,1221.58,17.9147,21884.24,MXN,
Resto del mundo (USD),0,,0.66,0.66,0,0,0,0.66,17.90909,11.82,MXN,
Sudáfrica (ZAR),0,,13.4,13.4,0,0,0,13.4,0.97612,13.08,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"49,783.35 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
