Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
06/01/2025	06/28/2025		MXF602200034	MXF602200034	1	1.29	1.29	AUD	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
06/01/2025	06/28/2025		MXF601600158	MXF601600158	1	1.29	1.29	AUD	S	1105096898	Fadi El Saadi	Samb Fadi	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
06/01/2025	06/28/2025		MXF600600036	MXF600600036	1	1.16	1.16	BRL	S	144002920	Raul Garcia	El Condor Pasa	Fonarte Latino, S.A. de C.V.		H		BR			1.90	BRL
06/01/2025	06/28/2025		MXF600600042	MXF600600042	1	1.16	1.16	BRL	S	144004094	Raul Garcia	La Ayacuchanita	Fonarte Latino, S.A. de C.V.		H		BR			1.90	BRL
06/01/2025	06/28/2025		MXF600600428	MXF600600428	1	0.91	0.91	CAD	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
06/01/2025	06/28/2025		MXF601600411	MXF601600411	1	421.00	421.00	CLP	S	1145564043	Los Folkloristas	La Paloma (Trote) [Chile]	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
06/01/2025	06/28/2025		MXF601600402	MXF601600402	1	421.00	421.00	CLP	S	1145564034	Los Folkloristas	Tierra Mestiza (Con Introducción)	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
06/01/2025	06/28/2025	7509841210188		7509841210188	1	2989.00	2989.00	CLP	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		CL			4900.00	CLP
06/01/2025	06/28/2025		MXF600600297	MXF600600297	1	1486.55	1486.55	COP	S	167014206	Amparo Ochoa	Bola Suriana de la Muerte de Emiliano Zapata	Fonarte Latino, S.A. de C.V.		H		CO			2900.00	COP
06/01/2025	06/28/2025	7509841279437		7509841279437	1	4.90	4.90	EUR	S	1588805381	Las Ánimas del Cuarto Obscuro	Las Ánimas del Cuarto Obscuro	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
06/01/2025	06/28/2025		MXF600900163	MXF600900163	1	0.90	0.90	EUR	S	319834714	Inspector	Bésame Mucho	Fonarte Latino, S.A. de C.V.		H		NL			1.29	EUR
06/01/2025	06/28/2025		MXF601301081	MXF601301081	1	0.90	0.90	EUR	S	727847169	Ramón Gutiérrez Hernández (Son De Madera)	La Morena	Fonarte Latino, S.A. de C.V.		H		NL			1.29	EUR
06/01/2025	06/28/2025		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
06/01/2025	06/28/2025		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
06/01/2025	06/28/2025		MXF601201005	MXF601201005	1	0.71	0.71	EUR	S	567814295	Susana San José	Soledad	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
06/01/2025	06/28/2025		MXF600800174	MXF600800174	1	0.90	0.90	EUR	S	292775966	Los Folkloristas	Khoyaylla (Huayno)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
06/01/2025	06/28/2025		MXF602400189	MXF602400189	1	0.90	0.90	EUR	S	1745169027	Fadi El Saadi	Al Raqqisa (الراقصه)	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
06/01/2025	06/28/2025		MXF600600428	MXF600600428	1	0.90	0.90	EUR	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
06/01/2025	06/28/2025	7509836211183		7509836211183	1	4.90	4.90	EUR	S	151981375	Chava Flores	Chava Flores en Concierto	Fonarte Latino, S.A. de C.V.		I		FR			8.99	EUR
06/01/2025	06/28/2025	7509836210902		7509836210902	1	4.90	4.90	EUR	S	167018298	Chava Flores	Mi Barrio : Chava Flores y Sus Canciones	Fonarte Latino, S.A. de C.V.		I		FR			8.99	EUR
06/01/2025	06/28/2025	7509841211321		7509841211321	1	4.30	4.30	GBP	S	184977302	Los Folkloristas	México	Fonarte Latino, S.A. de C.V.		I		GB			7.99	GBP
06/01/2025	06/28/2025		MXF600600267	MXF600600267	1	0.57	0.57	GBP	S	148131025	Alfredo Zitarrosa	Stephanie	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
06/01/2025	06/28/2025	7509841284721		7509841284721	1	4.30	4.30	GBP	S	1814679531	Skapital Sound	Original SS	Fonarte Latino, S.A. de C.V.		I		GB		CMA	7.99	GBP
06/01/2025	06/28/2025		MXF602500104	MXF602500104	1	0.72	0.72	GBP	S	1814679533	Skapital Sound	El Jornalero	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
06/01/2025	06/28/2025	7509841284714		7509841284714	1	4.30	4.30	GBP	S	1814676454	Skapital Sound	Gustos Gustosos	Fonarte Latino, S.A. de C.V.		I		GB			7.99	GBP
06/01/2025	06/28/2025		MXF602400296	MXF602400296	-1	0.72	-0.72	GBP	R	1772372234	Skapital Sound	Gaviota (feat. Sealion Rudies)	Fonarte Latino, S.A. de C.V.		H		GB		CMA-C	-0.99	GBP
