"iTunes Connect - Pagos e informes financieros	(Junio, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.22,2.22,0,0,0,2.22,5.08108,11.28,MXN,
Australia (AUD),2,,17.06,17.06,0,0,-1.7,15.36,12.16146,186.8,MXN,
Brasil (BRL),2,,31.07,31.07,0,0,0,31.07,3.34535,103.94,MXN,
Canadá (CAD),1,,49.49,49.49,0,0,0,49.49,13.59547,672.84,MXN,
Suiza (CHF),0,,7.51,7.51,0,0,0,7.51,23.249,174.6,MXN,
Chile (CLP),3,,28850,28850,0,0,0,28850,0.0193,556.82,MXN,
China continental (CNY),0,,3.86,3.86,0,0,0,3.86,2.59845,10.03,MXN,
Colombia (COP),1,,61851.31,61851.31,0,0,0,61851.31,0.00465,287.37,MXN,
República Checa (CZK),0,,24.39,24.39,0,0,0,24.39,0.88151,21.5,MXN,
Dinamarca (DKK),0,,19.61,19.61,0,0,0,19.61,2.90974,57.06,MXN,
Egipto (EGP),0,,11.92,11.92,0,0,0,11.92,0.38255,4.56,MXN,
Eurozona (EUR),11,,117.93,117.93,0,0,0,117.93,21.71593,2560.96,MXN,
Reino Unido (GBP),6,,29.58,29.58,0,0,0,29.58,25.07505,741.72,MXN,
Hong Kong (HKD),0,,2.18,2.18,0,0,0,2.18,2.37615,5.18,MXN,
Hungría (HUF),0,,145,145,0,0,0,145,0.05393,7.82,MXN,
Indonesia (IDR),0,,5124,5124,0,0,0,5124,0.00114,5.86,MXN,
Israel (ILS),0,,6.3,6.3,0,0,0,6.3,5.58413,35.18,MXN,
India (INR),0,,31.79,31.79,0,0,0,31.79,0.21862,6.95,MXN,
Japón (JPY),3,,2619,2619,0,0,-262,2357,0.12549,295.78,MXN,
República de Corea (KRW),0,,1998,1998,0,0,0,1998,0.01345,26.87,MXN,
México (MXN),134,,23233.39,23233.39,0,0,0,23233.39,1,23233.39,MXN,
Noruega (NOK),1,,15.05,15.05,0,0,0,15.05,1.82791,27.51,MXN,
Nueva Zelanda (NZD),0,,2.12,2.12,0,0,-0.22,1.9,11.13158,21.15,MXN,
Perú (PEN),0,,38.01,38.01,0,0,0,38.01,5.25309,199.67,MXN,
Filipinas (PHP),0,,7.4,7.4,0,0,0,7.4,0.32297,2.39,MXN,
Polonia (PLN),0,,4.97,4.97,0,0,0,4.97,5.11268,25.41,MXN,
Rumanía (RON),0,,2.41,2.41,0,0,0,2.41,4.32365,10.42,MXN,
Rusia (RUB),1,,124.09,124.09,0,0,0,124.09,0.23975,29.75,MXN,
Arabia Saudí (SAR),0,,1.2,1.2,0,0,0,1.2,4.975,5.97,MXN,
Suecia (SEK),0,,15.86,15.86,0,0,0,15.86,1.92875,30.59,MXN,
Singapur (SGD),0,,0.23,0.23,0,0,0,0.23,14.52174,3.34,MXN,
Turquía (TRY),2,,20.3,20.3,0,0,0,20.3,0.46207,9.38,MXN,
Taiwán (TWD),3,,366,366,0,0,0,366,0.63724,233.23,MXN,
América (USD),94,,1245.65,1245.65,0,0,-124.56,1121.09,18.6603,20919.88,MXN,
Resto del mundo (USD),0,,0.81,0.81,0,0,0,0.81,18.65432,15.11,MXN,
América Latina y el Caribe (USD),0,,49.09,49.09,0,0,0,49.09,18.66022,916.03,MXN,
Sudáfrica (ZAR),0,,6.91,6.91,0,0,0,6.91,1.05499,7.29,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"51,463.63 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
