Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
06/29/2025	08/02/2025		MXF602000172	MXF602000172	1	1.29	1.29	AUD	S	1592747469	Los Músicos de José	Dirty Sunday	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
06/29/2025	08/02/2025		MXF600600118	MXF600600118	1	0.99	0.99	AUD	S	145130761	Enrique Jorrin	Cuidado Con la Mano	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/29/2025	08/02/2025		MXF600600020	MXF600600020	1	1.29	1.29	AUD	S	143894745	Pablo Milanés	Pobre del Cantor	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
06/29/2025	08/02/2025		MXF602300477	MXF602300477	1	1.77	1.77	BRL	S	1704232693	Daniela Romo, Angélica Vale	Recordar Es Vivir (Tema Aniversario del Canal TLNovelas)	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
06/29/2025	08/02/2025		MXF602300542	MXF602300542	1	0.91	0.91	CAD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
06/29/2025	08/02/2025		MXF601200722	MXF601200722	1	0.86	0.86	CHF	S	549434531	Chéjere	Vendaval	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
06/29/2025	08/02/2025		MXF601200718	MXF601200718	1	0.86	0.86	CHF	S	549434487	Chéjere	Sirana	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
06/29/2025	08/02/2025		MXF601200713	MXF601200713	1	0.86	0.86	CHF	S	549434482	Chéjere	Sobre la Marea	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
06/29/2025	08/02/2025		MXF600900156	MXF600900156	1	1794.12	1794.12	COP	S	319834685	Inspector	Es Por Ti	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
06/29/2025	08/02/2025		MXF601200794	MXF601200794	1	0.71	0.71	EUR	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
06/29/2025	08/02/2025		MXF600900163	MXF600900163	1	0.90	0.90	EUR	S	319834714	Inspector	Bésame Mucho	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
06/29/2025	08/02/2025		MXF600900156	MXF600900156	1	0.90	0.90	EUR	S	319834685	Inspector	Es Por Ti	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
06/29/2025	08/02/2025	7509841211321		7509841211321	1	4.90	4.90	EUR	S	184977302	Los Folkloristas	México	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
06/29/2025	08/02/2025		MXF601200792	MXF601200792	1	0.71	0.71	EUR	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
06/29/2025	08/02/2025		MXF600600431	MXF600600431	1	0.90	0.90	EUR	S	145983196	Fernando Delgadillo	Hoy Hace un Buen Día	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
06/29/2025	08/02/2025		MXF601300863	MXF601300863	1	0.71	0.71	EUR	S	694734845	Calacas Jazz Band	Cantina Band	Fonarte Latino, S.A. de C.V.		H		IT			0.99	EUR
06/29/2025	08/02/2025		MXF600601011	MXF600601011	1	0.71	0.71	EUR	S	152417431	Orquesta Aragón	Mi Bajo con Tumbao	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
06/29/2025	08/02/2025		MXF600602461	MXF600602461	1	0.71	0.71	EUR	S	154051814	Violeta Parra	La Jardinera (Tonada)	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
06/29/2025	08/02/2025		MXF601200794	MXF601200794	1	0.71	0.71	EUR	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AT			0.99	EUR
