"iTunes Connect - Pagos e informes financieros	(Julio, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.14,3.14,0,0,0,3.14,5.09554,16,MXN,
Australia (AUD),3,,22.08,22.08,0,0,-2.22,19.86,12.02769,238.87,MXN,
Bulgaria (BGN),0,,0.52,0.52,0,0,0,0.52,11.32692,5.89,MXN,
Brasil (BRL),1,,39.79,39.79,0,0,0,39.79,3.4192,136.05,MXN,
Canadá (CAD),1,,62.75,62.75,0,0,0,62.75,13.48653,846.28,MXN,
Suiza (CHF),3,,12.72,12.72,0,0,0,12.72,23.23978,295.61,MXN,
Chile (CLP),0,,30410,30410,0,0,0,30410,0.01939,589.66,MXN,
China continental (CNY),0,,5.78,5.78,0,0,0,5.78,2.60554,15.06,MXN,
Colombia (COP),1,,75930.97,75930.97,0,0,0,75930.97,0.00465,352.93,MXN,
República Checa (CZK),0,,28.5,28.5,0,0,0,28.5,0.88807,25.31,MXN,
Dinamarca (DKK),0,,14.44,14.44,0,0,0,14.44,2.92313,42.21,MXN,
Egipto (EGP),0,,6.23,6.23,0,0,0,6.23,0.38523,2.4,MXN,
Eurozona (EUR),14,,139.8,139.8,0,0,0,139.8,21.81838,3050.21,MXN,
Reino Unido (GBP),1,,15.34,15.34,0,0,0,15.34,25.22295,386.92,MXN,
Hong Kong (HKD),1,,8.59,8.59,0,0,0,8.59,2.39464,20.57,MXN,
Hungría (HUF),0,,118,118,0,0,0,118,0.05551,6.55,MXN,
Indonesia (IDR),0,,5975,5975,0,0,0,5975,0.00117,6.98,MXN,
Israel (ILS),0,,7.96,7.96,0,0,0,7.96,5.48241,43.64,MXN,
India (INR),0,,47.95,47.95,0,0,0,47.95,0.21376,10.25,MXN,
Japón (JPY),3,,2973,2973,0,0,-297,2676,0.12673,339.13,MXN,
República de Corea (KRW),0,,1859,1859,0,0,0,1859,0.01339,24.89,MXN,
México (MXN),139,,29566.07,29566.07,0,0,0,29566.07,1,29566.07,MXN,
Malasia (MYR),0,,0.63,0.63,0,0,0,0.63,4.50794,2.84,MXN,
Noruega (NOK),0,,12.15,12.15,0,0,0,12.15,1.83704,22.32,MXN,
Nueva Zelanda (NZD),0,,1.47,1.47,0,0,-0.15,1.32,10.90909,14.4,MXN,
Perú (PEN),0,,54.25,54.25,0,0,0,54.25,5.30175,287.62,MXN,
Filipinas (PHP),0,,7.42,7.42,0,0,0,7.42,0.32345,2.4,MXN,
Polonia (PLN),0,,4.73,4.73,0,0,0,4.73,5.12051,24.22,MXN,
Catar (QAR),0,,0.6,0.6,0,0,0,0.6,5.08333,3.05,MXN,
Rumanía (RON),0,,1.99,1.99,0,0,0,1.99,4.27638,8.51,MXN,
Rusia (RUB),2,,205.56,205.56,0,0,0,205.56,0.23351,48,MXN,
Arabia Saudí (SAR),0,,0.76,0.76,0,0,0,0.76,4.98684,3.79,MXN,
Suecia (SEK),0,,10.73,10.73,0,0,0,10.73,1.9534,20.96,MXN,
Singapur (SGD),0,,0.22,0.22,0,0,0,0.22,14.54545,3.2,MXN,
Turquía (TRY),3,,35.79,35.79,0,0,0,35.79,0.45711,16.36,MXN,
Taiwán (TWD),1,,154,154,0,0,0,154,0.62052,95.56,MXN,
América Latina y el Caribe (USD),3,,62.91,62.91,0,0,0,62.91,18.7134,1177.26,MXN,
Resto del mundo (USD),0,,1.04,1.04,0,0,0,1.04,18.71154,19.46,MXN,
América (USD),95,,1516.11,1516.11,0,0,-151.61,1364.5,18.7134,25534.43,MXN,
Sudáfrica (ZAR),0,,8.27,8.27,0,0,0,8.27,1.05804,8.75,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"63,314.61 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
