Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
08/06/2023	09/02/2023		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
08/06/2023	09/02/2023	7509841215855		7509841215855	1	9.99	9.99	AUD	S	733957332	Ernesto Anaya	Los Encantos de Chava Flores	Fonarte Latino, S.A. de C.V.		I		NZ			18.99	NZD
08/06/2023	09/02/2023		MXF602300118	MXF602300118	1	0.91	0.91	CAD	S	1667655325	Gisela Romero	La Malagueña	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/06/2023	09/02/2023		MXF600600438	MXF600600438	1	0.91	0.91	CAD	S	167015420	Chava Flores	El Crimen del Expreso	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/06/2023	09/02/2023		MXF600600447	MXF600600447	1	0.91	0.91	CAD	S	167015599	Chava Flores	La Interesada	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/06/2023	09/02/2023		MXF600800280	MXF600800280	1	0.91	0.91	CAD	S	303594899	Ensamble Tierra Mestiza	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/06/2023	09/02/2023		MXF601401001	MXF601401001	1	0.91	0.91	CAD	S	934536118	Son de Madera	El Balajú	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/06/2023	09/02/2023		MXF601400890	MXF601400890	1	1.12	1.12	CHF	S	922599375	Los Folkloristas	El Coco (Son Jarocho) [México]	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
08/06/2023	09/02/2023	7509841210188		7509841210188	1	2989.00	2989.00	CLP	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		CL			4900.00	CLP
08/06/2023	09/02/2023		MXF600601772	MXF600601772	1	421.00	421.00	CLP	S	153346619	Rockdrigo González	No Tengo Tiempo	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
08/06/2023	09/02/2023	7509841213431		7509841213431	1	3599.00	3599.00	CLP	S	256548074	Various Artists	30 Años de la Nueva Trova Cubana	Fonarte Latino, S.A. de C.V.		I		CL			5900.00	CLP
08/06/2023	09/02/2023		MXF602300392	MXF602300392	1	1794.12	1794.12	COP	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
08/06/2023	09/02/2023		MXF602300265	MXF602300265	1	1794.12	1794.12	COP	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
08/06/2023	09/02/2023	7509841315159		7509841315159	1	4.90	4.90	EUR	S	555716418	Fadi El Saadi	Qarawan - Bellydance Vol. 3	Fonarte Latino, S.A. de C.V.		I		FR			8.99	EUR
08/06/2023	09/02/2023		MXF601301194	MXF601301194	1	0.90	0.90	EUR	S	765846880	Carlos Macías	Olvidarte Jamás	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
08/06/2023	09/02/2023		MXF601000109	MXF601000109	1	0.90	0.90	EUR	S	361004823	Rodrigo Rojas	Te Imaginas	Fonarte Latino SA de CV		H		ES			1.29	EUR
