Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
06/30/2024	08/03/2024		MXF600602443	MXF600602443	1	0.99	0.99	AUD	S	153881178	Amaury Pérez	Murmullos	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602441	MXF600602441	1	0.99	0.99	AUD	S	153881127	Amaury Pérez	De Chisme en Chisme	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602442	MXF600602442	1	0.99	0.99	AUD	S	153881140	Amaury Pérez	Dicen	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602438	MXF600602438	1	0.99	0.99	AUD	S	153881026	Amaury Pérez	Vuela Pena	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602439	MXF600602439	1	0.99	0.99	AUD	S	153881028	Amaury Pérez	El Pecador	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602440	MXF600602440	1	0.99	0.99	AUD	S	153881100	Amaury Pérez	Acuérdate de Abril	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602436	MXF600602436	1	0.99	0.99	AUD	S	153880942	Amaury Pérez	Mala Gente	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602435	MXF600602435	1	0.99	0.99	AUD	S	153880900	Amaury Pérez	Debe Ser Triste	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602434	MXF600602434	1	0.99	0.99	AUD	S	153880899	Amaury Pérez	Carta de Presentación	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF600602437	MXF600602437	1	0.99	0.99	AUD	S	153880944	Amaury Pérez	Diario	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/30/2024	08/03/2024		MXF602400047	MXF602400047	-1	0.91	-0.91	CAD	R	1732114437	Santaella	Yo Te Recuerdo	Fonarte Latino, S.A. de C.V.		H		CA		CMA-C	-1.29	CAD
06/30/2024	08/03/2024		MXF602400039	MXF602400039	-1	0.91	-0.91	CAD	R	1729510880	Santaella	Loco Enamorado	Fonarte Latino, S.A. de C.V.		H		CA		CMA-C	-1.29	CAD
06/30/2024	08/03/2024	7509841283830		7509841283830	1	7.70	7.70	CAD	S	1751581308	Santaella	Celebrando 25 Años de Santaella	Fonarte Latino, S.A. de C.V.		I		CA	P	CMA	10.99	CAD
06/30/2024	08/03/2024		MXF600601469	MXF600601469	1	0.91	0.91	CAD	S	167023264	Tehua	Sigue Al Sol	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
06/30/2024	08/03/2024		MXF600602585	MXF600602585	1	0.70	0.70	CAD	S	168290001	Chalice	Baby Come Back	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
06/30/2024	08/03/2024		MXF600800062	MXF600800062	1	0.70	0.70	CAD	S	292661719	Pedro Aznar	Fragilidad	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
