"iTunes Connect - Pagos e informes financieros	(Julio, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,4.88,4.88,0,0,0,4.88,5.2418,25.58,MXN,
Australia (AUD),10,,28.36,28.36,0,0,-2.84,25.52,12.98315,331.33,MXN,
Brasil (BRL),0,,39.93,39.93,0,0,0,39.93,3.52016,140.56,MXN,
Canadá (CAD),3,,77.1,77.1,0,0,0,77.1,14.17925,1093.22,MXN,
Suiza (CHF),1,,11.13,11.13,0,0,0,11.13,22.62084,251.77,MXN,
Chile (CLP),2,,30529,30529,0,0,0,30529,0.02095,639.63,MXN,
China continental (CNY),0,,3.3,3.3,0,0,0,3.3,2.69697,8.9,MXN,
Colombia (COP),0,,74342.17,74342.17,0,0,0,74342.17,0.0048,356.59,MXN,
República Checa (CZK),0,,22.36,22.36,0,0,0,22.36,0.85331,19.08,MXN,
Dinamarca (DKK),0,,10.91,10.91,0,0,0,10.91,2.87351,31.35,MXN,
Egipto (EGP),0,,7.8,7.8,0,0,0,7.8,0.41282,3.22,MXN,
Eurozona (EUR),8,,146.25,146.25,0,0,0,146.25,21.44369,3136.14,MXN,
Reino Unido (GBP),7,,27.49,27.49,0,0,0,27.49,25.25609,694.29,MXN,
Hong Kong (HKD),0,,5.45,5.45,0,0,0,5.45,2.46972,13.46,MXN,
Hungría (HUF),0,,118,118,0,0,0,118,0.05449,6.43,MXN,
Indonesia (IDR),0,,7192,7192,0,0,0,7192,0.00125,9.01,MXN,
Israel (ILS),0,,15.75,15.75,0,0,0,15.75,5.1873,81.7,MXN,
India (INR),0,,26.25,26.25,0,0,0,26.25,0.22857,6,MXN,
Japón (JPY),7,,3030,3030,0,0,-303,2727,0.13224,360.62,MXN,
Corea del Sur (KRW),0,,1717,1717,0,0,0,1717,0.01448,24.87,MXN,
Kazajistán (KZT),0,,95.65,95.65,0,0,0,95.65,0.04036,3.86,MXN,
México (MXN),204,,28207.1,28207.1,0,0,0,28207.1,1,28207.1,MXN,
Malasia (MYR),0,,0.91,0.91,0,0,0,0.91,4.47253,4.07,MXN,
Noruega (NOK),0,,9.05,9.05,0,0,0,9.05,1.82873,16.55,MXN,
Nueva Zelanda (NZD),0,,2.21,2.21,0,0,-0.22,1.99,11.8593,23.6,MXN,
Perú (PEN),0,,52.67,52.67,0,0,0,52.67,5.14714,271.1,MXN,
Filipinas (PHP),0,,45.83,45.83,0,0,0,45.83,0.34148,15.65,MXN,
Polonia (PLN),0,,8.13,8.13,0,0,0,8.13,5.01107,40.74,MXN,
Rumanía (RON),0,,3.06,3.06,0,0,0,3.06,4.27451,13.08,MXN,
Rusia (RUB),0,,107.95,107.95,0,0,0,107.95,0.2101,22.68,MXN,
Arabia Saudí (SAR),0,,4.26,4.26,0,0,0,4.26,5.13146,21.86,MXN,
Suecia (SEK),2,,36.94,36.94,0,0,0,36.94,1.8863,69.68,MXN,
Singapur (SGD),0,,0.24,0.24,0,0,0,0.24,14.70833,3.53,MXN,
Tailandia (THB),0,,7.56,7.56,0,0,0,7.56,0.56746,4.29,MXN,
Turquía (TRY),0,,18.29,18.29,0,0,0,18.29,0.56752,10.38,MXN,
Taiwán (TWD),0,,35,35,0,0,0,35,0.60657,21.23,MXN,
América (USD),104,,1641.73,1641.73,0,0,-164.18,1477.55,19.2543,28449.19,MXN,
América Latina y el Caribe (USD),1,,64.75,64.75,0,0,0,64.75,19.25436,1246.72,MXN,
Resto del mundo (USD),0,,1.73,1.73,0,0,0,1.73,19.25434,33.31,MXN,
Sudáfrica (ZAR),0,,12.06,12.06,0,0,0,12.06,1.07214,12.93,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"65,725.30 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
