Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
08/04/2024	08/31/2024	7509841318075		7509841318075	1	10.99	10.99	AUD	S	1482678894	Regina Orozco, Omara Portuondo	Pedazos del Corazón (Homenaje a Álvaro Carrillo y Agustín Lara)	Fonarte Latino, S.A. de C.V.		I		AU			18.99	AUD
08/04/2024	08/31/2024		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
08/04/2024	08/31/2024		MXF601500065	MXF601500065	1	1.77	1.77	BRL	S	964544784	Paulina Goto	Llévame Despacio	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
08/04/2024	08/31/2024		MXF600600431	MXF600600431	1	0.91	0.91	CAD	S	145983196	Fernando Delgadillo	Hoy Hace un Buen Día	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF601200794	MXF601200794	1	0.70	0.70	CAD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
08/04/2024	08/31/2024	7509841279949		7509841279949	1	7.00	7.00	CAD	S	1618488413	Juan Cristóbal Pérez Grobet, Carlo Nicolau	Echoes in Proximity	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
08/04/2024	08/31/2024		MXF600601299	MXF600601299	1	0.70	0.70	CAD	S	152481002	Fernando Delgadillo, Cordavento	De los Amores Peregrinos	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
08/04/2024	08/31/2024		MXF600600434	MXF600600434	1	0.91	0.91	CAD	S	145983258	Fernando Delgadillo	Bajo Tu Pisada	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600433	MXF600600433	1	0.91	0.91	CAD	S	145983245	Fernando Delgadillo	Julieta	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600437	MXF600600437	1	0.91	0.91	CAD	S	145983389	Fernando Delgadillo	Amor de Voceador	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF602400227	MXF602400227	1	0.91	0.91	CAD	S	1749610209	Santaella	Simplemente Amigos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF602300542	MXF602300542	1	0.91	0.91	CAD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600435	MXF600600435	1	0.91	0.91	CAD	S	145983263	Fernando Delgadillo	Con Cierto Aire a Ti	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600019	MXF600600019	1	0.91	0.91	CAD	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600428	MXF600600428	1	0.91	0.91	CAD	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600600430	MXF600600430	1	0.91	0.91	CAD	S	145983179	Fernando Delgadillo	El Abordaje	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
08/04/2024	08/31/2024		MXF600800147	MXF600800147	1	1.12	1.12	CHF	S	292713746	Los Folkloristas	Chacarera de las Piedras (Chacarera)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
08/04/2024	08/31/2024		MXF600800049	MXF600800049	1	299.00	299.00	CLP	S	292661633	Pedro Aznar	Quebrado	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
08/04/2024	08/31/2024		MXF600600019	MXF600600019	1	421.00	421.00	CLP	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
08/04/2024	08/31/2024		MXF601201211	MXF601201211	1	1486.55	1486.55	COP	S	587928271	Jorge Gallegos	Se Me Desgarra El Alma	Fonarte Latino, S.A. de C.V.		H		CO			2900.00	COP
08/04/2024	08/31/2024		MXF602300552	MXF602300552	1	0.90	0.90	EUR	S	1715055393	Lucero	El Último Trago	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
08/04/2024	08/31/2024		MXF602300188	MXF602300188	1	0.90	0.90	EUR	S	1674248343	Jordi Bachbush	Por Nuestros Pecados	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
08/04/2024	08/31/2024		MXF602200034	MXF602200034	1	0.90	0.90	EUR	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
08/04/2024	08/31/2024		MXF602000101	MXF602000101	1	0.90	0.90	EUR	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
08/04/2024	08/31/2024		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
08/04/2024	08/31/2024		MXF600603378	MXF600603378	1	0.71	0.71	EUR	S	208304295	La Bodeguita del Medio	Guantanamera	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
08/04/2024	08/31/2024		MXF601201211	MXF601201211	1	0.71	0.71	EUR	S	587928271	Jorge Gallegos	Se Me Desgarra El Alma	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
08/04/2024	08/31/2024		MXF601400890	MXF601400890	1	0.90	0.90	EUR	S	922599375	Los Folkloristas	El Coco (Son Jarocho) [México]	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
08/04/2024	08/31/2024		MXF601900520	MXF601900520	1	0.90	0.90	EUR	S	1482833172	Caña Dulce y Caña Brava	El Guapo	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
08/04/2024	08/31/2024		MXF601900526	MXF601900526	1	0.90	0.90	EUR	S	1482833178	Caña Dulce y Caña Brava	El Trompito	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
08/04/2024	08/31/2024	7509841278669		7509841278669	1	4.90	4.90	EUR	S	1563076404	Ricardo Larrea	Por El Planeta - Namibia Desierto Infinito (Music from the Original Tv Series)	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
08/04/2024	08/31/2024		MXF600601011	MXF600601011	1	0.57	0.57	GBP	S	152417431	Orquesta Aragón	Mi Bajo con Tumbao	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
08/04/2024	08/31/2024	7509841440448		7509841440448	1	4.30	4.30	GBP	S	292775954	Los Folkloristas	Perú	Fonarte Latino, S.A. de C.V.		I		GB			7.99	GBP
08/04/2024	08/31/2024		MXF602400190	MXF602400190	1	4.96	4.96	HKD	S	1745169028	Fadi El Saadi	Yekatherina Mejance (كاترينا)	Fonarte Latino, S.A. de C.V.		H		HK			8.00	HKD
