"iTunes Connect - Pagos e informes financieros	(Agosto, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.99,2.99,0,0,0,2.99,5.27425,15.77,MXN,
Australia (AUD),2,,29.1,29.1,0,0,-2.92,26.18,13.19251,345.38,MXN,
Brasil (BRL),1,,34.74,34.74,0,0,0,34.74,3.57455,124.18,MXN,
Canadá (CAD),13,,64.04,64.04,0,0,0,64.04,14.27733,914.32,MXN,
Suiza (CHF),1,,10.65,10.65,0,0,0,10.65,22.83756,243.22,MXN,
Chile (CLP),2,,23790,23790,0,0,0,23790,0.0209,497.1,MXN,
China continental (CNY),0,,2.4,2.4,0,0,0,2.4,2.74583,6.59,MXN,
Colombia (COP),1,,62118.88,62118.88,0,0,0,62118.88,0.00464,288.26,MXN,
República Checa (CZK),0,,25.86,25.86,0,0,0,25.86,0.86156,22.28,MXN,
Dinamarca (DKK),0,,6.97,6.97,0,0,0,6.97,2.89957,20.21,MXN,
Eurozona (EUR),11,,120.64,120.64,0,0,0,120.64,21.62699,2609.08,MXN,
Reino Unido (GBP),2,,17.79,17.79,0,0,0,17.79,25.76279,458.32,MXN,
Hong Kong (HKD),7,,36.9,36.9,0,0,0,36.9,2.48618,91.74,MXN,
Hungría (HUF),0,,92,92,0,0,0,92,0.05402,4.97,MXN,
Indonesia (IDR),1,,7384,7384,0,0,0,7384,0.00126,9.3,MXN,
Israel (ILS),0,,8.74,8.74,0,0,0,8.74,5.14645,44.98,MXN,
India (INR),0,,59.4,59.4,0,0,0,59.4,0.233,13.84,MXN,
Japón (JPY),2,,1839,1839,0,0,-184,1655,0.13474,222.99,MXN,
Corea del Sur (KRW),0,,2177,2177,0,0,0,2177,0.0146,31.79,MXN,
Kazajistán (KZT),0,,63.81,63.81,0,0,0,63.81,0.04075,2.6,MXN,
México (MXN),132,,21636.93,21636.93,0,0,0,21636.93,1,21636.93,MXN,
Noruega (NOK),1,,20.62,20.62,0,0,0,20.62,1.8453,38.05,MXN,
Nueva Zelanda (NZD),0,,1.88,1.88,0,0,-0.2,1.68,12.08333,20.3,MXN,
Perú (PEN),0,,39.4,39.4,0,0,0,39.4,5.17259,203.8,MXN,
Filipinas (PHP),0,,8.11,8.11,0,0,0,8.11,0.34649,2.81,MXN,
Polonia (PLN),0,,7.23,7.23,0,0,0,7.23,5.05533,36.55,MXN,
Rumanía (RON),0,,2.24,2.24,0,0,0,2.24,4.34375,9.73,MXN,
Rusia (RUB),0,,76.04,76.04,0,0,0,76.04,0.20765,15.79,MXN,
Arabia Saudí (SAR),0,,1.39,1.39,0,0,0,1.39,5.16547,7.18,MXN,
Suecia (SEK),0,,9.03,9.03,0,0,0,9.03,1.90255,17.18,MXN,
Singapur (SGD),0,,0.65,0.65,0,0,0,0.65,15,9.75,MXN,
Tailandia (THB),0,,4.9,4.9,0,0,0,4.9,0.57347,2.81,MXN,
Turquía (TRY),0,,16.28,16.28,0,0,0,16.28,0.56818,9.25,MXN,
Taiwán (TWD),0,,25,25,0,0,0,25,0.6056,15.14,MXN,
Resto del mundo (USD),0,,0.49,0.49,0,0,0,0.49,19.36735,9.49,MXN,
América Latina y el Caribe (USD),0,,47.72,47.72,0,0,0,47.72,19.37238,924.45,MXN,
América (USD),98,,1409.54,1409.54,0,0,-140.95,1268.59,19.3724,24575.63,MXN,
Vietnam (VND),0,,4348,4348,0,0,0,4348,0.0008,3.46,MXN,
Sudáfrica (ZAR),0,,13.43,13.43,0,0,0,13.43,1.10201,14.8,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"53,520.02 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
