Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency	Anio	Mes
08/03/2025	08/30/2025		MXF602100050	MXF602100050	1	1.29	1.29	AUD	S	1550358084	Diana Rash	Maksoum 4/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602200034	MXF602200034	1	1.29	1.29	AUD	S	1606804455	Fadi El Saadi	Laylat Hob Ù„ÙŠÙ„Ø© Ø­ÙØ¨ (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602500139	MXF602500139	1	1.29	1.29	AUD	S	1820993497	Los Korucos	Los Ojeiters (Haters) [feat. 8 Kalacas]	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602100066	MXF602100066	1	1.29	1.29	AUD	S	1550358280	Diana Rash	Samaai 10/8	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602100063	MXF602100063	1	1.29	1.29	AUD	S	1550358277	Diana Rash	Masmoudi Kabir 8/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602100052	MXF602100052	1	1.29	1.29	AUD	S	1550358086	Diana Rash	Saidi 4/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602100051	MXF602100051	1	1.29	1.29	AUD	S	1550358085	Diana Rash	Baladi 4/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF602100062	MXF602100062	1	1.29	1.29	AUD	S	1550358276	Diana Rash	Masmoudi Sagir 8/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
08/03/2025	08/30/2025		MXF600800191	MXF600800191	1	1.29	1.29	AUD	S	292785925	Los Folkloristas	Juana (Merengue)	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD	2025	8
08/03/2025	08/30/2025		MXF601200800	MXF601200800	1	0.99	0.99	AUD	S	555716427	Fadi El Saadi	Ya Habibi	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD	2025	8
08/03/2025	08/30/2025		MXF602100044	MXF602100044	1	1.29	1.29	AUD	S	1550358078	Diana Rash	Ayoub 2/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD	2025	8
