"iTunes Connect - Pagos e informes financieros	(Agosto, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.61,2.61,0,0,0,2.61,4.98084,13,MXN,
Australia (AUD),12,,29.63,29.63,0,0,-2.96,26.67,12.08736,322.37,MXN,
Brasil (BRL),1,,29.26,29.26,0,0,0,29.26,3.45147,100.99,MXN,
Canadá (CAD),6,,49.11,49.11,0,0,0,49.11,13.24374,650.4,MXN,
Suiza (CHF),2,,9.57,9.57,0,0,0,9.57,23.01985,220.3,MXN,
Chile (CLP),1,,24801,24801,0,0,0,24801,0.01924,477.13,MXN,
China continental (CNY),0,,2.67,2.67,0,0,0,2.67,2.57303,6.87,MXN,
Colombia (COP),1,,59444.33,59444.33,0,0,0,59444.33,0.0047,279.36,MXN,
República Checa (CZK),0,,22,22,0,0,0,22,0.88045,19.37,MXN,
Dinamarca (DKK),0,,10.52,10.52,0,0,0,10.52,2.88308,30.33,MXN,
Eurozona (EUR),19,,120.86,120.86,0,0,0,120.86,21.5216,2601.1,MXN,
Reino Unido (GBP),0,,11.83,11.83,0,0,0,11.83,24.70921,292.31,MXN,
Hong Kong (HKD),0,,4.99,4.99,0,0,0,4.99,2.35271,11.74,MXN,
Hungría (HUF),0,,82,82,0,0,0,82,0.05512,4.52,MXN,
Indonesia (IDR),0,,5525,5525,0,0,0,5525,0.00109,6.03,MXN,
Israel (ILS),0,,6.97,6.97,0,0,0,6.97,5.46485,38.09,MXN,
India (INR),0,,55.48,55.48,0,0,0,55.48,0.20566,11.41,MXN,
Japón (JPY),6,,2426,2426,0,0,-243,2183,0.12376,270.17,MXN,
República de Corea (KRW),0,,1359,1359,0,0,0,1359,0.01319,17.93,MXN,
México (MXN),111,,23424.92,23424.92,0,0,0,23424.92,1,23424.92,MXN,
Noruega (NOK),0,,8.09,8.09,0,0,0,8.09,1.84672,14.94,MXN,
Nueva Zelanda (NZD),0,,0.93,0.93,0,0,-0.09,0.84,10.75,9.03,MXN,
Perú (PEN),0,,40.34,40.34,0,0,0,40.34,5.24715,211.67,MXN,
Polonia (PLN),1,,6.01,6.01,0,0,0,6.01,5.04992,30.35,MXN,
Rumanía (RON),0,,3.11,3.11,0,0,0,3.11,4.22186,13.13,MXN,
Rusia (RUB),0,,111.77,111.77,0,0,0,111.77,0.21947,24.53,MXN,
Arabia Saudí (SAR),0,,0.93,0.93,0,0,0,0.93,4.88172,4.54,MXN,
Suecia (SEK),1,,28.19,28.19,0,0,0,28.19,1.94714,54.89,MXN,
Singapur (SGD),1,,0.92,0.92,0,0,0,0.92,14.25,13.11,MXN,
Turquía (TRY),1,,20.48,20.48,0,0,0,20.48,0.44189,9.05,MXN,
Taiwán (TWD),0,,26,26,0,0,0,26,0.60423,15.71,MXN,
Resto del mundo (USD),0,,0.3,0.3,0,0,0,0.3,18.3,5.49,MXN,
América Latina y el Caribe (USD),0,,49.67,49.67,0,0,0,49.67,18.29475,908.7,MXN,
América (USD),79,,1321.28,1321.28,0,0,-132.13,1189.15,18.2947,21755.14,MXN,
Sudáfrica (ZAR),0,,7.83,7.83,0,0,0,7.83,1.05364,8.25,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"51,876.87 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
