Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/27/2020	10/31/2020		MXF600602454	MXF600602454	1			AUD		154051618	Violeta Parra	Arriba de Aquel Arbol (Refalosa)	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600900163	MXF600900163	1			AUD		319834714	Inspector	Bésame Mucho	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF601000651	MXF601000651	1			AUD		406773736	The Rudimentals	Radio Skaweto	Fonarte Latino SA de CV		H3		AU				
09/27/2020	10/31/2020		MXF600900441	MXF600900441	1			AUD		353113422	Fernando Delgadillo	A Tu Vuelta	Fonarte Latino SA de CV		H3		AU				
09/27/2020	10/31/2020		MXF600602467	MXF600602467	1			AUD		154052266	Violeta Parra	Meriana	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF601000123	MXF601000123	4			AUD		364390264	Fadi El Saadi	El Saber	Fonarte Latino SA de CV		H3		AU				
09/27/2020	10/31/2020		MXF600600181	MXF600600181	1			AUD		146844517	Alejandro Filio	Hay Luz Debajo	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600600079	MXF600600079	1			AUD		145022779	Amparo Ochoa	El Gurisito	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600600046	MXF600600046	1			AUD		144004568	Raul Garcia	Por Que Quieres Olvidarme	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600600183	MXF600600183	1			AUD		146844526	Alejandro Filio	Que Si Me Miras	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600602448	MXF600602448	1			AUD		154051577	Violeta Parra	Cuecas Puntadas	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600600036	MXF600600036	2			AUD		144002920	Raul Garcia	El Condor Pasa	Fonarte Latino, S.A. de C.V.		H3		AU				
09/27/2020	10/31/2020		MXF600800184	MXF600800184	1			AUD		292776067	Los Folkloristas	Adiós Pueblo de Ayacucho (Huayno)	Fonarte Latino, S.A. de C.V.		S3		AU				
