"iTunes Connect - Pagos e informes financieros	(Octubre, 2020)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","","4.03","4.03","0","0","0","4.03","5.51117","22.21","MXN",
"Australia (AUD)","4","","30.24","30.24","0","0","-2.90","27.34","14.71946","402.43","MXN",
"Brasil (BRL)","2","","32.99","32.99","0","0","0","32.99","3.89754","128.58","MXN",
"Canadá (CAD)","11","","90.32","90.32","0","0","0","90.32","15.44553","1395.04","MXN",
"Suiza (CHF)","4","","14.64","14.64","0","0","0","14.64","22.17008","324.57","MXN",
"Chile (CLP)","5","","23505.00","23505.00","0","0","0","23505.00","0.02779","653.24","MXN",
"China continental (CNY)","0","","0.88","0.88","0","0","0","0.88","3.07955","2.71","MXN",
"Colombia (COP)","7","","58789.37","58789.37","0","0","0","58789.37","0.00580","340.80","MXN",
"República Checa (CZK)","0","","28.36","28.36","0","0","0","28.36","0.90374","25.63","MXN",
"Dinamarca (DKK)","0","","11.85","11.85","0","0","0","11.85","3.21519","38.10","MXN",
"Egipto (EGP)","0","","2.81","2.81","0","0","0","2.81","1.36299","3.83","MXN",
"Eurozona (EUR)","42","","156.25","156.25","0","0","0","156.25","23.95053","3742.27","MXN",
"Reino Unido (GBP)","5","","17.71","17.71","0","0","0","17.71","26.82609","475.09","MXN",
"Hong Kong (HKD)","0","","8.60","8.60","0","0","0","8.60","2.61163","22.46","MXN",
"Hungría (HUF)","2","","503.00","503.00","0","0","0","503.00","0.06618","33.29","MXN",
"Israel (ILS)","0","","10.20","10.20","0","0","0","10.20","6.01078","61.31","MXN",
"Japón (JPY)","6","","2802.00","2802.00","0","0","-280.00","2522.00","0.19450","490.53","MXN",
"Corea del Sur (KRW)","0","","2219.00","2219.00","0","0","0","2219.00","0.01846","40.96","MXN",
"México (MXN)","415","","37310.69","37310.69","0","0","0","37310.69","1.00000","37310.69","MXN",
"México (MXN)","-1","","-73.20","-73.20","0","0","0","-73.20","1.00000","-73.20","MXN",
"Malasia (MYR)","0","","0.62","0.62","0","0","0","0.62","5.01613","3.11","MXN",
"Noruega (NOK)","1","","22.80","22.80","0","0","0","22.80","2.23640","50.99","MXN",
"Nueva Zelanda (NZD)","0","","3.56","3.56","0","0","-0.30","3.26","13.94479","45.46","MXN",
"Perú (PEN)","6","","50.71","50.71","0","0","0","50.71","5.84993","296.65","MXN",
"Polonia (PLN)","1","","14.36","14.36","0","0","0","14.36","5.33705","76.64","MXN",
"Rumanía (RON)","0","","1.78","1.78","0","0","0","1.78","4.97753","8.86","MXN",
"Rusia (RUB)","1","","224.73","224.73","0","0","0","224.73","0.26498","59.55","MXN",
"Arabia Saudí (SAR)","0","","1.83","1.83","0","0","0","1.83","5.39891","9.88","MXN",
"Suecia (SEK)","1","","24.39","24.39","0","0","0","24.39","2.34399","57.17","MXN",
"Singapur (SGD)","0","","0.29","0.29","0","0","0","0.29","15.03448","4.36","MXN",
"Tailandia (THB)","0","4.38","4.73","9.11","0","0","0","9.11","0.65752","5.99","MXN",
"Turquía (TRY)","0","","4.73","4.73","0","0","0","4.73","2.67442","12.65","MXN",
"Taiwán (TWD)","0","","28.00","28.00","0","0","0","28.00","0.71857","20.12","MXN",
"América Latina y el Caribe (USD)","8","","73.40","73.40","0","0","0","73.40","20.24932","1486.30","MXN",
"América (USD)","251","","1707.30","1707.30","0","0","-170.73","1536.57","20.24930","31114.47","MXN",
"Resto del mundo (USD)","0","","2.76","2.76","0","0","0","2.76","20.25000","55.89","MXN",
"Sudáfrica (ZAR)","0","","7.87","7.87","0","0","0","7.87","1.30496","10.27","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"78,758.90 MXN",,
,,,,,,,,,,Pagado a BBVA BANCOMER, S.A.-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Croacia (HRK)","0","","0.91","0.91","0","0","0","0.91","","2.66","MXN",
"Indonesia (IDR)","0","","2037.00","2037.00","0","0","0","2037.00","","2.84","MXN",
"India (INR)","0","54.02","10.03","64.05","0","0","0","64.05","","17.83","MXN",
"Vietnam (VND)","0","-2774.00","0.00","-2774.00","0.00","0.00","0.00","-2774.00","","-2.37","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"20.96 MXN",,
,,,,,,,,,,Ganancias estimadas,,
,,,,,,,,,,,,
,,,,,,,,,,,,
