Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/01/2024	09/28/2024		MXF600603378	MXF600603378	1	0.99	0.99	AUD	S	208304295	La Bodeguita del Medio	Guantanamera	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
09/01/2024	09/28/2024		MXF600900871	MXF600900871	1	1.29	1.29	AUD	S	338347700	Los Folkloristas	Flor de Canela	Fonarte Latino SA de CV		H		AU			2.19	AUD
09/01/2024	09/28/2024		MXF601100684	MXF601100684	1	0.99	0.99	AUD	S	454642264	Fadi El Saadi	Zay El Hawa	Fonarte Latino SA de CV		H		AU			1.69	AUD
09/01/2024	09/28/2024		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
09/01/2024	09/28/2024		MXF601800269	MXF601800269	1	1.29	1.29	AUD	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/01/2024	09/28/2024		MXF601900380	MXF601900380	1	0.91	0.91	CAD	S	1482678964	Omara Portuondo	Veinte Años	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/01/2024	09/28/2024		MXF602100664	MXF602100664	1	0.91	0.91	CAD	S	1588980563	Lalo Manzano, Carlos Macías	Tu Olvido (Sesión en Vivo)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/01/2024	09/28/2024	7509841216319		7509841216319	1	6.75	6.75	CHF	S	965974060	Caña Dulce y Caña Brava	Sones Jarochos	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
09/01/2024	09/28/2024	7509841282376		7509841282376	1	6.75	6.75	CHF	S	1701158442	Valeria Rojas	Río Revuelto, Vol. 1	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
09/01/2024	09/28/2024	7509841210157		7509841210157	1	2989.00	2989.00	CLP	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		CL			4900.00	CLP
