"iTunes Connect - Pagos e informes financieros	(Septiembre, 2024)",,,,,,,,,,,
,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria
Emiratos Árabes Unidos (AED),0,,2.08,2.08,0,0,0,2.08,5.37019,11.17,MXN
Australia (AUD),5,,20.04,20.04,0,0,-2,18.04,13.23559,238.77,MXN
Brasil (BRL),0,,30.11,30.11,0,0,0,30.11,3.4716,104.53,MXN
Canadá (CAD),2,,46.6,46.6,0,0,0,46.6,14.29678,666.23,MXN
Suiza (CHF),2,,21.62,21.62,0,0,0,21.62,22.76087,492.09,MXN
Chile (CLP),1,,27988,27988,0,0,0,27988,0.02087,584.19,MXN
China continental (CNY),0,,2.92,2.92,0,0,0,2.92,2.77055,8.09,MXN
Colombia (COP),1,,61327.42,61327.42,0,0,0,61327.42,0.00463,283.81,MXN
República Checa (CZK),0,,20.46,20.46,0,0,0,20.46,0.84604,17.31,MXN
Dinamarca (DKK),0,,9.01,9.01,0,0,0,9.01,2.8657,25.82,MXN
Eurozona (EUR),4,,100.87,100.87,0,0,0,100.87,21.37315,2155.91,MXN
Reino Unido (GBP),1,,11.77,11.77,0,0,0,11.77,25.71708,302.69,MXN
Hong Kong (HKD),1,,7.89,7.89,0,0,0,7.89,2.53739,20.02,MXN
Hungría (HUF),0,,106,106,0,0,0,106,0.05245,5.56,MXN
Indonesia (IDR),0,,3504,3504,0,0,0,3504,0.00128,4.49,MXN
Israel (ILS),0,,7.61,7.61,0,0,0,7.61,5.27989,40.18,MXN
India (INR),0,,36.92,36.92,0,0,0,36.92,0.23158,8.55,MXN
Japón (JPY),2,,1923,1923,0,0,-193,1730,0.13159,227.65,MXN
Corea del Sur (KRW),0,,1644,1644,0,0,0,1644,0.01443,23.72,MXN
Kazajistán (KZT),0,,69.12,69.12,0,0,0,69.12,0.04022,2.78,MXN
México (MXN),132,,21174,21174,0,0,0,21174,1,21174,MXN
Malasia (MYR),0,,0.71,0.71,0,0,0,0.71,4.52113,3.21,MXN
Noruega (NOK),0,,15.5,15.5,0,0,0,15.5,1.8129,28.1,MXN
Nueva Zelanda (NZD),0,,1.41,1.41,0,0,-0.13,1.28,11.96875,15.32,MXN
Perú (PEN),1,,40.93,40.93,0,0,0,40.93,5.23797,214.39,MXN
Filipinas (PHP),0,,10.48,10.48,0,0,0,10.48,0.34637,3.63,MXN
Polonia (PLN),0,,5.33,5.33,0,0,0,5.33,4.93246,26.29,MXN
Rumanía (RON),0,,1.66,1.66,0,0,0,1.66,4.24699,7.05,MXN
Rusia (RUB),0,,89.92,89.92,0,0,0,89.92,0.20329,18.28,MXN
Arabia Saudí (SAR),0,,2,2,0,0,0,2,5.25,10.5,MXN
Suecia (SEK),1,,19.6,19.6,0,0,0,19.6,1.875,36.75,MXN
Singapur (SGD),0,,0.37,0.37,0,0,0,0.37,15.02703,5.56,MXN
Turquía (TRY),0,,16.91,16.91,0,0,0,16.91,0.57481,9.72,MXN
Taiwán (TWD),1,,43,43,0,0,0,43,0.6114,26.29,MXN
América (USD),104,,1341.73,1341.73,0,0,-134.17,1207.56,19.7227,23816.34,MXN
América Latina y el Caribe (USD),3,,59.01,59.01,0,0,0,59.01,19.72276,1163.84,MXN
Resto del mundo (USD),0,,1.1,1.1,0,0,0,1.1,19.71818,21.69,MXN
Sudáfrica (ZAR),0,,9.84,9.84,0,0,0,9.84,1.12195,11.04,MXN
,,,,,,,,,,,
,,,,,,,,,,"51,815.56 MXN",
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
