"iTunes Connect - Pagos e informes financieros	(Septiembre, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.31,3.31,0,0,0,3.31,5.02417,16.63,MXN,
Australia (AUD),7,,21.88,21.88,0,0,-2.2,19.68,11.93801,234.94,MXN,
Brasil (BRL),2,,35.38,35.38,0,0,0,35.38,3.39712,120.19,MXN,
Canadá (CAD),11,,61.35,61.35,0,0,0,61.35,13.14703,806.57,MXN,
Suiza (CHF),1,,6.87,6.87,0,0,0,6.87,23.377,160.6,MXN,
Chile (CLP),6,,39337,39337,0,0,0,39337,0.01931,759.52,MXN,
China continental (CNY),0,,3.28,3.28,0,0,0,3.28,2.58841,8.49,MXN,
Colombia (COP),4,,76876.54,76876.54,0,0,0,76876.54,0.00476,366.1,MXN,
República Checa (CZK),0,,25.69,25.69,0,0,0,25.69,0.89101,22.89,MXN,
Dinamarca (DKK),0,,5.62,5.62,0,0,0,5.62,2.89146,16.25,MXN,
Egipto (EGP),1,,3.04,3.04,0,0,0,3.04,0.42763,1.3,MXN,
Eurozona (EUR),9,,110.52,110.52,0,0,0,110.52,21.59193,2386.34,MXN,
Reino Unido (GBP),1,,12.03,12.03,0,0,0,12.03,24.79135,298.24,MXN,
Hong Kong (HKD),0,,1.81,1.81,0,0,0,1.81,2.37569,4.3,MXN,
Hungría (HUF),0,,80,80,0,0,0,80,0.05663,4.53,MXN,
Indonesia (IDR),0,,2905,2905,0,0,0,2905,0.00112,3.24,MXN,
Israel (ILS),0,,5.86,5.86,0,0,0,5.86,5.60068,32.82,MXN,
India (INR),0,,44.99,44.99,0,0,0,44.99,0.21116,9.5,MXN,
Japón (JPY),9,,4306,4306,0,0,-431,3875,0.12325,477.59,MXN,
República de Corea (KRW),0,,1192,1192,0,0,0,1192,0.01301,15.51,MXN,
Kazajistán (KZT),3,,355.57,355.57,0,0,0,355.57,0.03462,12.31,MXN,
México (MXN),117,,23008.74,23008.74,0,0,0,23008.74,1,23008.74,MXN,
Noruega (NOK),0,,14.05,14.05,0,0,0,14.05,1.8306,25.72,MXN,
Nueva Zelanda (NZD),0,,1.03,1.03,0,0,-0.11,0.92,10.57609,9.73,MXN,
Perú (PEN),0,,42.36,42.36,0,0,0,42.36,5.44783,230.77,MXN,
Polonia (PLN),0,,4.47,4.47,0,0,0,4.47,5.07159,22.67,MXN,
Rumanía (RON),0,,2.3,2.3,0,0,0,2.3,4.22609,9.72,MXN,
Rusia (RUB),0,,119.45,119.45,0,0,0,119.45,0.23139,27.64,MXN,
Arabia Saudí (SAR),0,,1.26,1.26,0,0,0,1.26,4.92063,6.2,MXN,
Suecia (SEK),0,,22.82,22.82,0,0,0,22.82,1.95223,44.55,MXN,
Turquía (TRY),0,,16.27,16.27,0,0,0,16.27,0.44007,7.16,MXN,
Taiwán (TWD),0,,33,33,0,0,0,33,0.60182,19.86,MXN,
Resto del mundo (USD),0,,0.48,0.48,0,0,0,0.48,18.45833,8.86,MXN,
América Latina y el Caribe (USD),0,,51.29,51.29,0,0,0,51.29,18.46188,946.91,MXN,
América (USD),100,,1325.11,1325.11,0,0,-132.52,1192.59,18.4619,22017.48,MXN,
Sudáfrica (ZAR),0,,6.75,6.75,0,0,0,6.75,1.05778,7.14,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"52,151.01 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
