Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/05/2023	12/02/2023		MXF602100179	MXF602100179	1	1.29	1.29	AUD	S	1562439942	Ricardo Larrea	Atacama Expedition 1	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/05/2023	12/02/2023	7509841282680		7509841282680	2	12.14	24.28	BRL	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		BR	P		19.90	BRL
11/05/2023	12/02/2023		MXF601400271	MXF601400271	1	0.91	0.91	CAD	S	859453873	Chavela Vargas	Somos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/05/2023	12/02/2023		MXF600600022	MXF600600022	3	0.91	2.73	CAD	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/05/2023	12/02/2023		MXF600603012	MXF600603012	1	0.70	0.70	CAD	S	256548168	Gerardo Alfonso	Pensamiento-Giovana	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/05/2023	12/02/2023		MXF600603016	MXF600603016	1	0.70	0.70	CAD	S	256548216	Frank Delgado	Mujer Perjura-Utopia	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/05/2023	12/02/2023		MXF601200640	MXF601200640	1	0.91	0.91	CAD	S	538520986	Carlos Macías	Divina Tú	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/05/2023	12/02/2023		MXF601401015	MXF601401015	1	1.12	1.12	CHF	S	934536132	Son de Madera	El Pescador	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
11/05/2023	12/02/2023		MXF602300540	MXF602300540	1	1.12	1.12	CHF	S	1712350534	Fadi El Saadi	Ya Saif Mix (يا سيف)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
11/05/2023	12/02/2023		MXF601400890	MXF601400890	1	1.12	1.12	CHF	S	922599375	Los Folkloristas	El Coco (Son Jarocho) [México]	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
11/05/2023	12/02/2023		MXF601500760	MXF601500760	1	1.12	1.12	CHF	S	1042709330	Los Folkloristas	El Coco (Captain Planet Remix)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
11/05/2023	12/02/2023	7509841282680		7509841282680	1	2989.00	2989.00	CLP	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		CL			4900.00	CLP
11/05/2023	12/02/2023	7509841282680		7509841282680	3	2989.00	8967.00	CLP	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		CL	P		4900.00	CLP
11/05/2023	12/02/2023		MXF600800054	MXF600800054	1	299.00	299.00	CLP	S	292661699	Pedro Aznar	Décimas	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
11/05/2023	12/02/2023		MXF600602462	MXF600602462	1	299.00	299.00	CLP	S	154051832	Violeta Parra	Dicen Que el Aji Maduro (Cueca)	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
11/05/2023	12/02/2023	7509841210157		7509841210157	1	12763.87	12763.87	COP	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		CO			24900.00	COP
11/05/2023	12/02/2023	7509841282680		7509841282680	2	4.90	9.80	EUR	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		ES	P		8.99	EUR
11/05/2023	12/02/2023		MXF602000154	MXF602000154	1	0.90	0.90	EUR	S	1502764062	Fadi El Saadi	Shahd Entrance	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
