Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/29/2024	11/02/2024		MXF601200453	MXF601200453	1	0.99	0.99	AUD	S	527837172	Real de Catorce	Azul (En Vivo)	Fonarte Latino, S.A. de C.V.		H		NZ			1.79	NZD
09/29/2024	11/02/2024		MXF602000332	MXF602000332	1	1.29	1.29	AUD	S	1514463988	Real de Catorce	Al Rojo de la Tarde (En Vivo)	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
09/29/2024	11/02/2024		MXF601200460	MXF601200460	1	0.99	0.99	AUD	S	527837179	Real de Catorce	Patios de Cristal (En Vivo)	Fonarte Latino, S.A. de C.V.		H		NZ			1.79	NZD
09/29/2024	11/02/2024		MXF601000652	MXF601000652	1	0.99	0.99	AUD	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		AU			1.69	AUD
09/29/2024	11/02/2024		MXF601300718	MXF601300718	1	0.70	0.70	CAD	S	674087134	Pablo Ahmad	Como Dos Extraños	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
09/29/2024	11/02/2024		MXF601200800	MXF601200800	1	0.70	0.70	CAD	S	555716427	Fadi El Saadi	Ya Habibi	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
09/29/2024	11/02/2024		MXF600900871	MXF600900871	1	0.91	0.91	CAD	S	338347700	Los Folkloristas	Flor de Canela	Fonarte Latino SA de CV		H		CA			1.29	CAD
09/29/2024	11/02/2024		MXF600800135	MXF600800135	1	0.91	0.91	CAD	S	292713733	Los Folkloristas	Villa de Villares (Bailecito)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/29/2024	11/02/2024		MXF600603007	MXF600603007	1	0.70	0.70	CAD	S	256548077	Pablo Milanés	Mercedes-Yolanda	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
09/29/2024	11/02/2024		MXF602400272	MXF602400272	1	0.91	0.91	CAD	S	1767883275	Lucero Mijares, Lucero	Caponera (Jardinera)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/29/2024	11/02/2024		MXF602400177	MXF602400177	1	0.91	0.91	CAD	S	1745184199	Santaella	Procuro Olvidarte	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
