"iTunes Connect - Pagos e informes financieros	(Octubre, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.27,3.27,0,0,0,3.27,5.54128,18.12,MXN,
Australia (AUD),4,,22.35,22.35,0,0,-2.22,20.13,13.22156,266.15,MXN,
Bulgaria (BGN),0,,0.4,0.4,0,0,0,0.4,10.6,4.24,MXN,
Brasil (BRL),0,,35.8,35.8,0,0,0,35.8,3.49553,125.14,MXN,
Canadá (CAD),8,,65.57,65.57,0,0,0,65.57,14.54354,953.62,MXN,
Suiza (CHF),3,,11.48,11.48,0,0,0,11.48,22.88415,262.71,MXN,
Chile (CLP),3,,30119,30119,0,0,0,30119,0.02095,631,MXN,
China continental (CNY),0,,4.03,4.03,0,0,0,4.03,2.80397,11.3,MXN,
Colombia (COP),0,,84096.98,84096.98,0,0,0,84096.98,0.00464,390.07,MXN,
República Checa (CZK),0,,23,23,0,0,0,23,0.83913,19.3,MXN,
Dinamarca (DKK),4,,35.17,35.17,0,0,0,35.17,2.8439,100.02,MXN,
Egipto (EGP),1,,3.04,3.04,0,0,0,3.04,0.41776,1.27,MXN,
Eurozona (EUR),15,,147.57,147.57,0,0,0,147.57,21.20722,3129.55,MXN,
Reino Unido (GBP),4,,23.61,23.61,0,0,0,23.61,25.48793,601.77,MXN,
Hong Kong (HKD),0,,3.8,3.8,0,0,0,3.8,2.61579,9.94,MXN,
Hungría (HUF),0,,113,113,0,0,0,113,0.05257,5.94,MXN,
Indonesia (IDR),0,,6232,6232,0,0,0,6232,0.00126,7.85,MXN,
Israel (ILS),0,,8.97,8.97,0,0,0,8.97,5.4136,48.56,MXN,
India (INR),0,,40.13,40.13,0,0,0,40.13,0.23773,9.54,MXN,
Japón (JPY),9,,4111,4111,0,0,-411,3700,0.13187,487.92,MXN,
República de Corea (KRW),0,,2813,2813,0,0,0,2813,0.01454,40.9,MXN,
Kazajistán (KZT),0,,134.12,134.12,0,0,0,134.12,0.04108,5.51,MXN,
México (MXN),210,,28351.3,28351.3,0,0,0,28351.3,1,28351.3,MXN,
Malasia (MYR),0,,1.48,1.48,0,0,0,1.48,4.43919,6.57,MXN,
Noruega (NOK),0,,13.84,13.84,0,0,0,13.84,1.83309,25.37,MXN,
Nueva Zelanda (NZD),0,,2.41,2.41,0,0,-0.24,2.17,11.88018,25.78,MXN,
Perú (PEN),1,,52.86,52.86,0,0,0,52.86,5.36228,283.45,MXN,
Filipinas (PHP),0,,23.63,23.63,0,0,0,23.63,0.34109,8.06,MXN,
Polonia (PLN),0,,7.64,7.64,0,0,0,7.64,4.88482,37.32,MXN,
Rumanía (RON),0,,3.25,3.25,0,0,0,3.25,4.24,13.78,MXN,
Rusia (RUB),2,,145.22,145.22,0,0,0,145.22,0.1986,28.84,MXN,
Arabia Saudí (SAR),1,,5.51,5.51,0,0,0,5.51,5.41924,29.86,MXN,
Suecia (SEK),0,,15.61,15.61,0,0,0,15.61,1.83472,28.64,MXN,
Singapur (SGD),1,,1.3,1.3,0,0,0,1.3,15.09231,19.62,MXN,
Turquía (TRY),10,,24.02,24.02,0,0,0,24.02,0.58826,14.13,MXN,
Taiwán (TWD),1,,153,153,0,0,0,153,0.61817,94.58,MXN,
América (USD),154,,1886.08,1886.08,0,0,-188.61,1697.47,20.3482,34540.46,MXN,
América Latina y el Caribe (USD),2,,65.89,65.89,0,0,0,65.89,20.34816,1340.74,MXN,
Resto del mundo (USD),1,,1.59,1.59,0,0,0,1.59,20.34591,32.35,MXN,
Sudáfrica (ZAR),0,,11.08,11.08,0,0,0,11.08,1.12635,12.48,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"72,023.75 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
