Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/28/2025	11/01/2025		MXF602100064	MXF602100064	1	1.29	1.29	AUD	S	1550358278	Diana Rash	Katakoufti 8/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/28/2025	11/01/2025		MXF602100065	MXF602100065	1	1.29	1.29	AUD	S	1550358279	Diana Rash	Aqsaaq 9/8	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/28/2025	11/01/2025		MXF602200443	MXF602200443	1	1.29	1.29	AUD	S	1651721666	Diana Rash	Soudasi 6/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/28/2025	11/01/2025		MXF602100060	MXF602100060	1	1.29	1.29	AUD	S	1550358094	Diana Rash	Dawr Hindi 7/8	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/28/2025	11/01/2025		MXF602200444	MXF602200444	1	1.29	1.29	AUD	S	1651721667	Diana Rash	Mosalas (Shobie) 4/4	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/28/2025	11/01/2025		MXF602000101	MXF602000101	2	1.77	3.54	BRL	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
09/28/2025	11/01/2025		MXF602400366	MXF602400366	1	0.91	0.91	CAD	S	1781715661	Daniela Romo	Amor Amargo	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/28/2025	11/01/2025		MX3941300127	MX3941300127	1	0.91	0.91	CAD	S	1021336452	Jorge Dominguez	Tus Ojitos	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/28/2025	11/01/2025		MXF602300474	MXF602300474	1	0.91	0.91	CAD	S	1703291915	Santaella, Falete	Que Se Me Acabe La Vida	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/28/2025	11/01/2025		MXF602300393	MXF602300393	1	0.91	0.91	CAD	S	1694593494	Santaella, Falete	La Farsante	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/28/2025	11/01/2025		MXF601401007	MXF601401007	1	0.91	0.91	CAD	S	934536124	Son de Madera	La Iguana	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
09/28/2025	11/01/2025		MXF601101001	MXF601101001	1	0.91	0.91	CAD	S	476849009	Regina Orozco	Cerró Sus Ojitos Cleto	Fonarte Latino SA de CV		H		CA			1.29	CAD
09/28/2025	11/01/2025	7509841440189		7509841440189	1	7.00	7.00	CAD	S	186139464	Amparo Ochoa	Por Siempre - The Best of Amparo Ochoa (Remastered 2006)	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
09/28/2025	11/01/2025		MXF601900100	MXF601900100	1	1.12	1.12	CHF	S	1460030007	Yolotecuani	Son Guerrerense	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
09/28/2025	11/01/2025	7509841282321		7509841282321	1	6.75	6.75	CHF	S	1699275383	Miguel Inzunza	20 Años de Viaje, Vol. 2 (En Vivo)	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
09/28/2025	11/01/2025	7509841280792		7509841280792	1	6.75	6.75	CHF	S	1637481105	Miguel Inzunza	20 Años de Viaje, Vol. 1 (En Vivo)	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
09/28/2025	11/01/2025		MXF602500162	MXF602500162	1	1.12	1.12	CHF	S	1831343476	Francisco Barrios "El Mastuerzo"	Niña de mis Ojos	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
09/28/2025	11/01/2025		MXF601200995	MXF601200995	1	421.00	421.00	CLP	S	566614232	Carlos Macías	Mil Vidas (feat. Fernanda Castillo)	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
09/28/2025	11/01/2025		MXF601200794	MXF601200794	1	0.71	0.71	EUR	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AT			0.99	EUR
09/28/2025	11/01/2025		MXF602200034	MXF602200034	1	0.90	0.90	EUR	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
09/28/2025	11/01/2025		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
09/28/2025	11/01/2025	7509841210188		7509841210188	1	4.90	4.90	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		NL			8.99	EUR
09/28/2025	11/01/2025		MXF600603007	MXF600603007	1	0.71	0.71	EUR	S	256548077	Pablo Milanés	Mercedes-Yolanda	Fonarte Latino, S.A. de C.V.		H		NL			0.99	EUR
09/28/2025	11/01/2025		MXF600800174	MXF600800174	1	0.90	0.90	EUR	S	292775966	Los Folkloristas	Khoyaylla (Huayno)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
