"iTunes Connect - Pagos e informes financieros	(Octubre, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.16,3.16,0,0,0,3.16,5.00633,15.82,MXN,
Australia (AUD),5,,25.47,25.47,0,0,-2.54,22.93,11.82861,271.23,MXN,
Brasil (BRL),2,,48.15,48.15,0,0,0,48.15,3.4486,166.05,MXN,
Canadá (CAD),7,,67.67,67.67,0,0,0,67.67,13.04655,882.86,MXN,
Suiza (CHF),4,,25.39,25.39,0,0,0,25.39,22.82001,579.4,MXN,
Chile (CLP),1,,29697,29697,0,0,0,29697,0.0198,587.9,MXN,
China continental (CNY),0,,3.4,3.4,0,0,0,3.4,2.58529,8.79,MXN,
Colombia (COP),0,,82925.64,82925.64,0,0,0,82925.64,0.00492,407.69,MXN,
República Checa (CZK),0,,35.58,35.58,0,0,0,35.58,0.87493,31.13,MXN,
Dinamarca (DKK),0,,11.05,11.05,0,0,0,11.05,2.83529,31.33,MXN,
Egipto (EGP),0,,6.57,6.57,0,0,0,6.57,0.38661,2.54,MXN,
Eurozona (EUR),6,,129.64,129.64,0,0,0,129.64,21.17849,2745.58,MXN,
Reino Unido (GBP),3,,15.03,15.03,0,0,0,15.03,24.002,360.75,MXN,
Hong Kong (HKD),0,,3.34,3.34,0,0,0,3.34,2.36228,7.89,MXN,
Hungría (HUF),0,,152,152,0,0,0,152,0.05572,8.47,MXN,
Indonesia (IDR),0,,3731,3731,0,0,0,3731,0.00108,4.02,MXN,
Israel (ILS),0,,9.08,9.08,0,0,0,9.08,5.64427,51.25,MXN,
India (INR),0,,85.56,85.56,0,0,0,85.56,0.20792,17.79,MXN,
Japón (JPY),4,,3068,3068,0,0,-307,2761,0.11733,323.95,MXN,
República de Corea (KRW),0,,1496,1496,0,0,0,1496,0.01254,18.76,MXN,
Kazajistán (KZT),0,,111.39,111.39,0,0,0,111.39,0.03609,4.02,MXN,
México (MXN),195,,31429.9,31429.9,0,0,0,31429.9,1,31429.9,MXN,
Noruega (NOK),0,,15.08,15.08,0,0,0,15.08,1.78912,26.98,MXN,
Nueva Zelanda (NZD),0,,1.75,1.75,0,0,-0.18,1.57,10.28662,16.15,MXN,
Perú (PEN),0,,57.61,57.61,0,0,0,57.61,5.43916,313.35,MXN,
Polonia (PLN),1,,8.6,8.6,0,0,0,8.6,4.99884,42.99,MXN,
Catar (QAR),0,,0.47,0.47,0,0,0,0.47,4.95745,2.33,MXN,
Rumanía (RON),0,,2.12,2.12,0,0,0,2.12,4.1934,8.89,MXN,
Rusia (RUB),0,,136.36,136.36,0,0,0,136.36,0.22829,31.13,MXN,
Arabia Saudí (SAR),0,,1.57,1.57,0,0,0,1.57,4.90446,7.7,MXN,
Suecia (SEK),0,,28.63,28.63,0,0,0,28.63,1.91757,54.9,MXN,
Tailandia (THB),0,,4.97,4.97,0,0,0,4.97,0.55332,2.75,MXN,
Türkiye (TRY),16,,37.14,37.14,0,0,0,37.14,0.43296,16.08,MXN,
Taiwán (TWD),0,,52,52,0,0,0,52,0.59058,30.71,MXN,
Resto del mundo (USD),0,,1.12,1.12,0,0,0,1.12,18.39286,20.6,MXN,
América (USD),133,,1663.14,1663.14,0,0,-166.32,1496.82,18.3892,27525.32,MXN,
América Latina y el Caribe (USD),0,,67.22,67.22,0,0,0,67.22,18.38917,1236.12,MXN,
Vietnam (VND),0,,5075,5075,0,0,0,5075,0.00071,3.6,MXN,
Sudáfrica (ZAR),0,,10.15,10.15,0,0,0,10.15,1.0601,10.76,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"67,307.48 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
