Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
12/03/2023	12/30/2023		MXF602000164	MXF602000164	1	1.29	1.29	AUD	S	1502764072	Fadi El Saadi	El Molayeteen (Dabke) (Live)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/03/2023	12/30/2023		MXF602300392	MXF602300392	1	1.77	1.77	BRL	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
12/03/2023	12/30/2023		MXF602000027	MXF602000027	1	0.91	0.91	CAD	S	1494766542	Alejandra Robles	Escándalo	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/03/2023	12/30/2023		MXF602000025	MXF602000025	1	0.91	0.91	CAD	S	1494766540	Alejandra Robles	Quítate Tú	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/03/2023	12/30/2023		MXF601600555	MXF601600555	1	0.91	0.91	CAD	S	1173641176	Carlos Macías	Yo Me Quedo Contigo	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/03/2023	12/30/2023		MXF600600428	MXF600600428	1	0.91	0.91	CAD	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/03/2023	12/30/2023		MXF602000019	MXF602000019	1	0.91	0.91	CAD	S	1494766264	Alejandra Robles	La Culebra	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/03/2023	12/30/2023		MXF600800023	MXF600800023	1	0.70	0.70	CAD	S	289352306	Ernesto Cavour	Camino Con Piedras (Leyenda)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
12/03/2023	12/30/2023		MXF601400266	MXF601400266	1	1.12	1.12	CHF	S	859453867	Chavela Vargas	La Llorona	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/03/2023	12/30/2023		MXF602300474	MXF602300474	1	1.12	1.12	CHF	S	1703291915	Santaella, Falete	Que Se Me Acabe La Vida	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/03/2023	12/30/2023		MXF602300393	MXF602300393	1	1.12	1.12	CHF	S	1694593494	Santaella, Falete	La Farsante	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
12/03/2023	12/30/2023		MXF600800003	MXF600800003	1	0.86	0.86	CHF	S	292528361	Jaime Guardia	Golongrina Viajera (Huayno)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
12/03/2023	12/30/2023	7509841550079		7509841550079	1	2989.00	2989.00	CLP	S	357708181	Fernanda Delgado	DNA Healing Mantras	Fonarte Latino SA de CV		I		CL			4900.00	CLP
