Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/03/2024	11/30/2024		MXF602400330	MXF602400330	1	1.29	1.29	AUD	S	1777469273	Fadi El Saadi	Dakhlek wl Hawa (دخلك والهوا شمالي)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400193	MXF602400193	1	1.29	1.29	AUD	S	1745169031	Fadi El Saadi	Haramt Ahebak (حرمت أحبك)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF601401004	MXF601401004	1	1.29	1.29	AUD	S	934536121	Son de Madera	Mujer Antigua, La Bruja	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400334	MXF602400334	1	1.29	1.29	AUD	S	1777469277	Fadi El Saadi	Ya Mdagdag bin Ame (يا مدقدق بن عمي)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400335	MXF602400335	1	1.29	1.29	AUD	S	1777469278	Fadi El Saadi	Al Hada (عالهدا)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400332	MXF602400332	1	1.29	1.29	AUD	S	1777469275	Fadi El Saadi	Deni Sgeri (دنيا صغيره)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400333	MXF602400333	1	1.29	1.29	AUD	S	1777469276	Fadi El Saadi	Tawaheen (يا مارق عالطواحين)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF602400331	MXF602400331	1	1.29	1.29	AUD	S	1777469274	Fadi El Saadi	El Zena (الزينه لبست خلخالا)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
11/03/2024	11/30/2024		MXF600602532	MXF600602532	1	1.16	1.16	BRL	S	337369487	Guadalupe Pineda, Carlos Díaz Caito	Samba en Preludio	Fonarte Latino SA de CV		H		BR			1.90	BRL
11/03/2024	11/30/2024		MXF602400321	MXF602400321	1	0.91	0.91	CAD	S	1776669633	Santaella	Mi Único Regalo	Fonarte Latino, S.A. de C.V.		H		CA	P		1.29	CAD
11/03/2024	11/30/2024		MXF600600062	MXF600600062	1	0.91	0.91	CAD	S	144252247	Gabino Palomares	La Maldicion de Malinche	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/03/2024	11/30/2024		MXF602300523	MXF602300523	1	0.91	0.91	CAD	S	1716096470	Skapital Sound	No Te Quiero Perder (En Vivo)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
11/03/2024	11/30/2024		MXF600800062	MXF600800062	1	0.70	0.70	CAD	S	292661719	Pedro Aznar	Fragilidad	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
11/03/2024	11/30/2024		MXF600800061	MXF600800061	1	299.00	299.00	CLP	S	292661718	Pedro Aznar	La Abeja y la Araña	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
11/03/2024	11/30/2024		MXF600600173	MXF600600173	1	0.71	0.71	EUR	S	145980996	Terceto de Guitarras de la Ciudad de Mexico	Huapango	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
11/03/2024	11/30/2024		MXF600601662	MXF600601662	1	0.90	0.90	EUR	S	153141061	Adriana Landeros	Tu Risa	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
11/03/2024	11/30/2024		MXF602100063	MXF602100063	1	0.90	0.90	EUR	S	1550358277	Diana Rash	Masmoudi Kabir 8/4	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
11/03/2024	11/30/2024	7509841278539		7509841278539	1	4.90	4.90	EUR	S	1562442116	Ricardo Larrea	Por El Planeta - Costa Rica (Music From the Original Tv Series)	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
11/03/2024	11/30/2024		MXF601800274	MXF601800274	1	0.90	0.90	EUR	S	1357301088	Big Band Jazz de México	Perfidia (feat. Yoshio)	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
11/03/2024	11/30/2024		MXF601000651	MXF601000651	1	0.71	0.71	EUR	S	406773736	The Rudimentals	Radio Skaweto	Fonarte Latino SA de CV		H		DE			0.99	EUR
11/03/2024	11/30/2024		MXF600601288	MXF600601288	1	0.71	0.71	EUR	S	152436212	Alberto Escobar	Coincidir	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
11/03/2024	11/30/2024		MXF601500065	MXF601500065	1	0.72	0.72	GBP	S	964544784	Paulina Goto	Llévame Despacio	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
11/03/2024	11/30/2024		MXF602300301	MXF602300301	1	148.00	148.00	JPY	S	1683409291	Fadi El Saadi	Rumba Oriental (رومبا أورينتال)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024		MXF602000675	MXF602000675	1	148.00	148.00	JPY	S	1542072810	Fadi El Saadi	Zay El Asal	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024		MXF602100136	MXF602100136	1	148.00	148.00	JPY	S	1557969756	Silueta Pálida	El Paso del Tiempo	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024		MXF602400192	MXF602400192	1	148.00	148.00	JPY	S	1745169030	Fadi El Saadi	Al Eih Besalouni (أل ايه بيسألوني)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024		MXF602400193	MXF602400193	2	148.00	296.00	JPY	S	1745169031	Fadi El Saadi	Haramt Ahebak (حرمت أحبك)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024	7509841275163		7509841275163	1	865.00	865.00	JPY	S	1357300237	Big Band Jazz de México	Big Band Jazz de México and Friends	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
11/03/2024	11/30/2024		MXF601600152	MXF601600152	1	148.00	148.00	JPY	S	1105096866	Fadi El Saadi	Rabab	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024		MXF601401043	MXF601401043	1	148.00	148.00	JPY	S	952847548	Louise Phelan	Perhaps, Perhaps, Perhaps (Quizás, Quizás, Quizás)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
11/03/2024	11/30/2024	7509841318174		7509841318174	1	865.00	865.00	JPY	S	1542072803	Fadi El Saadi	Lamis (Bellydance, Vol. 6)	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
11/03/2024	11/30/2024		MXF601900347	MXF601900347	1	9.15	9.15	MXN	S	1473036222	Pablo Campos, Daniela Ibañez	Inseparables	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024		MXF601900413	MXF601900413	1	9.15	9.15	MXN	S	1479604758	Los Folkloristas	El Solar de Monimbó (Son) [Nicaragua]	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024		MXF600800078	MXF600800078	1	7.32	7.32	MXN	S	292687574	Los Patita de Perro	Cuando Yo Me Muera	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
11/03/2024	11/30/2024	7509841318037		7509841318037	1	73.20	73.20	MXN	S	1483843705	Sergio Felix, Gerardo Peña, Alejandro Santiago	3TT	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
11/03/2024	11/30/2024		MXF601800274	MXF601800274	1	9.15	9.15	MXN	S	1357301088	Big Band Jazz de México	Perfidia (feat. Yoshio)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024		MXF602400312	MXF602400312	1	9.15	9.15	MXN	S	1775983078	Genessis Carrillo	Mi Amor sin Tiempo (feat. Orlando Di Pietro)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024		MXF601800270	MXF601800270	1	9.15	9.15	MXN	S	1357301081	Big Band Jazz de México	Piensa en Mí (feat. Susana Zabaleta)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024		MXF602400366	MXF602400366	4	9.15	36.60	MXN	S	1781715661	Daniela Romo	Amor Amargo	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
11/03/2024	11/30/2024	7509841284264		7509841284264	2	64.05	128.10	MXN	S	1777469272	Fadi El Saadi	Vol. 11	Fonarte Latino, S.A. de C.V.		I		MX			105.00	MXN
11/03/2024	11/30/2024		MXF602400318	MXF602400318	1	9.15	9.15	MXN	S	1775983084	Sofia Guardiola	Ganó el Amor	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
