"iTunes Connect - Pagos e informes financieros	(Noviembre, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.83,3.83,0,0,0,3.83,4.89034,18.73,MXN,
Australia (AUD),4,,18.37,18.37,0,0,-1.84,16.53,11.86872,196.19,MXN,
Bulgaria (BGN),0,,0.18,0.18,0,0,0,0.18,11,1.98,MXN,
Brasil (BRL),3,,39.04,39.04,0,0,0,39.04,3.24898,126.84,MXN,
Canadá (CAD),2,,47.37,47.37,0,0,0,47.37,13.02238,616.87,MXN,
Suiza (CHF),5,,19.35,19.35,0,0,0,19.35,22.59173,437.15,MXN,
Chile (CLP),1,,23706,23706,0,0,0,23706,0.01964,465.49,MXN,
China continental (CNY),0,,2.78,2.78,0,0,0,2.78,2.55396,7.1,MXN,
Colombia (COP),0,,67172.36,67172.36,0,0,0,67172.36,0.00464,311.53,MXN,
República Checa (CZK),0,,28.15,28.15,0,0,0,28.15,0.86146,24.25,MXN,
Dinamarca (DKK),0,,10.69,10.69,0,0,0,10.69,2.81572,30.1,MXN,
Egipto (EGP),0,,6.12,6.12,0,0,0,6.12,0.38235,2.34,MXN,
Eurozona (EUR),16,,129.18,129.18,0,0,0,129.18,21.03731,2717.6,MXN,
Reino Unido (GBP),7,,21.27,21.27,0,0,0,21.27,24.03103,511.14,MXN,
Hong Kong (HKD),0,,2.82,2.82,0,0,0,2.82,2.30851,6.51,MXN,
Hungría (HUF),0,,214,214,0,0,0,214,0.05458,11.68,MXN,
Indonesia (IDR),1,,6854,6854,0,0,0,6854,0.00108,7.37,MXN,
Israel (ILS),0,,7.61,7.61,0,0,0,7.61,5.59527,42.58,MXN,
India (INR),0,,55.57,55.57,0,0,0,55.57,0.20047,11.14,MXN,
Japón (JPY),2,,3286,3286,0,0,-328,2958,0.11416,337.69,MXN,
República de Corea (KRW),0,,1744,1744,0,0,0,1744,0.01216,21.2,MXN,
Kazajistán (KZT),0,,73.93,73.93,0,0,0,73.93,0.03409,2.52,MXN,
México (MXN),206,,25385.32,25385.32,0,0,0,25385.32,1,25385.32,MXN,
Malasia (MYR),0,,0.45,0.45,0,0,0,0.45,4.4,1.98,MXN,
Noruega (NOK),0,,8.89,8.89,0,0,0,8.89,1.7649,15.69,MXN,
Nueva Zelanda (NZD),0,,0.76,0.76,0,0,-0.07,0.69,10.31884,7.12,MXN,
Perú (PEN),3,,48.89,48.89,0,0,0,48.89,5.33565,260.86,MXN,
Polonia (PLN),0,,4.66,4.66,0,0,0,4.66,5.01288,23.36,MXN,
Catar (QAR),0,,0.54,0.54,0,0,0,0.54,4.98148,2.69,MXN,
Rumanía (RON),0,,6.08,6.08,0,0,0,6.08,4.13651,25.15,MXN,
Rusia (RUB),0,,116.33,116.33,0,0,0,116.33,0.22548,26.23,MXN,
Arabia Saudí (SAR),0,,1.32,1.32,0,0,0,1.32,4.78788,6.32,MXN,
Suecia (SEK),2,,36.61,36.61,0,0,0,36.61,1.92843,70.6,MXN,
Singapur (SGD),0,,0.22,0.22,0,0,0,0.22,13.90909,3.06,MXN,
Türkiye (TRY),1,,21.14,21.14,0,0,0,21.14,0.41958,8.87,MXN,
Taiwán (TWD),0,,45,45,0,0,0,45,0.57089,25.69,MXN,
América (USD),135,,1352.54,1352.54,0,0,-135.26,1217.28,17.9657,21869.29,MXN,
Resto del mundo (USD),0,,1.08,1.08,0,0,0,1.08,17.96296,19.4,MXN,
América Latina y el Caribe (USD),1,,54.63,54.63,0,0,0,54.63,17.96577,981.47,MXN,
Sudáfrica (ZAR),0,,9.09,9.09,0,0,0,9.09,1.07041,9.73,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"54,650.83 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
