"iTunes Connect - Pagos e informes financieros	(Agosto, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,1.99,1.99,0,0,0,1.99,4.64824,9.25,MXN,
Australia (AUD),2,,23.08,23.08,0,0,-2.2,20.88,11.00144,229.71,MXN,
Brasil (BRL),0,,36.46,36.46,0,0,0,36.46,3.46818,126.45,MXN,
Canadá (CAD),5,,51.74,51.74,0,0,0,51.74,12.69463,656.82,MXN,
Suiza (CHF),1,,8.48,8.48,0,0,0,8.48,18.85259,159.87,MXN,
Chile (CLP),3,,33276,33276,0,0,0,33276,0.01931,642.69,MXN,
China continental (CNY),0,,3.86,3.86,0,0,0,3.86,2.33938,9.03,MXN,
Colombia (COP),2,,63773.39,63773.39,0,0,0,63773.39,0.00438,279.05,MXN,
República Checa (CZK),0,,22.96,22.96,0,0,0,22.96,0.7439,17.08,MXN,
Dinamarca (DKK),0,,13.21,13.21,0,0,0,13.21,2.43755,32.2,MXN,
Egipto (EGP),0,,3.97,3.97,0,0,0,3.97,0.54912,2.18,MXN,
Eurozona (EUR),13,,109.41,109.41,0,0,0,109.41,18.17302,1988.31,MXN,
Reino Unido (GBP),4,,24.42,24.42,0,0,0,24.42,20.91319,510.7,MXN,
Hong Kong (HKD),0,,1.71,1.71,0,0,0,1.71,2.18713,3.74,MXN,
Hungría (HUF),0,,84,84,0,0,0,84,0.04762,4,MXN,
Indonesia (IDR),0,,2716,2716,0,0,0,2716,0.00114,3.09,MXN,
Israel (ILS),1,,9.06,9.06,0,0,0,9.06,4.47351,40.53,MXN,
Japón (JPY),6,,3252,3252,0,0,-325,2927,0.11529,337.45,MXN,
Corea del Sur (KRW),0,,1106,1106,0,0,0,1106,0.01281,14.17,MXN,
Kazajistán (KZT),0,,53.51,53.51,0,0,0,53.51,0.03738,2,MXN,
México (MXN),214,,24224.12,24224.12,0,0,0,24224.12,1,24224.12,MXN,
Malasia (MYR),0,,3.22,3.22,0,0,0,3.22,3.6118,11.63,MXN,
Noruega (NOK),1,,16.65,16.65,0,0,0,16.65,1.58919,26.46,MXN,
Nueva Zelanda (NZD),0,,2.76,2.76,0,0,-0.2,2.56,10.18359,26.07,MXN,
Perú (PEN),2,,42.63,42.63,0,0,0,42.63,4.57776,195.15,MXN,
Filipinas (PHP),0,,10.55,10.55,0,0,0,10.55,0.29289,3.09,MXN,
Polonia (PLN),0,,6.05,6.05,0,0,0,6.05,3.93554,23.81,MXN,
Rumanía (RON),0,,2.93,2.93,0,0,0,2.93,3.6587,10.72,MXN,
Rusia (RUB),1,,77.8,77.8,0,0,0,77.8,0.17725,13.79,MXN,
Arabia Saudí (SAR),0,,2.27,2.27,0,0,0,2.27,4.55507,10.34,MXN,
Suecia (SEK),0,,7.36,7.36,0,0,0,7.36,1.52717,11.24,MXN,
Tailandia (THB),0,,9.29,9.29,0,0,0,9.29,0.46932,4.36,MXN,
Turquía (TRY),0,,9.68,9.68,0,0,0,9.68,0.62913,6.09,MXN,
Taiwán (TWD),0,,22,22,0,0,0,22,0.52864,11.63,MXN,
América (USD),115,,1464.91,1464.91,0,0,-146.5,1318.41,17.0884,22529.52,MXN,
Resto del mundo (USD),0,,0.49,0.49,0,0,0,0.49,17.08163,8.37,MXN,
América Latina y el Caribe (USD),3,,53.21,53.21,0,0,0,53.21,17.08833,909.27,MXN,
Sudáfrica (ZAR),0,,9.77,9.77,0,0,0,9.77,0.90583,8.85,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"53,102.83 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
