Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
06/04/2023	07/01/2023		MXF601000652	MXF601000652	1	0.99	0.99	AUD	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		AU			1.69	AUD
06/04/2023	07/01/2023		MXF601200794	MXF601200794	1	0.99	0.99	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
06/04/2023	07/01/2023	7509841318075		7509841318075	1	10.99	10.99	AUD	S	1482678894	Regina Orozco, Omara Portuondo	Pedazos del Corazón (Homenaje a Álvaro Carrillo y Agustín Lara)	Fonarte Latino, S.A. de C.V.		I		AU			18.99	AUD
06/04/2023	07/01/2023		MXF602000156	MXF602000156	1	1.29	1.29	AUD	S	1502764064	Fadi El Saadi	Ama Barawah	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
06/04/2023	07/01/2023		MXF602300392	MXF602300392	16	1.77	28.32	BRL	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
06/04/2023	07/01/2023		MXF600602423	MXF600602423	1	1.16	1.16	BRL	S	188300983	Nacha Guevara	Te Quiero	Fonarte Latino, S.A. de C.V.		H		BR			1.90	BRL
06/04/2023	07/01/2023		MXF602300185	MXF602300185	1	1.77	1.77	BRL	S	1673122765	Betty	El Amor Invencible	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
06/04/2023	07/01/2023		MXF600600239	MXF600600239	1	0.91	0.91	CAD	S	180111849	Los Folkloristas	Son de Mayari	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
06/04/2023	07/01/2023		MXF600600003	MXF600600003	1	0.70	0.70	CAD	S	178765029	Amparo Ochoa	A Que Le Tiras Cuando Sueñas Mexicano	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
06/04/2023	07/01/2023		MXF600600022	MXF600600022	1	0.91	0.91	CAD	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
06/04/2023	07/01/2023	7509841830270		7509841830270	1	9.60	9.60	CHF	S	154051505	Violeta Parra	Cantos de Chile	Fonarte Latino, S.A. de C.V.		I		CH			17.00	CHF
06/04/2023	07/01/2023		MXF602300392	MXF602300392	2	421.00	842.00	CLP	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
06/04/2023	07/01/2023		MXF601900392	MXF601900392	-1	1794.12	-1794.12	COP	R	1482678976	Regina Orozco, Omara Portuondo	La Cumbancha / Clave Azul	Fonarte Latino, S.A. de C.V.		H		CO		CMA-C	-3500.00	COP
06/04/2023	07/01/2023	7509841318075		7509841318075	1	14301.68	14301.68	COP	S	1482678894	Regina Orozco, Omara Portuondo	Pedazos del Corazón (Homenaje a Álvaro Carrillo y Agustín Lara)	Fonarte Latino, S.A. de C.V.		I		CO		CMA	27900.00	COP
06/04/2023	07/01/2023		MXF602300392	MXF602300392	8	1794.12	14352.96	COP	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
06/04/2023	07/01/2023		MXF601900391	MXF601900391	-1	1794.12	-1794.12	COP	R	1482678975	Regina Orozco, Omara Portuondo	Veracruz	Fonarte Latino, S.A. de C.V.		H		CO		CMA-C	-3500.00	COP
06/04/2023	07/01/2023		MXF600900753	MXF600900753	1	0.71	0.71	EUR	S	335004571	Chéjere	Luz de Mi Vida	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
06/04/2023	07/01/2023		MXF602300383	MXF602300383	1	0.90	0.90	EUR	S	1691404662	Kabah	La Casa	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
06/04/2023	07/01/2023	7509841281874		7509841281874	1	3.80	3.80	EUR	S	1683409284	Fadi El Saadi	El Oyoun (Bellydance, Vol. 8) - EP	Fonarte Latino, S.A. de C.V.		I		FR			6.99	EUR
06/04/2023	07/01/2023		MXF602200058	MXF602200058	1	0.90	0.90	EUR	S	1613185490	Daniel Boaventura, Big Band Jazz de México	Un Poco Más (feat. Gabriel Salas)	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
06/04/2023	07/01/2023		MXF602000160	MXF602000160	1	0.90	0.90	EUR	S	1502764068	Fadi El Saadi	Tolali El Beke	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
06/04/2023	07/01/2023	7509841214704		7509841214704	1	4.90	4.90	EUR	S	436902411	Lazcano Malo	Parte Del Show	Fonarte Latino SA de CV		I		ES			8.99	EUR
06/04/2023	07/01/2023		MXF600600975	MXF600600975	1	0.71	0.71	EUR	S	188298931	René Villanueva	Carnaval de Andahuaylas (Wayllacha)	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
06/04/2023	07/01/2023		MXF602300392	MXF602300392	1	0.90	0.90	EUR	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
06/04/2023	07/01/2023		MXF600600974	MXF600600974	1	0.71	0.71	EUR	S	188298927	René Villanueva	Huayno Ayacuchano	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
06/04/2023	07/01/2023		MXF600800186	MXF600800186	1	0.90	0.90	EUR	S	292776069	Los Folkloristas	El Cóndor Pasa (Danza)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
06/04/2023	07/01/2023		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
06/04/2023	07/01/2023		MXF600600259	MXF600600259	1	0.71	0.71	EUR	S	148130375	Amaury Pérez	Acuérdate de Abril	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
06/04/2023	07/01/2023		MXF600600706	MXF600600706	1	0.71	0.71	EUR	S	152369453	Ilonka	Por Si No Te Vuelvo a Ver	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
06/04/2023	07/01/2023		MXF600600298	MXF600600298	1	0.71	0.71	EUR	S	167014217	Amparo Ochoa	La Calaca	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
