"iTunes Connect - Pagos e informes financieros	(Junio, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,1.79,1.79,0,0,0,1.79,4.60335,8.24,MXN,
Australia (AUD),4,,26.44,26.44,0,0,-2.6,23.84,11.40688,271.94,MXN,
Brasil (BRL),18,,66.3,66.3,0,0,0,66.3,3.53273,234.22,MXN,
Canadá (CAD),3,,48.5,48.5,0,0,0,48.5,12.83216,622.36,MXN,
Suiza (CHF),1,,19.09,19.09,0,0,0,19.09,19.50864,372.42,MXN,
Chile (CLP),2,,22594,22594,0,0,0,22594,0.02088,471.82,MXN,
China continental (CNY),0,,5.63,5.63,0,0,0,5.63,2.35346,13.25,MXN,
Colombia (COP),7,,77640.04,77640.04,0,0,0,77640.04,0.00429,332.88,MXN,
República Checa (CZK),0,,17.29,17.29,0,0,0,17.29,0.78311,13.54,MXN,
Dinamarca (DKK),0,,7.43,7.43,0,0,0,7.43,2.52355,18.75,MXN,
Egipto (EGP),0,,3.75,3.75,0,0,0,3.75,0.552,2.07,MXN,
Eurozona (EUR),23,,132.11,132.11,0,0,0,132.11,18.80312,2484.08,MXN,
Reino Unido (GBP),2,,15.36,15.36,0,0,0,15.36,21.7487,334.06,MXN,
Hong Kong (HKD),0,,2.01,2.01,0,0,0,2.01,2.16418,4.35,MXN,
Hungría (HUF),0,,133,133,0,0,0,133,0.04947,6.58,MXN,
Indonesia (IDR),0,,3639,3639,0,0,0,3639,0.00114,4.14,MXN,
Israel (ILS),6,,18.72,18.72,0,0,0,18.72,4.65064,87.06,MXN,
India (INR),0,,17.45,17.45,0,0,0,17.45,0.20458,3.57,MXN,
Japón (JPY),1,,2915,2915,0,0,-292,2623,0.11938,313.13,MXN,
Corea del Sur (KRW),0,,1457,1457,0,0,0,1457,0.01316,19.18,MXN,
México (MXN),223,,21580.97,21580.97,0,0,0,21580.97,1,21580.97,MXN,
Noruega (NOK),0,,8.71,8.71,0,0,0,8.71,1.68197,14.65,MXN,
Nueva Zelanda (NZD),0,,2.16,2.16,0,0,-0.19,1.97,10.47208,20.63,MXN,
Perú (PEN),0,,28.87,28.87,0,0,0,28.87,4.7364,136.74,MXN,
Polonia (PLN),2,,13.7,13.7,0,0,0,13.7,4.22701,57.91,MXN,
Rumanía (RON),0,,3.69,3.69,0,0,0,3.69,3.82114,14.1,MXN,
Rusia (RUB),0,,79.78,79.78,0,0,0,79.78,0.18576,14.82,MXN,
Arabia Saudí (SAR),0,,2.56,2.56,0,0,0,2.56,4.50781,11.54,MXN,
Suecia (SEK),3,,79.56,79.56,0,0,0,79.56,1.62934,129.63,MXN,
Singapur (SGD),0,,0.32,0.32,0,0,0,0.32,12.71875,4.07,MXN,
Tailandia (THB),0,,5.41,5.41,0,0,0,5.41,0.48614,2.63,MXN,
Turquía (TRY),0,,6.3,6.3,0,0,0,6.3,0.62857,3.96,MXN,
Taiwán (TWD),2,,75,75,0,0,0,75,0.54147,40.61,MXN,
América Latina y el Caribe (USD),4,,50.31,50.31,0,0,0,50.31,16.92328,851.41,MXN,
Resto del mundo (USD),0,,0.84,0.84,0,0,0,0.84,16.92857,14.22,MXN,
América (USD),107,,1250.29,1250.29,0,0,-125.03,1125.26,16.9232,19043,MXN,
Sudáfrica (ZAR),0,,6.28,6.28,0,0,0,6.28,0.9379,5.89,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"47,564.42 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
