Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
10/30/2022	11/26/2022		MXF601200794	MXF601200794	2	0.99	1.98	AUD	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
10/30/2022	11/26/2022		MXF601000127	MXF601000127	1	1.29	1.29	AUD	S	364390597	Fadi El Saadi	Saadi Eqaa	Fonarte Latino SA de CV		H		AU			2.19	AUD
10/30/2022	11/26/2022		MXF600603007	MXF600603007	1	1.16	1.16	BRL	S	256548077	Pablo Milanés	Mercedes-Yolanda	Fonarte Latino, S.A. de C.V.		H		BR			1.90	BRL
10/30/2022	11/26/2022	7509841210188		7509841210188	1	7.00	7.00	CAD	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
10/30/2022	11/26/2022		MXF600602977	MXF600602977	1	0.70	0.70	CAD	S	337682140	Santa Sabina	La garra	Fonarte Latino SA de CV		H		CA			0.99	CAD
10/30/2022	11/26/2022		MXF602200307	MXF602200307	1	0.91	0.91	CAD	S	1644936347	Antonio De Carlo	Enciende Tu Sol	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/30/2022	11/26/2022	7509841280815		7509841280815	1	7.00	7.00	CAD	S	1637159881	Yucatán A Go Go	Yucatán a Go-Go Presenta: Ramón a Go-Go y los Salvajes Hawaianos	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
10/30/2022	11/26/2022		MXF601600324	MXF601600324	1	0.91	0.91	CAD	S	1129420132	Burbujas	Mugre, Basura y Smog	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/30/2022	11/26/2022		MXF601200484	MXF601200484	1	0.70	0.70	CAD	S	530111606	Jaime López	Chilanga Banda	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
10/30/2022	11/26/2022		MXF601200483	MXF601200483	1	0.70	0.70	CAD	S	530111601	Jaime López	1a Calle de la Soledad	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
10/30/2022	11/26/2022		MXF600900860	MXF600900860	1	0.91	0.91	CAD	S	338347533	Los Folkloristas	Rosa de Castilla	Fonarte Latino SA de CV		H		CA			1.29	CAD
10/30/2022	11/26/2022		MXF600602978	MXF600602978	1	0.70	0.70	CAD	S	337682142	Santa Sabina	Babel	Fonarte Latino SA de CV		H		CA			0.99	CAD
10/30/2022	11/26/2022		MXF600600981	MXF600600981	1	0.70	0.70	CAD	S	188299279	René Villanueva	Arriba los Pañuelos (Marinera Ayacuchana)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
10/30/2022	11/26/2022		MXF600603398	MXF600603398	1	1486.55	1486.55	COP	S	208082178	José Manuel Aguilera, Jaime López	Chilanga Banda	Fonarte Latino, S.A. de C.V.		H		CO			2900.00	COP
10/30/2022	11/26/2022		MXF601201211	MXF601201211	1	13.00	13.00	CZK	S	587928271	Jorge Gallegos	Se Me Desgarra El Alma	Fonarte Latino, S.A. de C.V.		H		CZ			19.00	CZK
10/30/2022	11/26/2022		MXF601301075	MXF601301075	1	13.00	13.00	CZK	S	724849783	Jorge Gallegos	Se Me Desgarra El Alma (Pop Version)	Fonarte Latino, S.A. de C.V.		H		CZ			19.00	CZK
10/30/2022	11/26/2022	7509841210157		7509841210157	2	4.90	9.80	EUR	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
10/30/2022	11/26/2022		MXF602200183	MXF602200183	1	0.90	0.90	EUR	S	1640538352	Son de Aquí	Todo Cambia	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
10/30/2022	11/26/2022		MXF600600022	MXF600600022	8	0.90	7.20	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
10/30/2022	11/26/2022		MXF600900156	MXF600900156	1	0.90	0.90	EUR	S	319834685	Inspector	Es Por Ti	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
10/30/2022	11/26/2022		MXF600600007	MXF600600007	1	0.71	0.71	EUR	S	178765184	Amparo Ochoa	Jugar a la Vida	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
10/30/2022	11/26/2022	7509841212588		7509841212588	1	4.90	4.90	EUR	S	153330174	Various Artists	Rapza 4 - The Best of Mexican Rap	Fonarte Latino, S.A. de C.V.		I		FR			8.99	EUR
10/30/2022	11/26/2022		MXF600600035	MXF600600035	1	0.71	0.71	EUR	S	144002386	Pablo Milanés	Es Rubia... El Cabello Suelto	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
10/30/2022	11/26/2022		MXF600600031	MXF600600031	2	0.71	1.42	EUR	S	144001259	Pablo Milanés	Amor de Ciudad Grande	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
10/30/2022	11/26/2022		MXF600600028	MXF600600028	2	0.71	1.42	EUR	S	144001140	Pablo Milanés	Si Ves un Monte de Espumas	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
10/30/2022	11/26/2022		MXF600600025	MXF600600025	1	0.71	0.71	EUR	S	144000915	Pablo Milanés	Mi Verso es Como un Puñal	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
10/30/2022	11/26/2022		MXF600600025	MXF600600025	1	0.71	0.71	EUR	S	144000915	Pablo Milanés	Mi Verso es Como un Puñal	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
10/30/2022	11/26/2022	7509841210188		7509841210188	1	4.90	4.90	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
10/30/2022	11/26/2022	7509841210188		7509841210188	2	4.90	9.80	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		FR			8.99	EUR
10/30/2022	11/26/2022		MXF601200011	MXF601200011	1	0.71	0.71	EUR	S	496302566	Monocordio	Siempre Te Busqué	Fonarte Latino SA de CV		H		DE			0.99	EUR
10/30/2022	11/26/2022		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
10/30/2022	11/26/2022		MXF602000101	MXF602000101	1	0.90	0.90	EUR	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		LV			1.29	EUR
10/30/2022	11/26/2022	7509841278669		7509841278669	1	4.90	4.90	EUR	S	1563076404	Ricardo Larrea	Por El Planeta - Namibia Desierto Infinito (Music from the Original Tv Series)	Fonarte Latino, S.A. de C.V.		I		BE			8.99	EUR
10/30/2022	11/26/2022		MXF602100401	MXF602100401	1	0.90	0.90	EUR	S	1563074805	Ricardo Larrea	Masai Mara	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
10/30/2022	11/26/2022		MXF602100392	MXF602100392	1	0.90	0.90	EUR	S	1563074796	Ricardo Larrea	Masai Beautiful Life	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
10/30/2022	11/26/2022	7509841278652		7509841278652	1	4.90	4.90	EUR	S	1563074614	Ricardo Larrea	Por El Planeta - Masai Mara La Gran Migración (Music from the Original Tv Series)	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
10/30/2022	11/26/2022		MXF600600024	MXF600600024	2	0.71	1.42	EUR	S	144000780	Pablo Milanés	Yo Soy un Hombre Sincero	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
10/30/2022	11/26/2022		MXF601400121	MXF601400121	1	0.71	0.71	EUR	S	806338563	Ricardo Larrea	Voices from Patagonia	Fonarte Latino, S.A. de C.V.		H		NL			0.99	EUR
10/30/2022	11/26/2022		MXF602000101	MXF602000101	1	0.90	0.90	EUR	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
10/30/2022	11/26/2022		MXF600800018	MXF600800018	1	0.57	0.57	GBP	S	289352032	Ernesto Cavour	Leño Verde (Carnaval)	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
10/30/2022	11/26/2022		MXF601100949	MXF601100949	1	0.57	0.57	GBP	S	474606822	Son la Fábula	Cumbia del Muerto	Fonarte Latino SA de CV		H		GB			0.79	GBP
10/30/2022	11/26/2022	7509841210157		7509841210157	1	4.30	4.30	GBP	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		GB			7.99	GBP
10/30/2022	11/26/2022		MXF600800013	MXF600800013	1	0.57	0.57	GBP	S	289351768	Ernesto Cavour	Ofrenda al Culto (Danza)	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
10/30/2022	11/26/2022		MXF600603063	MXF600603063	1	1.74	1.74	ILS	S	1165060392	Guillermo Briseño	La Paciencia	Fonarte Latino, S.A. de C.V.		H		IL			2.90	ILS
10/30/2022	11/26/2022	7509841440066		7509841440066	1	857.00	857.00	JPY	S	146655943	La Barranca	El Fuego de la Noche	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
10/30/2022	11/26/2022		MXF601200792	MXF601200792	2	118.00	236.00	JPY	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
10/30/2022	11/26/2022		MXF601400890	MXF601400890	1	148.00	148.00	JPY	S	922599375	Los Folkloristas	El Coco (Son Jarocho) [México]	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
10/30/2022	11/26/2022		MXF600600775	MXF600600775	1	7.32	7.32	MXN	S	152394944	El Negro Ojeda	Escolleras de mi Tierra	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
10/30/2022	11/26/2022		MXF600900722	MXF600900722	2	9.15	18.30	MXN	S	335171824	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
10/30/2022	11/26/2022	7509841214322		7509841214322	2	73.20	146.40	MXN	S	335171795	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
10/30/2022	11/26/2022		MXF600900772	MXF600900772	-1	9.15	-9.15	MXN	R	334542173	Alejandro Santiago	Carta	Fonarte Latino, S.A. de C.V.		H		MX		CMA-C	-15.00	MXN
