Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
09/03/2023	09/30/2023		MXF601800269	MXF601800269	1	1.29	1.29	AUD	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
09/03/2023	09/30/2023		MXF602000159	MXF602000159	1	1.77	1.77	BRL	S	1502764067	Fadi El Saadi	Akdeb Aleik	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
09/03/2023	09/30/2023		MXF600601012	MXF600601012	1	0.70	0.70	CAD	S	152417433	Orquesta Aragón	Y Decidete Mi Amor	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
09/03/2023	09/30/2023		MXF600601790	MXF600601790	1	0.86	0.86	CHF	S	160452235	Next One	Kombinacion de Estiloz (Sonora)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
09/03/2023	09/30/2023		MXF600601791	MXF600601791	1	0.86	0.86	CHF	S	160452240	La Silla	Pobres y Felices (Nuevo Leon)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
09/03/2023	09/30/2023		MXF601600510	MXF601600510	1	1.12	1.12	CHF	S	1170235042	Pablo Prieto, Eddie Gomez, Alberto Medina	Once I Loved	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
09/03/2023	09/30/2023		MXF601900379	MXF601900379	1	1.12	1.12	CHF	S	1482678963	Omara Portuondo	Dos Gardenias	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
09/03/2023	09/30/2023		MXF602300265	MXF602300265	1	1.12	1.12	CHF	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
09/03/2023	09/30/2023		MXF600601736	MXF600601736	1	0.86	0.86	CHF	S	153330265	El Elote	Final Feliz (Sinaloa)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
09/03/2023	09/30/2023		MXF602300260	MXF602300260	1	0.90	0.90	EUR	S	1676670776	Santaella	Feria de Málaga	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
09/03/2023	09/30/2023		MXF600601766	MXF600601766	1	0.90	0.90	EUR	S	153346257	Panteón Rococó	Los Intelectuales	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
09/03/2023	09/30/2023		MXF600600428	MXF600600428	1	0.90	0.90	EUR	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
