Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
12/31/2023	02/03/2024		MXF602300299	MXF602300299	1	1.29	1.29	AUD	S	1683409289	Fadi El Saadi	Alf Leila (الف ليله)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF602300298	MXF602300298	1	1.29	1.29	AUD	S	1683409287	Fadi El Saadi	Rohe Ya Nesma (روحي يا نسمه)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF602300297	MXF602300297	1	1.29	1.29	AUD	S	1683409286	Fadi El Saadi	El Oyoun Soud (العيون السود)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF601200792	MXF601200792	1	0.99	0.99	AUD	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
12/31/2023	02/03/2024		MXF602300300	MXF602300300	1	1.29	1.29	AUD	S	1683409290	Fadi El Saadi	Fakarouni (فكروني)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF602300301	MXF602300301	1	1.29	1.29	AUD	S	1683409291	Fadi El Saadi	Rumba Oriental (رومبا أورينتال)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF602300302	MXF602300302	1	1.29	1.29	AUD	S	1683409292	Fadi El Saadi	Ahlami (أحلامي)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
12/31/2023	02/03/2024		MXF602300265	MXF602300265	1	1.77	1.77	BRL	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
12/31/2023	02/03/2024		MXF602300392	MXF602300392	1	1.77	1.77	BRL	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
12/31/2023	02/03/2024		MXF601000643	MXF601000643	1	0.70	0.70	CAD	S	406773711	Jebediah	Something Tells Me	Fonarte Latino SA de CV		H		CA			0.99	CAD
12/31/2023	02/03/2024		MXF601000664	MXF601000664	1	0.70	0.70	CAD	S	406773778	Sound of the Blue Heart	Wind of Change	Fonarte Latino SA de CV		H		CA			0.99	CAD
12/31/2023	02/03/2024		MXF600602973	MXF600602973	1	0.70	0.70	CAD	S	337682125	Santa Sabina	Mirrota	Fonarte Latino SA de CV		H		CA			0.99	CAD
12/31/2023	02/03/2024		MXF600800184	MXF600800184	1	0.91	0.91	CAD	S	292776067	Los Folkloristas	Adiós Pueblo de Ayacucho (Huayno)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/31/2023	02/03/2024		MXF600800180	MXF600800180	1	0.91	0.91	CAD	S	292776063	Los Folkloristas	Huaynos Para Guitarra (Huayno)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/31/2023	02/03/2024		MXF600800178	MXF600800178	1	0.91	0.91	CAD	S	292776022	Los Folkloristas	El Compadre Nicolás (Festejo)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/31/2023	02/03/2024		MXF600800175	MXF600800175	1	0.91	0.91	CAD	S	292775998	Los Folkloristas	Arroz Con Concolón (Festejo)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/31/2023	02/03/2024		MXF600601304	MXF600601304	1	0.91	0.91	CAD	S	167014576	Los Folkloristas	El Trompo (Son Jarocho)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
12/31/2023	02/03/2024	7509841282680		7509841282680	1	7.00	7.00	CAD	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
12/31/2023	02/03/2024		MXF600800008	MXF600800008	1	0.86	0.86	CHF	S	292528372	Jaime Guardia	Adiós Adiós (Yaravi)	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
12/31/2023	02/03/2024		MXF600800054	MXF600800054	1	299.00	299.00	CLP	S	292661699	Pedro Aznar	Décimas	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
12/31/2023	02/03/2024		MXF600800055	MXF600800055	1	299.00	299.00	CLP	S	292661703	Pedro Aznar	¿No Es una Pena?	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
12/31/2023	02/03/2024		MXF600900156	MXF600900156	1	421.00	421.00	CLP	S	319834685	Inspector	Es Por Ti	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
12/31/2023	02/03/2024		MXF600900157	MXF600900157	1	421.00	421.00	CLP	S	319834694	Inspector	Y Qué	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
12/31/2023	02/03/2024		MXF602400001	MXF602400001	2	421.00	842.00	CLP	S	1724996235	Lucero	Tu Vida Es Mi Vida	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
12/31/2023	02/03/2024		MXF602300305	MXF602300305	1	1794.12	1794.12	COP	S	1684584663	Carlos Macías	Cuando Acaba El Placer	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
12/31/2023	02/03/2024		MXF601200642	MXF601200642	1	1794.12	1794.12	COP	S	538521369	Carlos Macías	Amarte Así	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
12/31/2023	02/03/2024		MXF601200995	MXF601200995	1	1794.12	1794.12	COP	S	566614232	Carlos Macías	Mil Vidas (feat. Fernanda Castillo)	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
12/31/2023	02/03/2024		MXF602400001	MXF602400001	1	1794.12	1794.12	COP	S	1724996235	Lucero	Tu Vida Es Mi Vida	Fonarte Latino, S.A. de C.V.		H		CO	P		3500.00	COP
12/31/2023	02/03/2024		MXF601200995	MXF601200995	1	0.90	0.90	EUR	S	566614232	Carlos Macías	Mil Vidas (feat. Fernanda Castillo)	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
12/31/2023	02/03/2024		MXF601200231	MXF601200231	1	0.71	0.71	EUR	S	509355582	Laureano Brizuela	Sueños Compartidos	Fonarte Latino SA de CV		H		ES			0.99	EUR
12/31/2023	02/03/2024		MXF601401004	MXF601401004	1	0.90	0.90	EUR	S	934536121	Son de Madera	Mujer Antigua, La Bruja	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/31/2023	02/03/2024		MXF601100687	MXF601100687	1	0.71	0.71	EUR	S	454642267	Fadi El Saadi	Tabla Solo Fadi	Fonarte Latino SA de CV		H		DE			0.99	EUR
12/31/2023	02/03/2024		MXF601500066	MXF601500066	1	0.71	0.71	EUR	S	964545875	Angels	Mi Vida Sin Ti	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
12/31/2023	02/03/2024	7509841210546		7509841210546	1	6.50	6.50	EUR	S	145129681	Enrique Jorrin	El Rey del Cha-Cha-Cha	Fonarte Latino, S.A. de C.V.		I		DE			11.99	EUR
12/31/2023	02/03/2024	7509841210188		7509841210188	1	4.90	4.90	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
12/31/2023	02/03/2024		MXF602400001	MXF602400001	1	0.90	0.90	EUR	S	1724996235	Lucero	Tu Vida Es Mi Vida	Fonarte Latino, S.A. de C.V.		H		ES	P		1.29	EUR
12/31/2023	02/03/2024	7509841313148		7509841313148	1	6.50	6.50	EUR	S	208303189	La Bodeguita del Medio	De Cuba Con Sabor, Vol.1	Fonarte Latino, S.A. de C.V.		I		PT			11.99	EUR
12/31/2023	02/03/2024		MXF600600239	MXF600600239	1	0.90	0.90	EUR	S	180111849	Los Folkloristas	Son de Mayari	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
12/31/2023	02/03/2024	7509841282680		7509841282680	1	4.90	4.90	EUR	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
12/31/2023	02/03/2024		MXF602300265	MXF602300265	1	0.90	0.90	EUR	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/31/2023	02/03/2024	7509841214162		7509841214162	1	4.90	4.90	EUR	S	358934196	Daniela Luján	Tanta Mujer	Fonarte Latino SA de CV		I		AT			8.99	EUR
12/31/2023	02/03/2024		MXF600600018	MXF600600018	1	0.90	0.90	EUR	S	143894648	Silvio Rodríguez	Santiago de Chile	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/31/2023	02/03/2024		MXF600600022	MXF600600022	2	0.90	1.80	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/31/2023	02/03/2024		MXF600600019	MXF600600019	1	0.90	0.90	EUR	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
12/31/2023	02/03/2024		MXF600601744	MXF600601744	1	0.57	0.57	GBP	S	153330623	Twisted Minded, Liriko	El Sentido de la Vida (Jalisco)	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/31/2023	02/03/2024		MXF600601736	MXF600601736	1	0.57	0.57	GBP	S	153330265	El Elote	Final Feliz (Sinaloa)	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/31/2023	02/03/2024		MXF600601735	MXF600601735	1	0.57	0.57	GBP	S	153330227	Krash	IR4 (Mexico City)	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/31/2023	02/03/2024		MXF600600273	MXF600600273	1	0.57	0.57	GBP	S	148131249	Victor Jara	Cuando Voy al trabajo	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/31/2023	02/03/2024		MXF600600263	MXF600600263	1	0.57	0.57	GBP	S	148130762	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
12/31/2023	02/03/2024		MXF601500065	MXF601500065	1	148.00	148.00	JPY	S	964544784	Paulina Goto	Llévame Despacio	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF602100647	MXF602100647	2	148.00	296.00	JPY	S	1587754530	Fadi El Saadi	Al Amal الامل (Entrance)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF602100650	MXF602100650	1	148.00	148.00	JPY	S	1587754533	Fadi El Saadi	Maddah El Amar مداح القمر	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF602300302	MXF602300302	1	148.00	148.00	JPY	S	1683409292	Fadi El Saadi	Ahlami (أحلامي)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024	7509841318181		7509841318181	1	780.00	780.00	JPY	S	1550358075	Diana Rash	Bellydance Rhythms, Vol. 1	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
12/31/2023	02/03/2024		MXF602000675	MXF602000675	1	148.00	148.00	JPY	S	1542072810	Fadi El Saadi	Zay El Asal	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF602000161	MXF602000161	1	148.00	148.00	JPY	S	1502764069	Fadi El Saadi	Betwanes Beek	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
12/31/2023	02/03/2024	7509841317047		7509841317047	1	865.00	865.00	JPY	S	1110908986	Steven Brown, Blaine L. Reininger	Monte Albán	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
12/31/2023	02/03/2024		MXF601200801	MXF601200801	1	118.00	118.00	JPY	S	555716428	Fadi El Saadi	Set El Hosn Finale	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
12/31/2023	02/03/2024		MXF601200799	MXF601200799	1	118.00	118.00	JPY	S	555716426	Fadi El Saadi	Qarawan Solo	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
12/31/2023	02/03/2024	7509841315159		7509841315159	1	865.00	865.00	JPY	S	555716418	Fadi El Saadi	Qarawan - Bellydance Vol. 3	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
12/31/2023	02/03/2024		MXF601000121	MXF601000121	1	148.00	148.00	JPY	S	364390213	Fadi El Saadi	El Funjan	Fonarte Latino SA de CV		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF601000127	MXF601000127	1	148.00	148.00	JPY	S	364390597	Fadi El Saadi	Saadi Eqaa	Fonarte Latino SA de CV		H		JP			255.00	JPY
12/31/2023	02/03/2024		MXF601100687	MXF601100687	1	118.00	118.00	JPY	S	454642267	Fadi El Saadi	Tabla Solo Fadi	Fonarte Latino SA de CV		H		JP			204.00	JPY
12/31/2023	02/03/2024		MXF600602010	MXF600602010	1	7.32	7.32	MXN	S	156825435	Los Amantes de Lola	Jamás	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
12/31/2023	02/03/2024		MXF602300560	MXF602300560	1	9.15	9.15	MXN	S	1715055401	Lucero	Si Nos Dejan	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF602300557	MXF602300557	1	9.15	9.15	MXN	S	1715055398	Lucero	El Toro Relajo	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF602300554	MXF602300554	1	9.15	9.15	MXN	S	1715055395	Lucero	La Cigarra	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF602300553	MXF602300553	1	9.15	9.15	MXN	S	1715055394	Lucero	El Gavilancillo	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF602300139	MXF602300139	1	9.15	9.15	MXN	S	1670445561	Luna Park	Las Mil y una Noches	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF601100670	MXF601100670	1	7.32	7.32	MXN	S	454611596	Eblen Macari Ensamble	Folia Itsmeña	Fonarte Latino SA de CV		H		MX			12.00	MXN
12/31/2023	02/03/2024		MXF602300547	MXF602300547	4	9.15	36.60	MXN	S	1715055388	Lucero	Jardinera (Caponera)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
12/31/2023	02/03/2024		MXF600602009	MXF600602009	1	7.32	7.32	MXN	S	156825424	Los Amantes de Lola	la Mitad del Tiempo	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
