"iTunes Connect - Pagos e informes financieros	(Febrero, 2024)",,,,,,,,,,,
,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria
Emiratos Árabes Unidos (AED),0,,2.27,2.27,0,0,0,2.27,4.56388,10.36,MXN
Australia (AUD),2,,17.57,17.57,0,0,-1.6,15.97,10.91609,174.33,MXN
Brasil (BRL),0,,35.87,35.87,0,0,0,35.87,3.36353,120.65,MXN
Canadá (CAD),16,,70.62,70.62,0,0,0,70.62,12.33815,871.32,MXN
Suiza (CHF),0,,9.1,9.1,0,0,0,9.1,18.60659,169.32,MXN
Chile (CLP),2,,23446,23446,0,0,0,23446,0.01725,404.33,MXN
China continental (CNY),0,,4.85,4.85,0,0,0,4.85,2.30515,11.18,MXN
Colombia (COP),1,,61216.3,61216.3,0,0,0,61216.3,0.00431,263.74,MXN
República Checa (CZK),0,,17.21,17.21,0,0,0,17.21,0.71644,12.33,MXN
Dinamarca (DKK),0,,13.49,13.49,0,0,0,13.49,2.43069,32.79,MXN
Egipto (EGP),0,,3.68,3.68,0,0,0,3.68,0.34511,1.27,MXN
Eurozona (EUR),17,,128.12,128.12,0,0,0,128.12,18.12879,2322.66,MXN
Reino Unido (GBP),1,,15.43,15.43,0,0,0,15.43,21.07583,325.2,MXN
Hong Kong (HKD),0,,3.82,3.82,0,0,0,3.82,2.14136,8.18,MXN
Hungría (HUF),0,,94,94,0,0,0,94,0.04628,4.35,MXN
Indonesia (IDR),1,,7539,7539,0,0,0,7539,0.00106,7.98,MXN
Israel (ILS),1,,10.37,10.37,0,0,0,10.37,4.63259,48.04,MXN
India (INR),0,,31.12,31.12,0,0,0,31.12,0.19794,6.16,MXN
Japón (JPY),20,,11195,11195,0,0,-1120,10075,0.11054,1113.69,MXN
Corea del Sur (KRW),0,,2626,2626,0,0,0,2626,0.01249,32.81,MXN
Kazajistán (KZT),0,,59.23,59.23,0,0,0,59.23,0.03681,2.18,MXN
México (MXN),124,,20194.98,20194.98,0,0,0,20194.98,1,20194.98,MXN
Malasia (MYR),0,,1.45,1.45,0,0,0,1.45,3.50345,5.08,MXN
Noruega (NOK),0,,18.58,18.58,0,0,0,18.58,1.55813,28.95,MXN
Nueva Zelanda (NZD),0,,3.38,3.38,0,0,-0.3,3.08,10.05844,30.98,MXN
Perú (PEN),2,,54.02,54.02,0,0,0,54.02,4.53184,244.81,MXN
Polonia (PLN),1,,8.55,8.55,0,0,0,8.55,4.21988,36.08,MXN
Catar (QAR),0,,1.1,1.1,0,0,0,1.1,4.61818,5.08,MXN
Rumanía (RON),0,,2.34,2.34,0,0,0,2.34,3.64103,8.52,MXN
Rusia (RUB),1,,112.92,112.92,0,0,0,112.92,0.17853,20.16,MXN
Arabia Saudí (SAR),0,,1.46,1.46,0,0,0,1.46,4.46575,6.52,MXN
Suecia (SEK),0,,11.17,11.17,0,0,0,11.17,1.58729,17.73,MXN
Singapur (SGD),1,,7.74,7.74,0,0,0,7.74,12.42248,96.15,MXN
Turquía (TRY),0,,14.38,14.38,0,0,0,14.38,0.52364,7.53,MXN
Taiwán (TWD),0,,19,19,0,0,0,19,0.52474,9.97,MXN
Resto del mundo (USD),0,,0.61,0.61,0,0,0,0.61,16.7541,10.22,MXN
América (USD),110,,1449.37,1449.37,0,0,-144.93,1304.44,16.7563,21857.59,MXN
América Latina y el Caribe (USD),1,,55.52,55.52,0,0,0,55.52,16.7563,930.31,MXN
Sudáfrica (ZAR),0,,10.7,10.7,0,0,0,10.7,0.88224,9.44,MXN
,,,,,,,,,,,
,,,,,,,,,,"49,462.97 MXN",
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
