Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
03/03/2024	03/30/2024		MXF602300539	MXF602300539	1	1.29	1.29	AUD	S	1712350533	Fadi El Saadi	Daloona (دلعونا)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300540	MXF602300540	1	1.29	1.29	AUD	S	1712350534	Fadi El Saadi	Ya Saif Mix (يا سيف)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300541	MXF602300541	1	1.29	1.29	AUD	S	1712350535	Fadi El Saadi	Jobe Iraqui Mix (جوبي عراقي مكس)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300542	MXF602300542	1	1.29	1.29	AUD	S	1712350536	Fadi El Saadi	Dag Al Mani Mix (دق الماني مكس)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300543	MXF602300543	1	1.29	1.29	AUD	S	1712350537	Fadi El Saadi	Debek Debaeky (دبك دبيكي)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300544	MXF602300544	1	1.29	1.29	AUD	S	1712350538	Fadi El Saadi	Dalali Mix (دلالي دلالي مكس)	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
03/03/2024	03/30/2024		MXF602300532	MXF602300532	1	1.77	1.77	BRL	S	1711837657	Sylvia Pantoja, Santaella	Déjame Vivir	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
03/03/2024	03/30/2024		MXF602300594	MXF602300594	1	0.91	0.91	CAD	S	1718804461	Santaella, Manuel Heres	Del Olvido al No Me Acuerdo	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/03/2024	03/30/2024		MXF600602796	MXF600602796	1	0.70	0.70	CAD	S	186139665	Amparo Ochoa	La Maldición de la Malinche	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
03/03/2024	03/30/2024		MXF602300595	MXF602300595	1	0.91	0.91	CAD	S	1721231643	Santaella, Manuel Heres	Qué Sabe Nadie	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/03/2024	03/30/2024		MXF600600247	MXF600600247	1	0.91	0.91	CAD	S	180112486	Los Folkloristas	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
03/03/2024	03/30/2024		MXF600900168	MXF600900168	1	1.12	1.12	CHF	S	319834772	Inspector	Our House	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
03/03/2024	03/30/2024		MXF601201017	MXF601201017	1	299.00	299.00	CLP	S	567814387	Café Tacvba	Charrock And Roll	Fonarte Latino, S.A. de C.V.		H		CL			490.00	CLP
03/03/2024	03/30/2024	7509841212229		7509841212229	1	2989.00	2989.00	CLP	S	152481890	Alejandro García "Virulo"	Génesis Según Virulo	Fonarte Latino, S.A. de C.V.		I		CL			4900.00	CLP
03/03/2024	03/30/2024		MXF602300351	MXF602300351	1	0.90	0.90	EUR	S	1688791384	Son de Madera	El Buscapiés 1 (En Vivo)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/03/2024	03/30/2024		MXF601900347	MXF601900347	1	0.90	0.90	EUR	S	1473036222	Pablo Campos, Daniela Ibañez	Inseparables	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
03/03/2024	03/30/2024		MXF602300036	MXF602300036	1	0.90	0.90	EUR	S	1667661968	Santaella	Si Quieres (feat. Falete)	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/03/2024	03/30/2024		MXF602300037	MXF602300037	1	0.90	0.90	EUR	S	1667661969	Santaella	Así Fué (feat. Falete)	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/03/2024	03/30/2024		MXF600800004	MXF600800004	1	0.71	0.71	EUR	S	292528364	Jaime Guardia	Munaspaqa Suyaykuway (Huayno)	Fonarte Latino, S.A. de C.V.		H		NL			0.99	EUR
03/03/2024	03/30/2024		MXF602300355	MXF602300355	1	0.90	0.90	EUR	S	1688791388	Son de Madera	El Buscapiés 2 (En Vivo)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/03/2024	03/30/2024		MXF602300357	MXF602300357	1	0.90	0.90	EUR	S	1688791390	Son de Madera	El Balajú (En Vivo)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/03/2024	03/30/2024		MXF602300474	MXF602300474	1	0.90	0.90	EUR	S	1703291915	Santaella, Falete	Que Se Me Acabe La Vida	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/03/2024	03/30/2024		MXF601401001	MXF601401001	1	0.90	0.90	EUR	S	934536118	Son de Madera	El Balajú	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
03/03/2024	03/30/2024		MXF601400270	MXF601400270	1	0.90	0.90	EUR	S	859453872	Chavela Vargas	Cruz de Olvido	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/03/2024	03/30/2024		MXF601301344	MXF601301344	1	0.71	0.71	EUR	S	786624060	Marathon	Running Trough Your Soul	Fonarte Latino, S.A. de C.V.		H		IT			0.99	EUR
03/03/2024	03/30/2024		MXF601900170	MXF601900170	1	0.90	0.90	EUR	S	1462665835	Elenco Original de Zaratustra, Alejandro Jodorowsky	Tibetana	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
03/03/2024	03/30/2024		MXF601100629	MXF601100629	1	0.71	0.71	EUR	S	448842207	Los Músicos de José	Amaneceres (Siddha-Funk Remix) (feat. Surya Anita)	Fonarte Latino SA de CV		H		FR			0.99	EUR
03/03/2024	03/30/2024		MXF601500774	MXF601500774	1	0.71	0.71	EUR	S	1050266731	Emmanuel Laboriel, Dharma Jazz	Take 6/8	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
03/03/2024	03/30/2024		MXF602300393	MXF602300393	1	0.90	0.90	EUR	S	1694593494	Santaella, Falete	La Farsante	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
03/03/2024	03/30/2024	7509841315203		7509841315203	1	6.50	6.50	EUR	S	527837170	Real de Catorce	Recopilación (Canciones Emblemáticas Seleccionadas por el Autor José Cruz)	Fonarte Latino, S.A. de C.V.		I		DE			11.99	EUR
03/03/2024	03/30/2024		MXF601900178	MXF601900178	1	0.90	0.90	EUR	S	1462666023	Elenco Original de Zaratustra, Alejandro Jodorowsky	Y Zaratustra Volvió...	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
03/03/2024	03/30/2024		MXF600600024	MXF600600024	1	0.71	0.71	EUR	S	144000780	Pablo Milanés	Yo Soy un Hombre Sincero	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR
03/03/2024	03/30/2024	7509841314923		7509841314923	1	4.90	4.90	EUR	S	454642259	Fadi El Saadi	Dalaa el Nawaem - Bellydance, Vol. 1	Fonarte Latino SA de CV		I		DE			8.99	EUR
03/03/2024	03/30/2024		MXF601401003	MXF601401003	1	148.00	148.00	JPY	S	934536120	Son de Madera	El Gavilancito	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF601200792	MXF601200792	1	118.00	118.00	JPY	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
03/03/2024	03/30/2024		MXF601401001	MXF601401001	1	148.00	148.00	JPY	S	934536118	Son de Madera	El Balajú	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF602100650	MXF602100650	1	148.00	148.00	JPY	S	1587754533	Fadi El Saadi	Maddah El Amar مداح القمر	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF602200257	MXF602200257	1	148.00	148.00	JPY	S	1637154284	Fadi El Saadi	Safiya	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024	7509841281874		7509841281874	1	692.00	692.00	JPY	S	1683409284	Fadi El Saadi	El Oyoun (Bellydance, Vol. 8) - EP	Fonarte Latino, S.A. de C.V.		I		JP			1222.00	JPY
03/03/2024	03/30/2024		MXF602400001	MXF602400001	1	148.00	148.00	JPY	S	1724996235	Lucero	Tu Vida Es Mi Vida	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF601401006	MXF601401006	1	148.00	148.00	JPY	S	934536123	Son de Madera	El Coco	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF602100647	MXF602100647	1	148.00	148.00	JPY	S	1587754530	Fadi El Saadi	Al Amal الامل (Entrance)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
03/03/2024	03/30/2024		MXF602000095	MXF602000095	1	9.15	9.15	MXN	S	1501409523	Carlos Macías	Mi Eterno Amor Secreto	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
03/03/2024	03/30/2024		MXF600602792	MXF600602792	2	7.32	14.64	MXN	S	186139487	Amparo Ochoa	Jacinto Cenobio	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
03/03/2024	03/30/2024		MXF600602796	MXF600602796	1	7.32	7.32	MXN	S	186139665	Amparo Ochoa	La Maldición de la Malinche	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
03/03/2024	03/30/2024		MXF600600166	MXF600600166	1	9.15	9.15	MXN	S	145979996	Mexicanto	Me Basta	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
