Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
05/07/2023	06/03/2023		MXF602300185	MXF602300185	1	1.33	1.33	BGN	S	1673122765	Betty	El Amor Invencible	Fonarte Latino, S.A. de C.V.		H		BG			1.99	BGN
05/07/2023	06/03/2023		MXF600602532	MXF600602532	1	1.16	1.16	BRL	S	337369487	Guadalupe Pineda, Carlos Díaz Caito	Samba en Preludio	Fonarte Latino SA de CV		H		BR			1.90	BRL
05/07/2023	06/03/2023		MXF600900860	MXF600900860	1	0.91	0.91	CAD	S	338347533	Los Folkloristas	Rosa de Castilla	Fonarte Latino SA de CV		H		CA			1.29	CAD
05/07/2023	06/03/2023		MXF601000662	MXF601000662	1	0.70	0.70	CAD	S	406773772	Shakra	Ashes to Ashes	Fonarte Latino SA de CV		H		CA			0.99	CAD
05/07/2023	06/03/2023		MXF600603378	MXF600603378	1	0.70	0.70	CAD	S	208304295	La Bodeguita del Medio	Guantanamera	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
05/07/2023	06/03/2023		MXF600603375	MXF600603375	1	0.70	0.70	CAD	S	208303942	La Bodeguita del Medio	El Manicero	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
05/07/2023	06/03/2023		MXF600602587	MXF600602587	1	0.70	0.70	CAD	S	168290096	Chalice	Pocomania Day	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
05/07/2023	06/03/2023		MXF600600925	MXF600600925	1	421.00	421.00	CLP	S	187094345	Alejandro Santiago	Por Si No Te Vuelvo a Ver	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
05/07/2023	06/03/2023		MXF600600017	MXF600600017	1	421.00	421.00	CLP	S	143894618	Silvio Rodríguez	El Rey de las Flores	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
05/07/2023	06/03/2023		MXF600600019	MXF600600019	1	421.00	421.00	CLP	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
05/07/2023	06/03/2023		MXF602300185	MXF602300185	1	421.00	421.00	CLP	S	1673122765	Betty	El Amor Invencible	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
05/07/2023	06/03/2023		MXF600600019	MXF600600019	1	1794.12	1794.12	COP	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CO			3500.00	COP
05/07/2023	06/03/2023		MXF600600019	MXF600600019	1	0.90	0.90	EUR	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
05/07/2023	06/03/2023		MXF600600019	MXF600600019	1	0.90	0.90	EUR	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
05/07/2023	06/03/2023		MXF600601898	MXF600601898	1	0.71	0.71	EUR	S	153616525	Ñico Saquito, Alejandro García "Virulo"	Maria Cristina	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
05/07/2023	06/03/2023		MXF602300265	MXF602300265	1	0.90	0.90	EUR	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		AT			1.29	EUR
05/07/2023	06/03/2023		MXF600600973	MXF600600973	1	0.71	0.71	EUR	S	188298919	René Villanueva	Adiós Pueblo de Ayacucho (Huayno)	Fonarte Latino, S.A. de C.V.		H		BE			0.99	EUR
05/07/2023	06/03/2023		MXF601401004	MXF601401004	1	0.90	0.90	EUR	S	934536121	Son de Madera	Mujer Antigua, La Bruja	Fonarte Latino, S.A. de C.V.		H		FR			1.29	EUR
05/07/2023	06/03/2023		MXF600603378	MXF600603378	1	0.71	0.71	EUR	S	208304295	La Bodeguita del Medio	Guantanamera	Fonarte Latino, S.A. de C.V.		H		FR			0.99	EUR
05/07/2023	06/03/2023		MXF600600022	MXF600600022	1	0.90	0.90	EUR	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
05/07/2023	06/03/2023		MXF600601456	MXF600601456	1	0.72	0.72	GBP	S	152512007	Los Folkloristas	Cacharpaya del Indio (Cacharpaya, Bolivia)	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
05/07/2023	06/03/2023		MXF600601452	MXF600601452	1	0.72	0.72	GBP	S	152511989	Los Folkloristas, Coro Promúsica, Carlos y Emiliano	Misa Criolla - Gloria	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
05/07/2023	06/03/2023		MXF600601451	MXF600601451	1	0.72	0.72	GBP	S	152511979	Los Folkloristas, Coro Promúsica, Carlos y Emiliano	Misa Criolla - Kirie	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
05/07/2023	06/03/2023		MXF601200795	MXF601200795	1	118.00	118.00	JPY	S	555716422	Fadi El Saadi	Wala Ya Saidi	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
05/07/2023	06/03/2023		MXF600600923	MXF600600923	1	9.15	9.15	MXN	S	187094288	Alejandro Santiago	Andromeda	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
05/07/2023	06/03/2023		MXF600600204	MXF600600204	1	9.15	9.15	MXN	S	167017911	Chava Flores	Sábado D.F.	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
05/07/2023	06/03/2023		MXF600601128	MXF600601128	2	9.15	18.30	MXN	S	188671453	Fernando Delgadillo	Entre Pairos y Derivas	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
05/07/2023	06/03/2023		MXF600700003	MXF600700003	1	9.15	9.15	MXN	S	256542381	Mexicanto	Coincidir	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
05/07/2023	06/03/2023		MXF600700007	MXF600700007	1	9.15	9.15	MXN	S	256542887	Mexicanto	Andrómeda	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
05/07/2023	06/03/2023	7509841318280		7509841318280	1	79.30	79.30	MXN	S	1684584658	Carlos Macías	T4ntos V3rsos	Fonarte Latino, S.A. de C.V.		I		MX		CMA	130.00	MXN
05/07/2023	06/03/2023		MXF600600921	MXF600600921	1	9.15	9.15	MXN	S	187094265	Alejandro Santiago	Andrea	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
