"iTunes Connect - Pagos e informes financieros	(Mayo, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,1.97,1.97,0,0,0,1.97,4.67005,9.2,MXN,
Australia (AUD),0,,11.67,11.67,0,0,-1.1,10.57,11.47682,121.31,MXN,
Bulgaria (BGN),1,,1.33,1.33,0,0,0,1.33,9.5188,12.66,MXN,
Brasil (BRL),1,,40.06,40.06,0,0,0,40.06,3.61707,144.9,MXN,
Canadá (CAD),5,,49.73,49.73,0,0,0,49.73,12.9823,645.61,MXN,
Suiza (CHF),0,,8.86,8.86,0,0,0,8.86,19.04966,168.78,MXN,
Chile (CLP),4,,24307,24307,0,0,0,24307,0.02161,525.24,MXN,
China continental (CNY),0,,5.57,5.57,0,0,0,5.57,2.37522,13.23,MXN,
Colombia (COP),1,,61304.1,61304.1,0,0,0,61304.1,0.00424,259.79,MXN,
República Checa (CZK),0,,18.53,18.53,0,0,0,18.53,0.78359,14.52,MXN,
Dinamarca (DKK),0,,33.43,33.43,0,0,0,33.43,2.49865,83.53,MXN,
Eurozona (EUR),8,,110.83,110.83,0,0,0,110.83,18.6103,2062.58,MXN,
Reino Unido (GBP),3,,18.13,18.13,0,0,0,18.13,21.78709,395,MXN,
Hong Kong (HKD),0,,5.32,5.32,0,0,0,5.32,2.18985,11.65,MXN,
Hungría (HUF),0,,81,81,0,0,0,81,0.05049,4.09,MXN,
Indonesia (IDR),0,,2638,2638,0,0,0,2638,0.00113,2.98,MXN,
Israel (ILS),0,,9.07,9.07,0,0,0,9.07,4.67806,42.43,MXN,
India (INR),0,,9.56,9.56,0,0,0,9.56,0.21444,2.05,MXN,
Japón (JPY),1,,3582,3582,0,0,-358,3224,0.11981,386.27,MXN,
Corea del Sur (KRW),0,,2481,2481,0,0,0,2481,0.01305,32.38,MXN,
Kazajistán (KZT),0,,82.32,82.32,0,0,0,82.32,0.03839,3.16,MXN,
México (MXN),195,,23214.92,23214.92,0,0,0,23214.92,1,23214.92,MXN,
Malasia (MYR),0,,0.84,0.84,0,0,0,0.84,3.54762,2.98,MXN,
Noruega (NOK),0,,8.37,8.37,0,0,0,8.37,1.57826,13.21,MXN,
Nueva Zelanda (NZD),0,,2.88,2.88,0,0,-0.19,2.69,10.51301,28.28,MXN,
Perú (PEN),0,,33.14,33.14,0,0,0,33.14,4.76041,157.76,MXN,
Polonia (PLN),0,,3.76,3.76,0,0,0,3.76,4.20745,15.82,MXN,
Rumanía (RON),1,,17.83,17.83,0,0,0,17.83,3.74706,66.81,MXN,
Rusia (RUB),0,,79.89,79.89,0,0,0,79.89,0.20253,16.18,MXN,
Arabia Saudí (SAR),0,,9.48,9.48,0,0,0,9.48,4.57068,43.33,MXN,
Suecia (SEK),0,,9.73,9.73,0,0,0,9.73,1.58993,15.47,MXN,
Singapur (SGD),0,,0.36,0.36,0,0,0,0.36,12.66667,4.56,MXN,
Tailandia (THB),0,,6.53,6.53,0,0,0,6.53,0.48392,3.16,MXN,
Turquía (TRY),0,,7.31,7.31,0,0,0,7.31,0.67579,4.94,MXN,
Taiwán (TWD),0,,31,31,0,0,0,31,0.55226,17.12,MXN,
Resto del mundo (USD),0,,0.74,0.74,0,0,0,0.74,17.14865,12.69,MXN,
América Latina y el Caribe (USD),6,,52.01,52.01,0,0,0,52.01,17.14805,891.87,MXN,
América (USD),136,,1382.36,1382.36,0,0,-138.24,1244.12,17.148,21334.17,MXN,
Sudáfrica (ZAR),0,,12.58,12.58,0,0,0,12.58,0.91971,11.57,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"50,796.20 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
