Emiratos Árabes Unidos (AED)	0		2.58	2.58	0	0	0	2.58	5.37597	13.87	MXN	2022	3
Australia (AUD)	5		17.18	17.18	0	0	-1.60	15.58	14.67587	228.65	MXN	2022	3
Brasil (BRL)	1		42.14	42.14	0	0	0	42.14	4.41291	185.96	MXN	2022	3
Canadá (CAD)	7		65.43	65.43	0	0	0	65.43	15.59759	1020.55	MXN	2022	3
Suiza (CHF)	2		20.91	20.91	0	0	0	20.91	21.15495	442.35	MXN	2022	3
Chile (CLP)	2		20483.00	20483.00	0	0	0	20483.00	0.02519	516.04	MXN	2022	3
China continental (CNY)	0		1.33	1.33	0	0	0	1.33	3.09023	4.11	MXN	2022	3
Colombia (COP)	0		53044.57	53044.57	0	0	0	53044.57	0.00554	293.95	MXN	2022	3
República Checa (CZK)	0		55.96	55.96	0	0	0	55.96	0.87831	49.15	MXN	2022	3
Dinamarca (DKK)	0		7.37	7.37	0	0	0	7.37	2.88602	21.27	MXN	2022	3
Eurozona (EUR)	22		152.88	152.88	0	0	0	152.88	21.46448	3281.49	MXN	2022	3
Reino Unido (GBP)	1		16.57	16.57	0	0	0	16.57	25.67713	425.47	MXN	2022	3
Hong Kong (HKD)	0		4.59	4.59	0	0	0	4.59	2.51852	11.56	MXN	2022	3
Hungría (HUF)	1		395.00	395.00	0	0	0	395.00	0.05651	22.32	MXN	2022	3
Israel (ILS)	1		9.35	9.35	0	0	0	9.35	6.10695	57.10	MXN	2022	3
India (INR)	0		34.99	34.99	0	0	0	34.99	0.26379	9.23	MXN	2022	3
Japón (JPY)	10		5819.00	5819.00	0	0	-582.00	5237.00	0.15714	822.94	MXN	2022	3
Corea del Sur (KRW)	0		1096.00	1096.00	0	0	0	1096.00	0.01626	17.82	MXN	2022	3
Kazajistán (KZT)	1		77.40	77.40	0	0	0	77.40	0.04716	3.65	MXN	2022	3
México (MXN)	186		24377.75	24377.75	0	0	0	24377.75	1.00000	24377.75	MXN	2022	3
Noruega (NOK)	0		12.14	12.14	0	0	0	12.14	2.23806	27.17	MXN	2022	3
Nueva Zelanda (NZD)	0		2.53	2.53	0	0	-0.19	2.34	13.48718	31.56	MXN	2022	3
Perú (PEN)	1		32.01	32.01	0	0	0	32.01	5.52577	176.88	MXN	2022	3
Polonia (PLN)	0		3.51	3.51	0	0	0	3.51	4.64672	16.31	MXN	2022	3
Rumanía (RON)	0		1.41	1.41	0	0	0	1.41	4.41135	6.22	MXN	2022	3
Rusia (RUB)	1		134.37	134.37	0	0	0	134.37	0.23465	31.53	MXN	2022	3
Arabia Saudí (SAR)	0		2.53	2.53	0	0	0	2.53	5.26482	13.32	MXN	2022	3
Suecia (SEK)	0		7.43	7.43	0	0	0	7.43	2.07806	15.44	MXN	2022	3
Singapur (SGD)	0		0.55	0.55	0	0	0	0.55	14.47273	7.96	MXN	2022	3
Tailandia (THB)	0	4.63	6.88	11.51	0	0	0	11.51	0.57776	6.65	MXN	2022	3
Turquía (TRY)	0		5.05	5.05	0	0	0	5.05	1.34455	6.79	MXN	2022	3
Taiwán (TWD)	0		26.00	26.00	0	0	0	26.00	0.68538	17.82	MXN	2022	3
América (USD)	192		1472.48	1472.48	0	0	-147.25	1325.23	19.74140	26161.90	MXN	2022	3
América Latina y el Caribe (USD)	1		46.81	46.81	0	0	0	46.81	19.74129	924.09	MXN	2022	3
Resto del mundo (USD)	0		0.30	0.30	0	0	0	0.30	19.73333	5.92	MXN	2022	3
Sudáfrica (ZAR)	0		12.58	12.58	0	0	0	12.58	1.35533	17.05	MXN	2022	3
