Emiratos Árabes Unidos (AED)	0	2.87	2.87	0	0	0	2.87	4.98606	14.31	MXN	2023	1
Australia (AUD)	0	14.70	14.70	0	0	-1.40	13.30	12.42707	165.28	MXN	2023	1
Bulgaria (BGN)	0	0.31	0.31	0	0	0	0.31	10.00000	3.10	MXN	2023	1
Brasil (BRL)	0	35.80	35.80	0	0	0	35.80	3.67877	131.70	MXN	2023	1
Canadá (CAD)	15	95.86	95.86	0	0	0	95.86	13.49833	1293.95	MXN	2023	1
Suiza (CHF)	0	10.42	10.42	0	0	0	10.42	19.59501	204.18	MXN	2023	1
Chile (CLP)	2	31032.00	31032.00	0	0	0	31032.00	0.02365	733.79	MXN	2023	1
China continental (CNY)	0	3.86	3.86	0	0	0	3.86	2.63472	10.17	MXN	2023	1
Colombia (COP)	1	67379.57	67379.57	0	0	0	67379.57	0.00392	264.13	MXN	2023	1
República Checa (CZK)	0	23.25	23.25	0	0	0	23.25	0.81806	19.02	MXN	2023	1
Dinamarca (DKK)	0	12.25	12.25	0	0	0	12.25	2.60653	31.93	MXN	2023	1
Egipto (EGP)	0	2.80	2.80	0	0	0	2.80	0.62500	1.75	MXN	2023	1
Eurozona (EUR)	9	136.41	136.41	0	0	0	136.41	19.40422	2646.93	MXN	2023	1
Reino Unido (GBP)	1	16.69	16.69	0	0	0	16.69	22.00779	367.31	MXN	2023	1
Hong Kong (HKD)	0	2.66	2.66	0	0	0	2.66	2.33459	6.21	MXN	2023	1
Hungría (HUF)	0	92.00	92.00	0	0	0	92.00	0.05065	4.66	MXN	2023	1
Indonesia (IDR)	0	2177.00	2177.00	0	0	0	2177.00	0.00125	2.72	MXN	2023	1
Israel (ILS)	0	7.32	7.32	0	0	0	7.32	5.03689	36.87	MXN	2023	1
India (INR)	0	11.46	11.46	0	0	0	11.46	0.21990	2.52	MXN	2023	1
Japón (JPY)	3	4152.00	4152.00	0	0	-415.00	3737.00	0.13552	506.44	MXN	2023	1
Corea del Sur (KRW)	0	1330.00	1330.00	0	0	0	1330.00	0.01430	19.02	MXN	2023	1
Kazajistán (KZT)	0	54.91	54.91	0	0	0	54.91	0.04243	2.33	MXN	2023	1
México (MXN)	244	26736.23	26736.23	0	0	0	26736.23	1.00000	26736.23	MXN	2023	1
Noruega (NOK)	0	12.13	12.13	0	0	0	12.13	1.77741	21.56	MXN	2023	1
Nueva Zelanda (NZD)	0	3.14	3.14	0	0	-0.31	2.83	11.38516	32.22	MXN	2023	1
Perú (PEN)	0	39.11	39.11	0	0	0	39.11	4.96932	194.35	MXN	2023	1
Filipinas (PHP)	0	6.30	6.30	0	0	0	6.30	0.33810	2.13	MXN	2023	1
Polonia (PLN)	1	20.73	20.73	0	0	0	20.73	4.09069	84.80	MXN	2023	1
Rumanía (RON)	0	2.96	2.96	0	0	0	2.96	3.93243	11.64	MXN	2023	1
Rusia (RUB)	0	77.49	77.49	0	0	0	77.49	0.23964	18.57	MXN	2023	1
Arabia Saudí (SAR)	1	5.84	5.84	0	0	0	5.84	4.88185	28.51	MXN	2023	1
Suecia (SEK)	0	13.55	13.55	0	0	0	13.55	1.76015	23.85	MXN	2023	1
Singapur (SGD)	1	1.24	1.24	0	0	0	1.24	13.62903	16.90	MXN	2023	1
Turquía (TRY)	0	5.96	5.96	0	0	0	5.96	0.96980	5.78	MXN	2023	1
Taiwán (TWD)	0	44.00	44.00	0	0	0	44.00	0.61750	27.17	MXN	2023	1
Resto del mundo (USD)	0	0.54	0.54	0	0	0	0.54	18.31481	9.89	MXN	2023	1
América Latina y el Caribe (USD)	0	53.38	53.38	0	0	0	53.38	18.31716	977.77	MXN	2023	1
América (USD)	154	1869.54	1869.54	0	0	-186.95	1682.59	18.31720	30820.34	MXN	2023	1
Vietnam (VND)	0	9452.00	9452.00	0	0	0	9452.00	0.00078	7.37	MXN	2023	1
Sudáfrica (ZAR)	0	11.04	11.04	0	0	0	11.04	0.99909	11.03	MXN	2023	1
