"iTunes Connect - Pagos e informes financieros	(Diciembre, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.72,2.72,0,0,0,2.72,4.63971,12.62,MXN,
Australia (AUD),1,,14.74,14.74,0,0,-1.4,13.34,11.24363,149.99,MXN,
Brasil (BRL),1,,39.35,39.35,0,0,0,39.35,3.45286,135.87,MXN,
Canadá (CAD),6,,47.72,47.72,0,0,0,47.72,12.65465,603.88,MXN,
Suiza (CHF),4,,12.5,12.5,0,0,0,12.5,19.6128,245.16,MXN,
Chile (CLP),3,,27768,27768,0,0,0,27768,0.01856,515.36,MXN,
China continental (CNY),0,,5.56,5.56,0,0,0,5.56,2.36691,13.16,MXN,
Colombia (COP),0,,54369.42,54369.42,0,0,0,54369.42,0.00433,235.26,MXN,
República Checa (CZK),0,,14.44,14.44,0,0,0,14.44,0.74515,10.76,MXN,
Dinamarca (DKK),0,,8.44,8.44,0,0,0,8.44,2.48697,20.99,MXN,
Egipto (EGP),0,,5.22,5.22,0,0,0,5.22,0.56897,2.97,MXN,
Eurozona (EUR),15,,137.72,137.72,0,0,0,137.72,18.54531,2554.06,MXN,
Reino Unido (GBP),0,,13.14,13.14,0,0,0,13.14,21.61492,284.02,MXN,
Hong Kong (HKD),0,,4.31,4.31,0,0,0,4.31,2.18097,9.4,MXN,
Hungría (HUF),0,,101,101,0,0,0,101,0.04772,4.82,MXN,
Indonesia (IDR),0,,2304,2304,0,0,0,2304,0.00113,2.6,MXN,
Israel (ILS),0,,6.81,6.81,0,0,0,6.81,4.52129,30.79,MXN,
India (INR),0,,13.44,13.44,0,0,0,13.44,0.20685,2.78,MXN,
Japón (JPY),5,,2357,2357,0,0,-236,2121,0.11519,244.32,MXN,
Corea del Sur (KRW),0,,1304,1304,0,0,0,1304,0.01266,16.51,MXN,
México (MXN),153,,21550.28,21550.28,0,0,0,21550.28,1,21550.28,MXN,
Malasia (MYR),0,,0.78,0.78,0,0,0,0.78,3.5641,2.78,MXN,
Noruega (NOK),0,,11.16,11.16,0,0,0,11.16,1.62724,18.16,MXN,
Nueva Zelanda (NZD),0,,2.77,2.77,0,0,-0.19,2.58,10.42636,26.9,MXN,
Perú (PEN),2,,52.79,52.79,0,0,0,52.79,4.55995,240.72,MXN,
Filipinas (PHP),0,,6.98,6.98,0,0,0,6.98,0.29226,2.04,MXN,
Polonia (PLN),0,,3.69,3.69,0,0,0,3.69,4.22222,15.58,MXN,
Rumanía (RON),0,,2.48,2.48,0,0,0,2.48,3.7379,9.27,MXN,
Rusia (RUB),0,,76.05,76.05,0,0,0,76.05,0.19198,14.6,MXN,
Arabia Saudí (SAR),0,,2.26,2.26,0,0,0,2.26,4.54425,10.27,MXN,
Suecia (SEK),0,,7.38,7.38,0,0,0,7.38,1.62873,12.02,MXN,
Tailandia (THB),0,,4.9,4.9,0,0,0,4.9,0.49184,2.41,MXN,
Turquía (TRY),0,,8.67,8.67,0,0,0,8.67,0.56517,4.9,MXN,
Taiwán (TWD),0,,27,27,0,0,0,27,0.54259,14.65,MXN,
Resto del mundo (USD),0,,0.3,0.3,0,0,0,0.3,17.03333,5.11,MXN,
América (USD),118,,1566.82,1566.82,0,0,-156.68,1410.14,17.0481,24040.21,MXN,
América Latina y el Caribe (USD),3,,52.01,52.01,0,0,0,52.01,17.04807,886.67,MXN,
Sudáfrica (ZAR),0,,12.24,12.24,0,0,0,12.24,0.89869,11,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"51,962.89 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
